time_s,time_us,sequential_600us_aod_center_m,sequential_600us_aod_center_um,sequential_600us_aod_depth_J,sequential_600us_aod_depth_uK,sequential_600us_center_velocity_m_per_s,sequential_600us_center_acceleration_m_per_s2,sequential_600us_depth_rate_J_per_s,sequential_400us_aod_center_m,sequential_400us_aod_center_um,sequential_400us_aod_depth_J,sequential_400us_aod_depth_uK,sequential_400us_center_velocity_m_per_s,sequential_400us_center_acceleration_m_per_s2,sequential_400us_depth_rate_J_per_s,overlapped_optimized_400us_aod_center_m,overlapped_optimized_400us_aod_center_um,overlapped_optimized_400us_aod_depth_J,overlapped_optimized_400us_aod_depth_uK,overlapped_optimized_400us_center_velocity_m_per_s,overlapped_optimized_400us_center_acceleration_m_per_s2,overlapped_optimized_400us_depth_rate_J_per_s
0.00030659999999999997,306.59999999999997,2.131918525261156e-09,0.0021319185252611558,3.8658171999999996e-27,0.0002799999999999999,-0.0007849908966772836,142.80837505689573,0.0,2.131918525261689e-09,0.002131918525261689,3.8658171999999996e-27,0.0002799999999999999,-0.0011774863450159459,321.31884387801546,0.0,1.1941613052836759e-06,1.194161305283676,3.8658171999999996e-27,0.0002799999999999999,-0.011473062653365848,0.607267693043508,-0.0
0.0003068,306.79999999999995,1.977777777777945e-09,0.001977777777777945,3.8658171999999996e-27,0.0002799999999999999,-0.0007564102564102585,142.9980276134122,0.0,1.977777777777945e-09,0.001977777777777945,3.8658171999999996e-27,0.0002799999999999999,-0.0011346153846153878,321.74556213017746,0.0,1.1926315694659123e-06,1.1926315694659122,3.8658171999999996e-27,0.0002799999999999999,-0.01147297107745978,0.7663705804951775,-0.0
0.000307,307.0,1.8293569513978978e-09,0.0018293569513978978,3.8658171999999996e-27,0.0002799999999999999,-0.0007277916856319203,143.18768016992865,0.0,1.8293569513978978e-09,0.0018293569513978978,3.8658171999999996e-27,0.0002799999999999999,-0.0010916875284478805,322.1722803823395,0.0,1.1911018472725123e-06,1.1911018472725123,3.8658171999999996e-27,0.0002799999999999999,-0.011472858287972194,0.9254713423659496,-0.0
0.0003072,307.2,1.6866636322255601e-09,0.0016866636322255602,3.8658171999999996e-27,0.0002799999999999999,-0.0006991351843422827,143.3773327264451,0.0,1.686663632226093e-09,0.001686663632226093,3.8658171999999996e-27,0.0002799999999999999,-0.0010487027765134344,322.59899863450147,0.0,1.189572141531932e-06,1.189572141531932,3.8658171999999996e-27,0.0002799999999999999,-0.011472724285215894,1.0845695373665534,-0.0
0.0003074,307.4,1.5497054063622783e-09,0.0015497054063622782,3.8658171999999996e-27,0.0002799999999999999,-0.0006704407525413459,143.56698528296158,0.0,1.5497054063628112e-09,0.0015497054063628112,3.8658171999999996e-27,0.0002799999999999999,-0.0010056611288120393,323.0257168866636,0.0,1.1880424550725836e-06,1.1880424550725837,3.8658171999999996e-27,0.0002799999999999999,-0.01147256906956259,1.2436647242079104,-0.0
0.0003076,307.6,1.4184898599104655e-09,0.0014184898599104655,3.8658171999999996e-27,0.0002799999999999999,-0.0006417083902291027,143.7566378394781,0.0,1.4184898599099326e-09,0.0014184898599099325,3.8658171999999996e-27,0.0002799999999999999,-0.0009625625853436541,323.45243513882554,0.0,1.186512790722825e-06,1.186512790722825,3.8658171999999996e-27,0.0002799999999999999,-0.011472392641442758,1.402756461600417,-0.0
0.0003078,307.8,1.2930245789714688e-09,0.001293024578971469,3.8658171999999996e-27,0.0002799999999999999,-0.0006129380974055533,143.94629039599454,0.0,1.2930245789714688e-09,0.001293024578971469,3.8658171999999996e-27,0.0002799999999999999,-0.00091940714610833,323.87915339098765,0.0,1.184983151310953e-06,1.184983151310953,3.8658171999999996e-27,0.0002799999999999999,-0.011472195001345746,1.5618443082549676,-0.0
0.000308,308.0,1.1733171496493e-09,0.0011733171496493,3.8658171999999996e-27,0.0002799999999999999,-0.0005841298740707046,144.13594295251102,0.0,1.173317149648767e-09,0.001173317149648767,3.8658171999999996e-27,0.0002799999999999999,-0.0008761948111060568,324.3058716431497,0.0,1.1834535396651967e-06,1.1834535396651966,3.8658171999999996e-27,0.0002799999999999999,-0.011471976149819754,1.7209278228819036,-0.0
0.0003082,308.2,1.05937515804424e-09,0.00105937515804424,3.8658171999999996e-27,0.0002799999999999999,-0.0005552837202245497,144.32559550902747,0.0,1.0593751580437072e-09,0.0010593751580437072,3.8658171999999996e-27,0.0002799999999999999,-0.0008329255803368245,324.7325898953117,0.0,1.1819239586137052e-06,1.1819239586137051,3.8658171999999996e-27,0.0002799999999999999,-0.011471736087471799,1.880006564192008,-0.0
0.00030839999999999996,308.4,9.51206190258702e-10,0.000951206190258702,3.8658171999999996e-27,0.0002799999999999999,-0.0005263996358670885,144.5152480655439,0.0,9.51206190259235e-10,0.0009512061902592349,3.8658171999999996e-27,0.0002799999999999999,-0.000789599453800643,325.15930814747367,0.0,1.180394410984545e-06,1.180394410984545,3.8658171999999996e-27,0.0002799999999999999,-0.011471474814967726,2.0390800908958706,-0.0
