time_us,x_um,v_m_s,aod_center_um,aod_depth_uK,slm_depth_uK,kinetic_uK,aod_potential_uK,slm_potential_uK,total_potential_uK,total_energy_uK
49.449999999999996,2.200214611347,-0.010996750496557598,2.238245119390235,279.99999999999994,140.0,0.9665122424409288,-279.40895332010473,-0.11870564141960069,-279.52765896152437,-278.56114671908347
49.5,2.1996671422176437,-0.010901713998701872,2.2379372084091944,279.99999999999994,140.0,0.9498787783934264,-279.4014917272889,-0.11912414069126455,-279.52061586798015,-278.5707370895867
49.55,2.1991244399471293,-0.010806082526026436,2.237629044953187,279.99999999999994,140.0,0.9332869135146565,-279.39414127656096,-0.11954034892370433,-279.51368162548465,-278.58039471197
49.6,2.198586533965041,-0.010709868880247244,2.2373206291407475,279.99999999999994,140.0,0.9167415679351375,-279.38690576924114,-0.11995421188046826,-279.50685998112164,-278.5901184131865
49.65,2.1980534530591047,-0.010613085933078638,2.237011961090407,279.99999999999994,140.0,0.9002476114002713,-279.37978894576196,-0.12036567564649597,-279.50015462140846,-278.59990701000817
49.699999999999996,2.197525225371733,-0.010515746624611955,2.2367030409207,279.99999999999994,140.0,0.883809861275003,-279.37279448379496,-0.12077468664679604,-279.49356917044173,-278.60975930916675
49.74999999999999,2.197001878396644,-0.010417863961689278,2.236393868750158,279.99999999999994,140.0,0.867433080579968,-279.36592599641017,-0.1211811916650997,-279.4871071880753,-278.6196741074953
49.8,2.1964834389755645,-0.010319451016272504,2.236084444697315,279.99999999999994,140.0,0.8511219760600031,-279.3591870302692,-0.12158513786247284,-279.4807721681317,-278.62965019207167
49.85,2.1959699332950167,-0.010220520923807916,2.2357747688807024,279.99999999999994,140.0,0.8348811962858816,-279.3525810638527,-0.12198647279587874,-279.4745675366486,-278.6396863403627
49.9,2.1954613868831836,-0.010121086881586422,2.235464841418854,279.99999999999994,140.0,0.8187153297901194,-279.3461115057231,-0.12238514443668283,-279.4684966501598,-278.64978132036964
49.949999999999996,2.1949578246068584,-0.010021162147099647,2.2351546624303023,279.99999999999994,140.0,0.8026289032376697,-279.3397816928237,-0.12278110118908472,-279.4625627940128,-278.6599338907751
49.99999999999999,2.194459270668474,-0.00992076003639204,2.234844232033581,279.99999999999994,140.0,0.7866263796323162,-279.3335948888141,-0.1231742919084741,-279.4567691807226,-278.67014280109026
50.05,2.193965748603219,-0.009819893922409157,2.234533550347222,279.99999999999994,140.0,0.7707121565595496,-279.3275542824439,-0.12356466591969116,-279.4511189483636,-278.68040679180405
50.1,2.193477281276233,-0.009718577233342294,2.234222617489759,279.99999999999994,140.0,0.7548905644666909,-279.3216629859644,-0.12395217303519061,-279.4456151589996,-278.6907245945329
50.15,2.192993890879885,-0.009616823450969605,2.2339114335797237,279.99999999999994,140.0,0.7391658649810109,-279.3159240335798,-0.12433676357309163,-279.44026079715286,-278.7010949321719
50.2,2.192515598931136,-0.009514646108993888,2.233599998735649,279.99999999999994,140.0,0.7235422492665706,-279.310340379938,-0.12471838837510926,-279.4350587683131,-278.71151651904654
50.24999999999999,2.1920424262689853,-0.009412058791377161,2.2332883130760695,279.99999999999994,140.0,0.7080238364204893,-279.3049148986623,-0.12509699882435174,-279.4300118974866,-278.7219880610661
50.3,2.191574393051998,-0.009309075130672202,2.2329763767195163,279.99999999999994,140.0,0.6926146719093255,-279.299650380924,-0.12547254686297818,-279.425122927787,-278.7325082558777
50.349999999999994,2.191111518755918,-0.009205708806351187,2.232664189784523,279.99999999999994,140.0,0.6773187260462382,-279.29454953405747,-0.12584498500970318,-279.42039451906714,-278.7430757930209
50.4,2.190653822171363,-0.009101973543131551,2.232351752389622,279.99999999999994,140.0,0.662139892509569,-279.28961498021715,-0.12621426637714211,-279.4158292465943,-278.75368935408477
50.45,2.1902013214016054,-0.008997883109299241,2.2320390646533466,279.99999999999994,140.0,0.6470819869034694,-279.28484925507837,-0.1265803446889812,-279.41142959976736,-278.76434761286384
