shot_id,x0_um,v0_m_s,initial_aod_energy_uK,initial_excitation_energy_uK,final_x_um,final_v_m_s,final_slm_energy_uK,final_excitation_energy_uK,excitation_energy_change_uK,final_energy_over_slm_depth,captured_in_slm,capture_margin
14,2.3817711238789134,0.005488384714694778,-279.62334570702455,0.3766542929753901,-0.03564186282260236,-4.2778957614860905e-05,-139.74038570559742,0.25961429440254596,-0.1170399985728441,-0.9981456121828389,True,0.9981456121828389
15,2.3624074817515384,0.0059812891641088705,-279.1365393013248,0.8634606986752088,-0.04972477849835085,-0.0034940339379746833,-139.397593183293,0.6024068167069768,-0.261053881968232,-0.9956970941663787,True,0.9956970941663787
16,2.225041147218943,-0.015226074803074075,-265.90056382497727,14.099436175022683,0.15588206909707436,0.02598220346119223,-129.7214510600538,10.278548939946196,-3.820887235076487,-0.9265817932860986,True,0.9265817932860986
17,2.337468128774758,0.04643796768852968,-261.1693868151939,18.83061318480605,0.2585854118778396,-0.0006974571463714363,-126.96585051035736,13.034149489642623,-5.796463695163427,-0.9068989322168384,True,0.9068989322168384
18,2.4882775445627163,-0.053581691868070574,-253.88385488214578,26.11614511785418,-0.0565203388709692,-0.04689483892388965,-121.77174653354709,18.228253466452898,-7.887891651401283,-0.8697981895253364,True,0.8697981895253364
19,2.4677972410662874,0.001135179491792637,-278.11564326787936,1.884356732120575,0.025777104955634234,0.012215530839040731,-138.67153161321596,1.3284683867840117,-0.5558883453365634,-0.9905109400943999,True,0.9905109400943999
20,2.310613611764762,-0.006222549108338012,-276.4409564697592,3.559043530240714,0.030252214719720224,-0.017138684724037376,-137.4652760075911,2.5347239924088933,-1.0243195378318204,-0.9818948286256508,True,0.9818948286256508
21,2.2908240945470344,-0.01471446272480068,-273.4356587272422,6.564341272757776,0.13609884941686998,-0.01112662097941665,-135.27258753832712,4.7274124616728646,-1.836928811084911,-0.9662327681309081,True,0.9662327681309081
22,2.290084155677574,0.03321517105939721,-266.28335116240294,13.716648837597024,0.17781885472247297,-0.020117205068585216,-130.44498534491868,9.55501465508131,-4.161634182515714,-0.9317498953208477,True,0.9317498953208477
23,2.307183937841007,0.0005163311376186597,-276.4957387209232,3.5042612790767382,-0.00707553335081775,-0.017575793450833335,-137.52083185590945,2.4791681440905164,-1.0250931349862216,-0.9822916561136391,True,0.9822916561136391
24,2.2755601279283018,-0.010650686114398898,-272.82964930033734,7.170350699662637,0.1374920202372423,-0.012912616817214251,-134.85357994604868,5.146420053951298,-2.0239306457113386,-0.9632398567574907,True,0.9632398567574907
25,2.2357608678698955,0.00939485125355643,-268.47424981600034,11.525750183999621,0.19211536858049955,-0.010211440344275229,-131.81717123750093,8.182828762499058,-3.342921421500563,-0.9415512231250067,True,0.9415512231250067
26,2.4385929831271107,-0.00817290063726656,-278.8574953911907,1.1425046088092319,0.06085705251828869,0.0029645985873489136,-139.17425718891676,0.8257428110832185,-0.31676179772601337,-0.9941018370636913,True,0.9941018370636913
27,2.353695799124356,-0.023824744507669533,-274.5876078736658,5.412392126334165,0.1390717191684186,-0.0021002966386187744,-136.0640453808646,3.9359546191353885,-1.4764375071987763,-0.9718860384347472,True,0.9718860384347472
28,2.3766929361864326,-0.02836324177796206,-273.348169240173,6.651830759826999,0.14548824241532834,0.008626678494913055,-135.14192498703446,4.858075012965507,-1.7937557468614915,-0.9652994641931035,True,0.9652994641931035
29,2.360990323743306,-0.005645418874566778,-279.12343587260807,0.8765641273918694,0.0018429024827814253,-0.008844056811622068,-139.37415901368252,0.6258409863174608,-0.25072314107440863,-0.9955297072405895,True,0.9955297072405895
30,2.376876522762703,-0.024777436177087372,-274.8746274246439,5.125372575356052,0.1358492811915183,0.0010171186148505258,-136.26730732252196,3.7326926774780196,-1.3926798978780326,-0.9733379094465856,True,0.9733379094465856
31,2.3558462375699905,0.009863757378075487,-278.42598335099666,1.5740166490033178,-0.06819757256756465,-0.004316490089991051,-138.90299470646198,1.0970052935380001,-0.4770113554653177,-0.9921642479033,True,0.9921642479033
