freq_hz,target_psd,welch_hi,welch_lo,welch_mean
124023.4375,0.00010164831420113221,0.00011064316435229179,8.955823719061078e-05,0.00010266593012264688
125000.0,0.00010162267323865369,0.00011201935514202297,8.864477233705198e-05,0.00010069607460577196
125976.5625,0.00010159762651835874,0.0001102111975499689,9.249698081687919e-05,0.00010164756137894229
126953.125,0.00010157315512016328,0.00011264973332389839,8.919335510855729e-05,0.00010181952278154143
127929.6875,0.00010154924214290466,0.00011106995128945593,9.279033566587382e-05,0.00010182323160323219
128906.25,0.00010152587024218988,0.00011223387811955116,9.407659313246082e-05,0.0001011200102502323
129882.8125,0.00010150302359752921,0.00011262641152847226,8.902135832107107e-05,0.00010241928108494355
130859.375,0.00010148068629698129,0.00011329277488908084,9.27738615555728e-05,0.00010087599301590807
131835.9375,0.00010145884351116531,0.00010592865823837478,9.210722036849237e-05,0.00010087005979526115
132812.5,0.00010143748063194544,0.00011153705053999237,9.169405079412262e-05,0.00010062487656145508
133789.0625,0.00010141658374034533,0.00011059289452864124,9.153534523359018e-05,0.0001033869686693737
134765.625,0.00010139613941632347,0.00010908046991097186,9.520479892743841e-05,0.00010167327733122277
135742.1875,0.00010137613457846035,0.00011067890693426789,9.009054378232173e-05,0.000101622983857847
136718.75,0.00010135655689058203,0.0001138410684784357,9.234346190955929e-05,0.00010057959994440267
137695.3125,0.00010133739404295919,0.00011047450666505744,8.864807054801271e-05,9.823140271937114e-05
138671.875,0.0001013186346892723,0.00010942078905442569,9.272635120787549e-05,0.00010055040108031596
139648.4375,0.00010130026723182941,0.00011166953253793529,9.657797047064466e-05,0.00010119659580132672
140625.0,0.00010128228122925081,0.00010861238978796506,8.92813245082428e-05,0.0001018048080402199
141601.5625,0.00010126466577131264,0.0001069690005615582,9.061425021448979e-05,0.0001027442194997139
142578.125,0.00010124741115615062,0.00011333953504417713,9.155071195932493e-05,0.00010062616299743084
143554.6875,0.0001012305072252989,0.00011302642160065657,9.166023743666343e-05,0.0001016513371844608
144531.25,0.00010121394484284883,0.00011124667476656977,9.226803891665338e-05,0.00010090652039722195
145507.8125,0.00010119771462605957,0.00011057001676747755,8.874121551512507e-05,0.00010155774682380945
146484.375,0.00010118180793442256,0.00011190983161097533,9.146112391278152e-05,0.00010192860064984558
147460.9375,0.00010116621609762666,0.00011301252000817353,9.268773055884301e-05,0.00010145581672256551
148437.5,0.00010115093093473335,0.0001123051034180531,8.814209311788291e-05,0.00010189382918224631
149414.0625,0.00010113594443032508,0.00010902134798217888,9.355192925980345e-05,0.00010242340043076335
150390.625,0.0001011212488303434,0.00010909950011785752,9.256912539004274e-05,0.0001024671461486781
151367.1875,0.00010110683672190386,0.00010689307078216261,9.310830076429359e-05,0.00010123853252991967
152343.75,0.00010109270074796069,0.00010838252391194159,8.947314804341259e-05,0.00010051658480497467
153320.3125,0.00010107883405045881,0.0001119437844460526,9.247166631935347e-05,0.00010043792505270304
154296.875,0.00010106522964203928,0.0001094347785882089,9.304113002913121e-05,0.00010217544819575425
155273.4375,0.00010105188117596816,0.00010929393983043911,9.098944978908486e-05,0.00010023544246148601
156250.0,0.00010103878200953904,0.00010839272698458257,8.910008388260038e-05,9.986577627351332e-05
157226.5625,0.00010102592626761579,0.00011002361850080095,8.862632706928014e-05,9.993894057487594e-05
158203.125,0.00010101330766710477,0.00010850372316804948,8.924514974532782e-05,9.933947993296797e-05
159179.6875,0.0001010009206543867,0.00010705180077888496,9.013496439901289e-05,0.00010213667898382572
160156.25,0.00010098875939503618,0.00011163664274707029,9.361865885347233e-05,0.00010149313683456198
161132.8125,0.0001009768185966924,0.00011044438688785701,8.862599028428078e-05,9.906103323790423e-05
162109.375,0.00010096509284001272,0.00011235737740374958,9.093978824758044e-05,0.00010050475253119232
163085.9375,0.00010095357707702346,0.00011184352739658321,9.49229666521791e-05,0.00010240456533650648
164062.5,0.000100942266272671,0.00011234434753611536,8.967960467984285e-05,0.00010085783154811657
165039.0625,0.00010093115560783907,0.00010957114705860565,9.386582112506442e-05,0.00010343888653685958
166015.625,0.00010092024040350253,0.00011321774987795285,9.297606747651674e-05,0.00010163989399596356
166992.1875,0.00010090951605509044,0.0001093959848445469,9.128159422341881e-05,0.0001005996866087615
167968.75,0.00010089897821364687,0.0001072969538802976,8.950000884892323e-05,0.00010099638188688653
168945.3125,0.00010088862247594065,0.00011161224207330335,8.826686954541886e-05,0.00010248957039189351
169921.875,0.00010087844479921866,0.00010762431740837356,9.124992781591929e-05,0.00010093057890322818
