exp_wait_time_s,sim_wait_time_s,exp_ps_success_00_parity,exp_ps_success_err_00_parity,exp_ps_success_pp_parity,exp_ps_success_err_pp_parity,sim_ps_success_00_parity,sim_ps_success_pp_parity,exp_ps_success_00_parity_and_flag,exp_ps_success_err_00_parity_and_flag,exp_ps_success_pp_parity_and_flag,exp_ps_success_err_pp_parity_and_flag,sim_ps_success_00_parity_and_flag,sim_ps_success_pp_parity_and_flag,exp_ps_success_00_parity_flag_erasure,exp_ps_success_err_00_parity_flag_erasure,exp_ps_success_pp_parity_flag_erasure,exp_ps_success_err_pp_parity_flag_erasure,sim_ps_success_00_parity_flag_erasure,sim_ps_success_pp_parity_flag_erasure
,0.1,,,,,0.968841693446975,0.9660752306600426,,,,,0.9770383848886578,0.974307436860963,,,,,0.9925525525525526,0.9913372376769156
,0.11,,,,,0.9676690667796132,0.9636506462900807,,,,,0.9753787878787878,0.9724184175234689,,,,,0.99165854846566,0.9912225705329154
,0.12,,,,,0.9640618321698248,0.9636899626114467,,,,,0.973038337513436,0.9704362020495149,,,,,0.9919739152244795,0.9896986865825392
,0.13,,,,,0.9643753135975915,0.9600307174723909,,,,,0.9730962152302781,0.965614067390904,,,,,0.9913671825041566,0.9894855177886523
,0.14,,,,,0.962560921577315,0.9594663930220626,,,,,0.9701187824795843,0.967261348776387,,,,,0.9922711058263971,0.9885268160217243
,0.15,,,,,0.9617196702002355,0.9556355806355806,,,,,0.9707837812529263,0.9648556231003039,,,,,0.9915972035493412,0.9898131235070957
,0.16,,,,,0.960172744721689,0.955253784505788,,,,,0.9690375766871165,0.9638056835637481,,,,,0.990191927744849,0.9900212314225053
,0.17,,,,,0.9595080983803239,0.9538467363319704,,,,,0.9674867342016401,0.9622058823529411,,,,,0.9908041060735672,0.9890392820361924
,0.18,,,,,0.9573527207315246,0.9498430201393675,,,,,0.9651482426860396,0.9596669657991823,,,,,0.9896892245135057,0.9889633125285432
,0.19,,,,,0.9543866312191417,0.9498848810437452,,,,,0.9619862672902777,0.958573014431325,,,,,0.9892862532065791,0.9890238206445586
,0.2,,,,,0.9516697303921569,0.9472627596324608,,,,,0.9602941176470589,0.9551295125433408,,,,,0.9909105034182722,0.9870906801007556
,0.21,,,,,0.9499770712320391,0.9446033709602598,,,,,0.958366935483871,0.9533270755110554,,,,,0.9898425196850393,0.9877511024007839
,0.22,,,,,0.9467276674937966,0.9393523600439078,,,,,0.9548280149191878,0.9482433141059255,,,,,0.9881146206447411,0.9839527027027027
,0.23,,,,,0.9461217089705187,0.9399116231358006,,,,,0.9569490439055657,0.9493610223642173,,,,,0.9879897785349233,0.9845705468883936
,0.24,,,,,0.9432112322535101,0.9387358056062892,,,,,0.9527810273317027,0.9468268505548971,,,,,0.9880488218342092,0.9853403141361257
,0.25,,,,,0.9418427793788025,0.934316782601743,,,,,0.9520052596975674,0.9444746573852513,,,,,0.9888105726872247,0.9842692518748857
,0.26,,,,,0.9395727040816326,0.9291415539990227,,,,,0.9484040227372104,0.9388826815642458,,,,,0.9849712023038157,0.9836784182055587
,0.27,,,,,0.9378567408955704,0.927321778940484,,,,,0.9487736900780379,0.9372240461904223,,,,,0.9867549668874173,0.9848044909020519
,0.28,,,,,0.9327365110089523,0.9245382800423074,,,,,0.9422860992589266,0.9357965560497206,,,,,0.9850018747656543,0.981706124046175
,0.29,,,,,0.9276464875364195,0.9238099201065246,,,,,0.9390382216173302,0.9345133777310434,,,,,0.9844938560561732,0.9809230769230769
,0.3,,,,,0.9252124412177213,0.9179328769410586,,,,,0.9324009324009324,0.9272588951310862,,,,,0.9824579192861489,0.9793345732589378
,0.31,,,,,0.9248191384413023,0.9168213261346381,,,,,0.9338943702843877,0.9279306220095693,,,,,0.9843400447427293,0.981872467477074
,0.32,,,,,0.9237943202823055,0.9134246117882785,,,,,0.9343161932158696,0.9245899690991205,,,,,0.9830709510459349,0.9806209850107066
,0.33,,,,,0.9206468912351266,0.9109466700688951,,,,,0.9316702819956616,0.9199926317082157,,,,,0.9832438238453276,0.9782800441014333
,0.34,,,,,0.9151030323337243,0.9035689773507206,,,,,0.9243952838215631,0.9138782565748858,,,,,0.9843263672743442,0.9751988769302761
,0.35,,,,,0.9155272602973851,0.9009294649061849,,,,,0.9265449611446898,0.9117235234215886,,,,,0.9838195077484048,0.9722222222222222
,0.36,,,,,0.9117320819112628,0.9022498060512025,,,,,0.9231644129912802,0.9123809523809524,,,,,0.9816321785631249,0.9715075739360424
