time_ms,total_trap_depth_MHz,cumulative_scattering_prob,cumulative_photoionization_prob
0.32389999999999997,1.6876224268817894,0.0002658292496770705,3.355153304988145e-05
0.32399999999999995,1.68803366252111,0.0002659433229088232,3.357230248712717e-05
0.32409999999999994,1.6884449351007544,0.0002660574232581568,3.359308204613859e-05
0.3242,1.6888562445651718,0.00026617155072996944,3.361387173028956e-05
0.3243,1.6892675908588144,0.0002662857053291562,3.3634671542953255e-05
0.32439999999999997,1.6896789739261318,0.0002663998870606092,3.3655481487502126e-05
0.32449999999999996,1.6900903937115752,0.0002665140959292176,3.367630156730792e-05
0.3246,1.6905018501595948,0.0002666283319398675,3.369713178574166e-05
0.3247,1.6909133432146417,0.00026674259509744207,3.37179721461737e-05
0.3248,1.6913248728211663,0.0002668568854068213,3.3738822651973636e-05
0.32489999999999997,1.6917364389236194,0.0002669712028728824,3.3759683306510386e-05
0.325,1.692148041466451,0.0002670855475004994,3.378055411315214e-05
0.3251,1.6925596803941125,0.00026719991929454335,3.3801435075266366e-05
0.3252,1.6929713556510544,0.00026731431825988237,3.3822326196219845e-05
0.3253,1.693383067181727,0.0002674287444013815,3.384322747937861e-05
0.3254,1.6937948149305815,0.0002675431977239028,3.3864138928108e-05
0.3255,1.6942065988420678,0.0002676576782323053,3.3885060545772604e-05
0.3256,1.6946184188606372,0.000267772185931445,3.3905992335736317e-05
0.3257,1.69503027493074,0.0002678867208261748,3.39269343013623e-05
0.3258,1.6954421669968271,0.0002680012829213448,3.3947886446012993e-05
0.3259,1.6958540950033492,0.0002681158722218019,3.396884877305011e-05
0.326,1.696266058894756,0.00026823048873239,3.3989821285834645e-05
0.3261,1.6966780586154997,0.00026834513245795006,3.401080398772686e-05
0.32619999999999993,1.697090094110029,0.00026845980340331997,3.403179688208628e-05
0.3263,1.6975021653227964,0.00026857450157333456,3.4052799972271706e-05
0.32639999999999997,1.6979142721982516,0.0002686892269728256,3.407381326164122e-05
0.32649999999999996,1.6983264146808454,0.0002688039796066219,3.409483675355215e-05
0.32659999999999995,1.6987385927150287,0.00026891875947954933,3.411587045136111e-05
0.3267,1.6991508062452518,0.00026903356659643065,3.4136914358423964e-05
0.3268,1.6995630552159655,0.00026914840096208545,3.4157968478095854e-05
0.32689999999999997,1.6999753395716206,0.00026926326258133043,3.417903281373116e-05
0.32699999999999996,1.7003876592566667,0.0002693781514589793,3.4200107368683556e-05
0.3271,1.7008000142155564,0.0002694930675998426,3.422119214630595e-05
0.3272,1.7012124043927384,0.00026960801100872796,3.4242287149950514e-05
0.3273,1.7016248297326644,0.00026972298169043984,3.426339238296869e-05
0.32739999999999997,1.7020372901797851,0.00026983797964977974,3.4284507848711156e-05
0.3275,1.7024497856785503,0.0002699530048915462,3.4305633550527854e-05
0.3276,1.7028623161734115,0.0002700680574205345,3.4326769491767996e-05
0.3277,1.703274881608819,0.0002701831372415371,3.4347915675780014e-05
0.3278,1.7036874819292234,0.00027029824435934334,3.4369072105911624e-05
0.3279,1.7041001170790757,0.0002704133787787394,3.439023878550976e-05
0.328,1.704512787002826,0.0002705285405045085,3.441141571792062e-05
0.3281,1.704925491644925,0.0002706437295414309,3.4432602906489644e-05
0.3282,1.7053382309498237,0.0002707589458942837,3.445380035456154e-05
0.32830000000000004,1.7057510048619726,0.00027087418956784097,3.4475008065480234e-05
0.32839999999999997,1.7061638133258223,0.0002709894605668737,3.449622604258889e-05
0.32849999999999996,1.7065766562858238,0.00027110475889614995,3.451745428922994e-05
0.32859999999999995,1.7069895336864271,0.0002712200845604345,3.453869280874504e-05
0.3287,1.707402445472083,0.0002713354375644894,3.455994160447509e-05
0.3288,1.7078153915872427,0.0002714508179130732,3.458120067976023e-05
0.32889999999999997,1.7082283719763558,0.0002715662256109419,3.460247003793982e-05
0.32899999999999996,1.7086413865838739,0.000271681660662848,3.462374968235249e-05
0.3291,1.7090544353542476,0.0002717971230735412,3.464503961633607e-05
0.3292,1.709467518231927,0.0002719126128477681,3.4666339843227625e-05
0.3293,1.7098806351613631,0.0002720281299902721,3.468765036636348e-05
0.32939999999999997,1.7102937860870062,0.00027214367450579364,3.470897118907916e-05
0.32949999999999996,1.7107069709533074,0.00027225924639907016,3.473030231470944e-05
0.3296,1.711120189704717,0.00027237484567483585,3.475164374658831e-05
0.3297,1.7115334422856858,0.00027249047233782203,3.4772995488048994e-05
0.3298,1.7119467286406644,0.0002726061263927568,3.479435754242394e-05
0.32989999999999997,1.7123600487141035,0.0002727218078443652,3.4815729913044805e-05
0.33,1.712773402450454,0.00027283751669736936,3.4837112603242484e-05
0.3301,1.7131867897941657,0.0002729532529564881,3.48585056163471e-05
0.3302,1.71360021068969,0.0002730690166264374,3.4879908955687975e-05
0.3303,1.7140136650814772,0.00027318480771192994,3.490132262459366e-05
0.3304,1.7144271529139783,0.0002733006262176754,3.492274662639194e-05
0.3305,1.7148406741316438,0.0002734164721483805,3.494418096440979e-05
0.33059999999999995,1.7152542286789232,0.0002735323455087488,3.49656256419734e-05
0.33069999999999994,1.7156678165002692,0.00027364824630348063,3.498708066240819e-05
0.3308,1.7160814375401312,0.00027376417453727343,3.500854602903879e-05
0.33089999999999997,1.71649509174296,0.00027388013021482156,3.503002174518904e-05
0.33099999999999996,1.7169087790532065,0.00027399611334081615,3.505150781418197e-05
0.33109999999999995,1.7173224994153207,0.00027411212391994534,3.5073004239339844e-05
0.3312,1.7177362527737543,0.0002742281619568942,3.509451102398412e-05
0.3313,1.7181500390729572,0.00027434422745634465,3.5116028171435474e-05
0.3314,1.71856385825738,0.0002744603204229755,3.513755568501377e-05
0.33149999999999996,1.7189777102714734,0.0002745764408614625,3.515909356803808e-05
0.3316,1.719391595059688,0.00027469258877647846,3.518064182382669e-05
0.3317,1.7198055125664748,0.0002748087641726928,3.5202200455697064e-05
0.3318,1.7202194627362843,0.00027492496705477205,3.5223769466965884e-05
0.3319,1.7206334455135677,0.0002750411974273796,3.524534886094903e-05
0.332,1.7210474608427744,0.00027515745529517563,3.5266938640961564e-05
0.3321,1.7214615086683551,0.0002752737406628174,3.528853881031775e-05
0.3322,1.7218755889347617,0.000275390053534959,3.531014937233106e-05
0.3323,1.7222897015864445,0.00027550639391625136,3.533177033031414e-05
0.33240000000000003,1.7227038465678528,0.00027562276181134236,3.535340168757884e-05
0.3325,1.723118023823439,0.0002757391572248768,3.5375043447436186e-05
0.3326,1.7235322332976526,0.00027585558016149635,3.539669561319641e-05
0.3327,1.7239464749349451,0.00027597203062583946,3.541835818816891e-05
0.3328,1.724360748679766,0.00027608850862254167,3.54400311756623e-05
0.3329,1.724775054476567,0.0002762050141562352,3.5461714578984355e-05
0.33299999999999996,1.7251893922697985,0.00027632154723154935,3.548340840144204e-05
0.33309999999999995,1.7256037620039104,0.0002764381078531102,3.55051126463415e-05
0.33319999999999994,1.7260181636233543,0.00027655469602554073,3.5526827316988075e-05
0.3333,1.7264325970725802,0.00027667131175346086,3.554855241668627e-05
0.3334,1.7268470622960395,0.0002767879550414873,3.557028794873976e-05
0.33349999999999996,1.7272615592381821,0.0002769046258942337,3.5592033916451435e-05
0.33359999999999995,1.727676087843459,0.0002770213243163106,3.5613790323123324e-05
0.3337,1.7280906480563205,0.00027713805031232534,3.5635557172056634e-05
0.3338,1.7285052398212175,0.0002772548038868823,3.565733446655177e-05
0.3339,1.7289198630826008,0.0002773715850445825,3.567912220990829e-05
0.33399999999999996,1.7293345177849206,0.0002774883937900241,3.570092040542492e-05
0.3341,1.729749203872628,0.00027760523012780185,3.572272905639956e-05
0.3342,1.7301639212901738,0.0002777220940625076,3.5744548166129284e-05
0.3343,1.7305786699820076,0.00027783898559873005,3.576637773791033e-05
0.3344,1.7309934498925812,0.0002779559047410546,3.57882177750381e-05
0.3345,1.7314082609663448,0.00027807285149406377,3.5810068280807153e-05
0.3346,1.7318231031477485,0.0002781898258623367,3.583192925851122e-05
0.3347,1.7322379763812437,0.00027830682785044957,3.58538007114432e-05
0.3348,1.732652880611281,0.0002784238574629754,3.587568264289513e-05
0.33490000000000003,1.7330678157823107,0.00027854091470448384,3.5897575056158235e-05
0.335,1.7334827818387837,0.0002786579995795418,3.591947795452288e-05
0.33509999999999995,1.73389777872515,0.00027877511209271276,3.5941391341278577e-05
0.33519999999999994,1.7343128063858615,0.0002788922522485571,3.596331521971402e-05
0.3353,1.7347278647653674,0.00027900942005163224,3.598524959311703e-05
0.3354,1.7351429538081196,0.0002791266155064922,3.60071944647746e-05
0.33549999999999996,1.7355580734585678,0.000279243838617688,3.602914983797287e-05
0.33559999999999995,1.7359732236611636,0.0002793610893897676,3.605111571599711e-05
0.3357,1.7363884043603568,0.00027947836782727563,3.6073092102131774e-05
0.3358,1.7368036155005977,0.0002795956739347536,3.609507899966044e-05
0.3359,1.7372188570263385,0.00027971300771673996,3.611707641186583e-05
0.33599999999999997,1.7376341288820287,0.00027983036917777,3.6139084342029814e-05
0.3361,1.7380494310121184,0.00027994775832237577,3.616110279343342e-05
0.3362,1.7384647633610595,0.00028006517515508626,3.61831317693568e-05
0.3363,1.7388801258733024,0.0002801826196804272,3.6205171273079266e-05
0.3364,1.7392955184932968,0.0002803000919029213,3.622722130787924e-05
0.3365,1.7397109411654945,0.000280417591827088,3.62492818770343e-05
0.3366,1.7401263938343454,0.00028053511945744366,3.6271352983821174e-05
