time_us,phase_target_pi,phase_measured_pi,intensity_target_au,intensity_measured_au
0.7035092015554235,0.047297877435582135,0.04793522186985478,1.0,0.9932074157112478
0.7048095882496109,0.059047799523787185,0.062310747494695576,1.0,0.9967856272057345
0.7061099749437983,0.07079772161199123,0.0708182148161092,1.0,0.994901026143328
0.707410361637986,0.08208170799396804,0.08168884539034238,1.0,0.9964660807793639
0.7087107483321734,0.09315064712691638,0.09372818882327753,1.0,0.99608884741978
0.7100111350263608,0.10407546799787673,0.10350985990623512,1.0,0.9995892002563013
0.7113115217205483,0.11434575176231232,0.11300015257458967,1.0,0.9989425333661456
0.7126119084147358,0.12461603552674881,0.12166962591472119,1.0,0.9926846348917616
0.7139122951089232,0.13427025204123863,0.13106877805436945,1.0,1.000898925612937
0.7152126818031108,0.14363012531408714,0.13898910442543225,1.0,1.0023533056937448
0.7165130684972982,0.15281451320756465,0.14911994292943112,1.0,0.9956318653280251
0.7178134551914856,0.16115962319970686,0.15577855171130883,1.0,0.9987604849356093
0.7191138418856732,0.16950473319184906,0.16647697766043754,1.0,1.0048219549794637
0.7204142285798606,0.17710651939763175,0.1732930437205405,1.0,1.0059179675935102
0.7217146152740481,0.1843408196865645,0.18128355024325882,1.0,1.0054771013292414
0.7230150019682356,0.19137685484636094,0.1858830094001637,1.0,1.0116107925530324
0.7243153886624231,0.19741255230914714,0.19315155128847156,1.0,1.0092019664377456
0.7256157753566106,0.2034482497719334,0.19960611553787622,1.0,1.0092458111280564
0.726916162050798,0.20863730013741547,0.20522944858973632,1.0,1.0007731029828744
0.7282165487449854,0.21339340596450293,0.20809381669491553,1.0,1.0030416979363501
0.7295169354391731,0.21793567389889715,0.21255955801644766,1.0,1.0018772738766177
0.7308173221333605,0.22133747307226032,0.21657209761760254,1.0,1.0005425697224952
0.7321177088275479,0.2247392722456238,0.22040386651706137,1.0,0.9955158448888732
0.7334180955217354,0.22720999034797196,0.2243246900873134,1.0,0.9971647971247071
0.7347184822159228,0.22918841271162257,0.22680248323457622,1.0,1.003346818931619
0.7360188689101103,0.2309432396152583,0.22746858490022703,1.0,1.0009332142753364
0.7373192556042979,0.23143475216980805,0.2285107068039827,1.0,0.9983630798512817
0.7386196422984853,0.23192626472435773,0.22896806377434764,1.0,0.9998633954285214
0.7399200289926727,0.2314195805878368,0.2278788369876876,1.0,1.003351980982993
0.7412204156868603,0.23036737035270735,0.22727697681613257,1.0,1.0014828195895225
0.7425208023810477,0.22908802068275955,0.2253510969680611,1.0,1.0036065876186546
0.7438211890752351,0.2264458344039023,0.22222938664270953,1.0,1.003918222982414
0.7451215757694227,0.2238036481250444,0.22012499961287718,1.0,1.0042238637813412
0.7464219624636101,0.22012573151397982,0.21708892803024235,1.0,0.9943767556593536
0.7477223491577976,0.21586293189178699,0.21550117128688223,1.0,1.000246667729937
0.7490227358519851,0.2113796917610729,0.2091030745057305,1.0,1.0097313081109034
0.7503231225461725,0.20548808171480412,0.2049373937140931,1.0,1.008463260567446
0.7516235092403599,0.19959647166853528,0.19836418152081595,1.0,1.00328318497285
0.7529238959345476,0.19268983004677614,0.19438334320287767,1.0,1.0046163550854756
0.754224282628735,0.1851910866726482,0.18486237282081794,1.0,1.0099077180093265
0.7555246693229224,0.17749444564396297,0.17893156085795592,1.0,1.0092082335891457
0.7568250560171099,0.168447444148892,0.16883280963884106,1.0,1.0020787713881618
0.7581254427112973,0.15940044265382106,0.16253831654866552,1.0,1.0005118911165334
0.7594258294054849,0.14944997708682828,0.15125839641062175,1.0,1.0045799280776915
0.7607262160996724,0.1389552560548241,0.14321184304793777,1.0,1.0018658446738498
0.7620266027938598,0.12830357255881447,0.1303387867861486,1.0,1.0006638430752068
0.7633269894880473,0.11650410104475753,0.12129863675724575,1.0,1.006908778305327
0.7646273761822348,0.10470462953069958,0.10623293951217909,1.0,1.012938306180115
0.7659277628764222,0.09221203712775701,0.09571245337509465,1.0,1.002033327163648
0.7672281495706098,0.07928835734270319,0.07886742550335188,1.0,0.9946061827656161
0.7685285362647972,0.06626132566636019,0.06772881889459408,1.0,0.9972078304172611
0.7698289229589846,0.052421259111865376,0.05279588703319177,1.0,1.0029049838606106
0.7711293096531722,0.038581192557371774,0.04303899775716281,1.0,0.9961209248280436
0.7724296963473596,0.024317146819894393,0.027035862679727136,1.0,0.9945807105880322
0.773730083041547,0.009780916915561919,0.013072016225558323,1.0,0.9911309640274
0.7750304697357346,-0.004805772970243098,-0.004618865862975047,1.0,0.9922654765019163
0.7763308564299221,-0.019821372698565095,-0.016940808383330713,1.0,0.9937261860645742
0.7776312431241095,-0.034836972426885784,-0.03394618444672399,1.0,0.9949371150718354
0.778931629818297,-0.050021124692077555,-0.047074106705812156,1.0,1.0000145814205352
0.7802320165124844,-0.06531694301294425,-0.0641500543420982,1.0,0.9980621056154627
0.7815324032066718,-0.08062331121343518,-0.07925114640736244,1.0,0.9923429960265123
0.7828327899008595,-0.09602706291815272,-0.09645018264043417,1.0,0.9887314012918388
0.7841331765950469,-0.11143081462286891,-0.10778391098295541,1.0,0.9849768274382025
0.7854335632892343,-0.12681385213520913,-0.12329618657289036,1.0,0.99331421925586
0.7867339499834218,-0.14218273057934386,-0.13890697062956342,1.0,0.9944508489600654
0.7880343366776092,-0.15753781404340442,-0.15598567883842074,1.0,0.993002199327642
0.7893347233717968,-0.17275379812503686,-0.16949771889371532,1.0,0.9970487344167267
0.7906351100659843,-0.187969782206668,-0.18587927126370635,1.0,1.0054244211465895
0.7919354967601717,-0.20303599138352504,-0.201266857807506,1.0,1.0000497448652284
0.7932358834543591,-0.21799659005060457,-0.2177143408324073,1.0,0.9974907015646649
0.7945362701485467,-0.23292785259228865,-0.23147688167710193,1.0,0.995697957758026
0.7958366568427341,-0.24753375083416335,-0.24544319317603708,1.0,1.0004013708080308
0.7971370435369216,-0.2621396490760393,-0.2599188908255447,1.0,0.9967246978811894
0.7984374302311091,-0.2764782992011671,-0.27557275584548335,1.0,0.9958918812321502
0.7997378169252966,-0.29062258705957095,-0.2907294094747365,1.0,1.0005918247353525
0.8010382036194841,-0.3047230191765318,-0.3047586406717281,1.0,1.0058425219756806
0.8023385903136715,-0.31828402567372854,-0.3175580525520824,1.0,1.000784731863462
0.8036389770078589,-0.331845032170923,-0.32988467634505086,1.0,0.9989837378608462
0.8049393637020466,-0.34499389200684194,-0.34433826860940453,1.0,1.0030392870043916
0.806239750396234,-0.3578336418468004,-0.3558919664598727,1.0,1.0077072397451703
0.8075401370904214,-0.37061448311958367,-0.3688146226857091,1.0,0.998758162757669
0.8088405237846089,-0.38258369524461955,-0.3790824624462514,1.0,0.996394736489885
0.8101409104787963,-0.3945529073696573,-0.3910287636975687,1.0,1.0061504384673712
0.8114412971729837,-0.4059463006012612,-0.40062290396418976,1.0,1.006797962186378
0.8127416838671714,-0.41689439388860944,-0.41366062929749886,1.0,1.0025949934621532
0.8140420705613588,-0.4277726799075364,-0.42242255412963803,1.0,1.001209391438048
0.8153424572555462,-0.43756022735739536,-0.4324288599010936,1.0,1.001035104039751
0.8166428439497337,-0.4473477748072542,-0.4410750395854692,1.0,1.006046430419184
0.8179432306439212,-0.45642553653719703,-0.45368001350619525,1.0,0.9966478957298954
0.8192436173381087,-0.46493738803099405,-0.4611963665849025,1.0,0.9947205128083753
0.8205440040322962,-0.4733778452744472,-0.46993613831050685,1.0,0.9965280264499176
0.8218443907264836,-0.48053320601172234,-0.47504208234588763,1.0,1.0040966634646855
0.823144777420671,-0.4876885667489975,-0.4844682340654448,1.0,1.0028340209733342
0.8244451641148586,-0.49407716716014244,-0.49002147928041384,1.0,0.9977555435490615
0.825745550809046,-0.4998355536046044,-0.4978170787385163,1.0,0.9994738559757061
0.8270459375032335,-0.5055309690359776,-0.5009751773930048,1.0,1.001547267054224
