gate_type,rabi_freq_MHz,relative_intensity_error,gate_infidelity
TO_2photon,4.0,0.07054802310718646,0.21311535620424327
TO_2photon,4.0,0.07564633275546291,0.23856843522435567
TO_2photon,4.0,0.08111308307896872,0.2661470458298988
TO_2photon,4.0,0.08697490026177834,0.2957622706593781
TO_2photon,4.0,0.093260334688322,0.3272366669740844
TO_2photon,4.0,0.1,0.3602922603530232
TO_2photon,8.0,0.0001,0.0010194640466947291
TO_2photon,8.0,0.00010722672220103231,0.0010197977961640126
TO_2photon,8.0,0.00011497569953977356,0.0010200647641577243
TO_2photon,8.0,0.0001232846739442066,0.0010203722820412153
TO_2photon,8.0,0.00013219411484660288,0.0010207321985863382
TO_2photon,8.0,0.00014174741629268049,0.001021165656537315
TO_2photon,8.0,0.0001519911082952933,0.001021648733729008
TO_2photon,8.0,0.00016297508346206434,0.0010222077792708673
TO_2photon,8.0,0.0001747528400007683,0.0010228957235579594
TO_2photon,8.0,0.0001873817422860383,0.0010236500733017406
TO_2photon,8.0,0.00020092330025650479,0.0010257702894522769
TO_2photon,8.0,0.00021544346900318845,0.001026842069440037
TO_2photon,8.0,0.00023101297000831605,0.0010280401577810183
TO_2photon,8.0,0.0002477076355991711,0.0010294933618626434
TO_2photon,8.0,0.00026560877829466864,0.0010310888171981558
TO_2photon,8.0,0.0002848035868435802,0.0010329851110790766
TO_2photon,8.0,0.0003053855508833416,0.0010350749878796917
TO_2photon,8.0,0.00032745491628777284,0.0010376285065898383
TO_2photon,8.0,0.0003511191734215131,0.001040581468614632
TO_2photon,8.0,0.00037649358067924675,0.0010439702114866112
TO_2photon,8.0,0.0004037017258596554,0.0010478760067514914
TO_2photon,8.0,0.0004328761281083057,0.001052400943508336
TO_2photon,8.0,0.0004641588833612782,0.001057715135565962
TO_2photon,8.0,0.0004977023564332114,0.0010637598380845992
TO_2photon,8.0,0.0005336699231206312,0.001070727002635219
TO_2photon,8.0,0.0005722367659350221,0.0010787386805045651
TO_2photon,8.0,0.0006135907273413176,0.0010880180194734468
TO_2photon,8.0,0.0006579332246575682,0.0010987138955592668
TO_2photon,8.0,0.0007054802310718645,0.0011109574779420983
TO_2photon,8.0,0.000756463327554629,0.00112614900043162
TO_2photon,8.0,0.0008111308307896872,0.0011403149910440558
TO_2photon,8.0,0.0008697490026177834,0.0011591699549662327
TO_2photon,8.0,0.0009326033468832199,0.0011807629251144869
TO_2photon,8.0,0.001,0.0012058177814533444
TO_2photon,8.0,0.0010722672220103231,0.0012346322436374013
TO_2photon,8.0,0.0011497569953977356,0.0012678388087191683
TO_2photon,8.0,0.0012328467394420659,0.0013059110116402373
TO_2photon,8.0,0.0013219411484660286,0.0013500510199273563
TO_2photon,8.0,0.0014174741629268048,0.0014006053225699144
TO_2photon,8.0,0.0015199110829529332,0.0014589276946443963
TO_2photon,8.0,0.0016297508346206436,0.0015258886229876367
TO_2photon,8.0,0.001747528400007683,0.001602941431558813
TO_2photon,8.0,0.001873817422860383,0.0016918334293894999
TO_2photon,8.0,0.002009233002565046,0.0017939004735377795
TO_2photon,8.0,0.0021544346900318843,0.0019131963272627228
TO_2photon,8.0,0.0023101297000831605,0.0020484454150569986
TO_2photon,8.0,0.0024770763559917113,0.0022016358149455906
TO_2photon,8.0,0.0026560877829466868,0.002382726446427008
TO_2photon,8.0,0.002848035868435802,0.0025874583799297968
TO_2photon,8.0,0.0030538555088334154,0.0028236793711428065
TO_2photon,8.0,0.0032745491628777285,0.003094597945654809
TO_2photon,8.0,0.003511191734215131,0.0034077487651005267
TO_2photon,8.0,0.0037649358067924675,0.0037648280144495505
TO_2photon,8.0,0.004037017258596558,0.00417703313848139
TO_2photon,8.0,0.004328761281083062,0.004650174082622804
TO_2photon,8.0,0.004641588833612782,0.005193899225320653
TO_2photon,8.0,0.004977023564332114,0.005817361550817357
TO_2photon,8.0,0.005336699231206312,0.0065356760823601645
TO_2photon,8.0,0.00572236765935022,0.0073591273769172405
TO_2photon,8.0,0.006135907273413176,0.008304333265439445
TO_2photon,8.0,0.006579332246575682,0.009387609379209905
TO_2photon,8.0,0.007054802310718645,0.01063172189536754
TO_2photon,8.0,0.007564633275546291,0.012059036379882149
TO_2photon,8.0,0.008111308307896872,0.013695333179211233
TO_2photon,8.0,0.008697490026177835,0.015570546989839285
TO_2photon,8.0,0.0093260334688322,0.017721678147482378
TO_2photon,8.0,0.01,0.020178797331298015
TO_2photon,8.0,0.010722672220103232,0.022993929333873564
TO_2photon,8.0,0.011497569953977356,0.026212819317335878
TO_2photon,8.0,0.012328467394420659,0.02989202979768968
TO_2photon,8.0,0.013219411484660288,0.034093088667974225
TO_2photon,8.0,0.014174741629268049,0.03888551255259487
TO_2photon,8.0,0.01519911082952933,0.04434726388990451
TO_2photon,8.0,0.01629750834620645,0.05056537291211549
TO_2photon,8.0,0.01747528400007685,0.05762641946597746
TO_2photon,8.0,0.018738174228603847,0.06564061674634858
TO_2photon,8.0,0.02009233002565048,0.0747191366484321
TO_2photon,8.0,0.021544346900318846,0.08497400509815711
TO_2photon,8.0,0.023101297000831605,0.09653418037439454
TO_2photon,8.0,0.024770763559917114,0.10952686776547871
TO_2photon,8.0,0.026560877829466867,0.12407922888464928
TO_2photon,8.0,0.02848035868435802,0.14031702692614068
TO_2photon,8.0,0.030538555088334154,0.15835871475797936
TO_2photon,8.0,0.03274549162877728,0.1782961051551153
TO_2photon,8.0,0.03511191734215131,0.20021228758098775
TO_2photon,8.0,0.037649358067924674,0.22412434258164327
TO_2photon,8.0,0.040370172585965536,0.2500320381968214
TO_2photon,8.0,0.04328761281083057,0.27784808633421165
TO_2photon,8.0,0.04641588833612782,0.3074247821587155
TO_2photon,8.0,0.04977023564332114,0.33851062848220026
TO_2photon,8.0,0.05336699231206313,0.37077695945496403
TO_2photon,8.0,0.0572236765935022,0.40378915398377424
TO_2photon,8.0,0.061359072734131756,0.4370302382345407
TO_2photon,8.0,0.06579332246575682,0.4699054583518092
TO_2photon,8.0,0.07054802310718646,0.5017837342735165
TO_2photon,8.0,0.07564633275546291,0.5320213386971717
TO_2photon,8.0,0.08111308307896872,0.5600193014747852
TO_2photon,8.0,0.08697490026177834,0.585258813451969
TO_2photon,8.0,0.093260334688322,0.6073560676519989
TO_2photon,8.0,0.1,0.6260895915621725
TO_2photon,12.0,0.0001,0.0008008357838663605
TO_2photon,12.0,0.00010722672220103231,0.0008013706878642335
TO_2photon,12.0,0.00011497569953977356,0.0008019041523946724
TO_2photon,12.0,0.0001232846739442066,0.0008025082065307165
TO_2photon,12.0,0.00013219411484660288,0.0008032492901682842
TO_2photon,12.0,0.00014174741629268049,0.0008040901790702382
TO_2photon,12.0,0.0001519911082952933,0.0008051145285848937
TO_2photon,12.0,0.00016297508346206434,0.0008062805991337907
TO_2photon,12.0,0.0001747528400007683,0.0008076682925132195
TO_2photon,12.0,0.0001873817422860383,0.000809314546881712
TO_2photon,12.0,0.00020092330025650479,0.0008124200834895845
TO_2photon,12.0,0.00021544346900318845,0.0008146436636924381
TO_2photon,12.0,0.00023101297000831605,0.0008172144712985663
TO_2photon,12.0,0.0002477076355991711,0.0008202462306146074
TO_2photon,12.0,0.00026560877829466864,0.0008236803576655571
TO_2photon,12.0,0.0002848035868435802,0.0008277387973374406
TO_2photon,12.0,0.0003053855508833416,0.0008323885022839539
TO_2photon,12.0,0.00032745491628777284,0.0008378158761906951
TO_2photon,12.0,0.0003511191734215131,0.0008441680626896098
TO_2photon,12.0,0.00037649358067924675,0.0008515091009485554
TO_2photon,12.0,0.0004037017258596554,0.0008599729331073558
TO_2photon,12.0,0.0004328761281083057,0.0008697951235561163
TO_2photon,12.0,0.0004641588833612782,0.0008811432060078506
TO_2photon,12.0,0.0004977023564332114,0.0008944100536319999
TO_2photon,12.0,0.0005336699231206312,0.0009095877795863849
TO_2photon,12.0,0.0005722367659350221,0.0009271128115191374
TO_2photon,12.0,0.0006135907273413176,0.0009473436845702787
TO_2photon,12.0,0.0006579332246575682,0.0009707017498783443
TO_2photon,12.0,0.0007054802310718645,0.0009976535855412694
TO_2photon,12.0,0.000756463327554629,0.0010285844859939663
TO_2photon,12.0,0.0008111308307896872,0.0010655773099004229
TO_2photon,12.0,0.0008697490026177834,0.001104763508723683
TO_2photon,12.0,0.0009326033468832199,0.001152472476564359
TO_2photon,12.0,0.001,0.00120733334590728
TO_2photon,12.0,0.0010722672220103231,0.001270673583278703
TO_2photon,12.0,0.0011497569953977356,0.0013436524232447455
TO_2photon,12.0,0.0012328467394420659,0.0014277449357695815
TO_2photon,12.0,0.0013219411484660286,0.0015244612938439817
TO_2photon,12.0,0.0014174741629268048,0.0016359949814086505
