absorb_at_checkpoints,alignment_nm,curve_rmse_pp,dt_us,id,jitter_nm,joint_rmse_pp,manual,ml_endpoints,ml_vector,model,no_aod_disorder,noise_us,pointing,recoil,rin,seed,shots,slm_pointing,slm_rin,temperature,vs,waist_um
,50.0,"[18.943720996733283, 23.831563597258317, 11.767479297369734, 11.630232027980409]",0.025,aod_T7_R6e-09,10.0,17.32443256452378,paper_cubic,,True,diffusion,,0.05,1e-24,,6e-09,26091611,256,0,0,7,0,
,50.0,"[19.46865735528788, 6.544302120987533, 15.183357401296366, 12.774339792945492]",0.025,baseline_current,10.0,14.279133452257343,legacy_piecewise,,,legacy,,0.05,1e-24,,1e-08,26091611,1024,,,15.0,0.5391689206547424,
,50.0,"[20.675170435909216, 4.429997101986373, 6.178552586887668, 9.329973277804271]",0.025,coefficients_only,10.0,11.961505552301725,legacy_piecewise,,,corrected_constant,,0.05,1e-24,,1e-08,26091611,256,,,15.0,0.5391689206547424,
,50.0,"[8.630596564254969, 14.658268884289818, 11.892954538723094, 9.329973277804271]",0.025,corrected_both,10.0,11.378079943071949,paper_cubic,,,corrected_constant,,0.05,1e-24,,1e-08,26091611,256,,,15.0,0.5391689206547424,
,50.0,"[9.972262365116432, 2.4874875493114663, 17.895853983214998, 14.253191355037064]",0.025,diffusion_T15,10.0,12.540421290556317,paper_cubic,,,diffusion,,0.05,1e-24,,1e-08,26091611,256,,,15.0,0.5391689206547424,
,50.0,"[19.11096546688128, 6.431758929100652, 15.543673182505325, 13.05713123209507]",0.0125,formal_baseline,10.0,14.306388223579376,legacy_piecewise,,,legacy,,0.05,1e-24,,1e-08,26091621,4096,,,15.0,0.5391689206547424,
,50.0,"[5.720446875269441, 14.169093410118231, 11.664551648499613, 9.004196554597735]",0.0125,formal_corrected,10.0,10.613953566788632,paper_cubic,,True,corrected_constant,,0.05,1e-24,,1e-08,26091621,4096,,,15.0,0.5391689206547424,
,50.0,"[18.626987781823242, 29.07139863069508, 20.412359256158837, 15.205903939072]",0.025,grid_T10_R0,10.0,21.447580383202617,paper_cubic,,,diffusion,,0.05,1e-24,,0,26091611,256,,,10,0,
,50.0,"[8.35053848818299, 8.184741756913022, 10.7531396385919, 6.027505525035531]",0.025,grid_T10_R1e-08,10.0,8.49532703330736,paper_cubic,,,diffusion,,0.05,1e-24,,1e-08,26091611,256,,,10,0,
,50.0,"[15.97892340020036, 28.56411239175586, 19.826583680824196, 14.681087553786371]",0.025,grid_T10_R1e-09,10.0,20.493061398757607,paper_cubic,,,diffusion,,0.05,1e-24,,1e-09,26091611,256,,,10,0,
,50.0,"[15.006718651702533, 24.7662001916884, 15.413645082761185, 11.534945042006623]",0.025,grid_T10_R3e-09,10.0,17.386788723665912,paper_cubic,,,diffusion,,0.05,1e-24,,3e-09,26091611,256,,,10,0,
,50.0,"[10.539306743420742, 20.22299632652322, 3.830778519534318, 5.06588313989353]",0.025,grid_T10_R6e-09,10.0,11.836221980717374,paper_cubic,,,diffusion,,0.05,1e-24,,6e-09,26091611,256,,,10,0,
,50.0,"[7.717584181870587, 26.527088370556644, 18.960084683092788, 12.953305004910613]",0.025,grid_T15_R0,10.0,17.96190722587577,paper_cubic,,,diffusion,,0.05,1e-24,,0,26091611,256,,,15,0,
,50.0,"[3.5213204367392095, 3.9166932496190645, 17.69088174633593, 13.45500675162303]",0.025,grid_T15_R1e-08,10.0,11.420865633555014,paper_cubic,,,diffusion,,0.05,1e-24,,1e-08,26091611,256,,,15,0,
,50.0,"[6.597286880232129, 24.18460912251024, 16.048510609048762, 10.443687272861544]",0.025,grid_T15_R1e-09,10.0,15.772165428459479,paper_cubic,,,diffusion,,0.05,1e-24,,1e-09,26091611,256,,,15,0,
,50.0,"[7.298881313985555, 18.800096015328915, 10.330404166680001, 7.394442022798926]",0.025,grid_T15_R3e-09,10.0,11.91755324822096,paper_cubic,,,diffusion,,0.05,1e-24,,3e-09,26091611,256,,,15,0,
,50.0,"[1.8554591694646645, 10.108679867059719, 2.1462184776517663, 1.213280066638362]",0.025,grid_T15_R6e-09,10.0,5.284563360821895,paper_cubic,,,diffusion,,0.05,1e-24,,6e-09,26091611,256,,,15,0,
,50.0,"[5.194262954980145, 18.465534793867455, 13.62935575291526, 9.309791323032105]",0.025,grid_T21_R0,10.0,12.652943289872686,paper_cubic,,,diffusion,,0.05,1e-24,,0,26091611,256,,,21,0,
,50.0,"[13.402040564661203, 6.630522061492091, 20.509065348646086, 19.440611843050302]",0.025,grid_T21_R1e-08,10.0,15.985443881950392,paper_cubic,,,diffusion,,0.05,1e-24,,1e-08,26091611,256,,,21,0,
,50.0,"[5.720087327862313, 16.909494692239218, 10.912151571760319, 7.11174989572614]",0.025,grid_T21_R1e-09,10.0,11.048783284706843,paper_cubic,,,diffusion,,0.05,1e-24,,1e-09,26091611,256,,,21,0,
,50.0,"[5.71928637987171, 9.130181709671211, 3.3395405676667758, 3.419458327549643]",0.025,grid_T21_R3e-09,10.0,5.8931248333023944,paper_cubic,,,diffusion,,0.05,1e-24,,3e-09,26091611,256,,,21,0,
,50.0,"[9.483984232222415, 2.81687455549679, 10.36804496912682, 10.162865591035338]",0.025,grid_T21_R6e-09,10.0,8.78437437558496,paper_cubic,,,diffusion,,0.05,1e-24,,6e-09,26091611,256,,,21,0,
,50.0,"[15.43258241406636, 11.950544134046647, 9.824459893670245, 7.210072913062074]",0.025,grid_T28_R0,10.0,11.50527345047428,paper_cubic,,,diffusion,,0.05,1e-24,,0,26091611,256,,,28,0,
,50.0,"[18.9332596778417, 16.368662533643047, 28.430185215736426, 28.765835719776494]",0.025,grid_T28_R1e-08,10.0,23.78103325776197,paper_cubic,,,diffusion,,0.05,1e-24,,1e-08,26091611,256,,,28,0,
,50.0,"[15.140602892688207, 10.4917033707865, 7.26359288341865, 5.364029612738898]",0.025,grid_T28_R1e-09,10.0,10.257269261809416,paper_cubic,,,diffusion,,0.05,1e-24,,1e-09,26091611,256,,,28,0,
,50.0,"[17.937207277350836, 4.328913018725823, 7.450259478975554, 7.993922094151973]",0.025,grid_T28_R3e-09,10.0,10.72254691742799,paper_cubic,,,diffusion,,0.05,1e-24,,3e-09,26091611,256,,,28,0,
,50.0,"[18.692935815462462, 8.75787336145747, 16.725586592577905, 17.15701622203092]",0.025,grid_T28_R6e-09,10.0,15.813243245182024,paper_cubic,,,diffusion,,0.05,1e-24,,6e-09,26091611,256,,,28,0,
,50.0,"[27.242636069592425, 30.42284525793916, 20.64573332333078, 15.205903939072]",0.025,grid_T4.3_R0,10.0,24.11004226806304,paper_cubic,,,diffusion,,0.05,1e-24,,0,26091611,256,,,4.3,0,
,50.0,"[21.957596830928043, 16.337318791992004, 4.3960053903573355, 2.8226869478312966]",0.025,grid_T4.3_R1e-08,10.0,13.931407582314362,paper_cubic,,,diffusion,,0.05,1e-24,,1e-08,26091611,256,,,4.3,0,
,50.0,"[26.490895261725463, 29.886056547496047, 20.64573332333078, 15.205903939072]",0.025,grid_T4.3_R1e-09,10.0,23.729779427916185,paper_cubic,,,diffusion,,0.05,1e-24,,1e-09,26091611,256,,,4.3,0,
,50.0,"[27.567379687794574, 29.031620497961818, 19.07418755339623, 14.881557396531614]",0.025,grid_T4.3_R3e-09,10.0,23.38846293024141,paper_cubic,,,diffusion,,0.05,1e-24,,3e-09,26091611,256,,,4.3,0,
,50.0,"[25.371534914305105, 24.44868508470821, 13.21473819817029, 10.259214515192614]",0.025,grid_T4.3_R6e-09,10.0,19.502139462081825,paper_cubic,,,diffusion,,0.05,1e-24,,6e-09,26091611,256,,,4.3,0,
,50.0,"[24.950485456778434, 29.58243626775013, 20.64573332333078, 15.205903939072]",0.025,grid_T7_R0,10.0,23.21159774297531,paper_cubic,,,diffusion,,0.05,1e-24,,0,26091611,256,,,7,0,
,50.0,"[15.969805744156194, 11.115443828787988, 6.729974304500595, 5.677890168810575]",0.025,grid_T7_R1e-08,10.0,10.678468732984838,paper_cubic,,,diffusion,,0.05,1e-24,,1e-08,26091611,256,,,7,0,
