group,waveform,n,shots,survivors,survival,wilson95_low,wilson95_high,published_fit
Corrected formulas / controls,manual_600us,1,4096,4093,0.999267578125,0.9978486714629491,0.9997508799051849,
Corrected formulas / controls,manual_600us,2,4096,4090,0.99853515625,0.9968075986857966,0.9993284814578364,
Corrected formulas / controls,manual_600us,3,4096,4085,0.997314453125,0.9951972177470491,0.9984997436890822,
Corrected formulas / controls,manual_600us,4,4096,4074,0.99462890625,0.9918806406223304,0.9964502596572975,
Corrected formulas / controls,manual_600us,5,4096,4072,0.994140625,0.9912959670744264,0.996059285722201,0.9823635824886283
Corrected formulas / controls,manual_600us,6,4096,4066,0.99267578125,0.9895635962243474,0.994864714123278,0.9806852336457315
Corrected formulas / controls,manual_600us,7,4096,4061,0.991455078125,0.9881397703182205,0.9938494213219035,0.9790068848028346
Corrected formulas / controls,manual_600us,8,4096,4056,0.990234375,0.9867300726317991,0.9928200003008232,0.9773285359599378
Corrected formulas / controls,manual_600us,9,4096,4052,0.9892578125,0.9856107816089336,0.9919879963576875,0.975650187117041
Corrected formulas / controls,manual_600us,10,4096,4049,0.988525390625,0.9847756016627256,0.9913597050793945,0.9729011606917161
Corrected formulas / controls,manual_600us,11,4096,4043,0.987060546875,0.983114860378963,0.9900935039141554,0.9697618094466128
Corrected formulas / controls,manual_600us,12,4096,4037,0.985595703125,0.9814652366612112,0.9888161851829053,0.9658976098642174
Corrected formulas / controls,manual_600us,13,4096,4032,0.984375,0.9800978681444444,0.9877444349921706,0.961362646759148
Corrected formulas / controls,manual_600us,14,4096,4028,0.9833984375,0.9790082213211099,0.9868827868495039,0.9563860541298348
Corrected formulas / controls,manual_600us,15,4096,4023,0.982177734375,0.9776509528256319,0.9858009366374803,0.9504226992430214
Corrected formulas / controls,manual_600us,16,4096,4015,0.980224609375,0.9754891932191522,0.9840601063119575,0.944329268759075
Corrected formulas / controls,manual_600us,17,4096,4010,0.97900390625,0.9741435999816663,0.9829665808419419,0.9370161811178718
Corrected formulas / controls,manual_600us,18,4096,4005,0.977783203125,0.9728018164634368,0.9818692456526698,0.9297030934766687
Corrected formulas / controls,manual_600us,19,4096,3997,0.975830078125,0.9706621520616038,0.9801063201225003,0.921737002641002
Corrected formulas / controls,manual_600us,20,4096,3992,0.974609375,0.9693289612445153,0.9790003922320873,0.9132748420685087
Corrected formulas / controls,manual_600us,21,4096,3988,0.9736328125,0.9682644999293395,0.9781135585812619,0.9048126814960156
Corrected formulas / controls,manual_600us,22,4096,3977,0.970947265625,0.9653459981138298,0.975665999240268,0.8959860720072557
Corrected formulas / controls,manual_600us,23,4096,3968,0.96875,0.9629667829716362,0.9736548007089589,0.8866271076391995
Corrected formulas / controls,manual_600us,24,4096,3958,0.96630859375,0.960331329020896,0.971412017244696,0.8772681432711432
Corrected formulas / controls,manual_600us,25,4096,3949,0.964111328125,0.9579660236105576,0.9693869089815317,0.867909178903087
Corrected formulas / controls,manual_600us,26,4096,3940,0.9619140625,0.9556064097149912,0.9673561092035952,0.8584973288564335
Corrected formulas / controls,manual_600us,27,4096,3931,0.959716796875,0.9532520220922961,0.9653200831527876,0.8489608984789384
Corrected formulas / controls,manual_600us,28,4096,3922,0.95751953125,0.9509024574310025,0.9632792341405783,0.8394244681014434
Corrected formulas / controls,manual_600us,29,4096,3908,0.9541015625,0.947256349406498,0.9600958097840784,0.8298880377239485
Corrected formulas / controls,manual_600us,30,4096,3897,0.951416015625,0.9443984033341,0.9575876946999731,0.8203516073464534
Corrected formulas / controls,manual_600us,31,4096,3886,0.94873046875,0.9415459763729898,0.9550740605045799,0.8108151769689584
