waveform,n,survivors,q10_uK,q50_uK,q90_uK,mean_uK
manual_600us,42,5517,25.00912515465015,59.953235122469714,104.79281383363596,62.80481056561221
manual_600us,44,5379,25.379342451797626,60.57557852915688,105.37401007170665,63.159819400466134
manual_600us,46,5233,24.981583231052088,60.2472030795112,104.85510130232551,63.116898213946556
manual_600us,48,5095,25.515658298857524,60.712278916919914,106.11277815868618,63.320862831464694
manual_600us,50,4957,25.575636040117807,61.277849868064294,105.73708496792858,63.57924664458391
manual_600us,52,4822,25.331127344359892,61.80688434002317,105.60426780692465,63.685628293591584
manual_600us,54,4697,25.162724397902604,61.50669522002264,106.43013221054682,64.01612132915777
manual_600us,56,4569,25.78960252681429,62.37270473517956,106.40389531071794,64.47006098769661
manual_600us,58,4452,26.05964027436309,62.07941406608674,107.39532815622032,64.7478969975022
manual_600us,60,4315,25.976263088862986,61.89702671664108,106.8846231049762,64.61075653380999
ml_400us,0,8192,20.04575233480981,46.054632288678505,85.35303832405384,49.96951660262401
ml_400us,2,8086,20.230050633884733,46.95987474493907,86.54209511485953,50.49560702526469
ml_400us,4,8014,20.656392924335574,47.5282100454568,87.54994617838324,51.22092451807848
ml_400us,6,7951,20.722103887568828,47.99282303174305,89.19647205929836,52.05711663483065
ml_400us,8,7902,21.332198915287247,49.06627946205943,90.87623289058715,52.98778615923827
ml_400us,10,7831,21.750026994861468,49.58444567176064,91.88033945536465,53.700293917623966
ml_400us,12,7764,21.85935040446389,50.18691724112611,93.20858713082734,54.361869296282784
ml_400us,14,7674,22.221135278453612,50.99729395421667,93.59286614087726,54.98716249681321
ml_400us,16,7579,22.229935553449728,51.67044305671612,94.2176222814154,55.461739563840375
ml_400us,18,7484,22.504558372318723,52.47655617034103,94.13042441096009,55.82701645648409
ml_400us,20,7396,22.42468949848861,53.13942091398337,96.02096695540112,56.541421326058654
ml_400us,22,7312,22.363684423855734,54.05785667292574,96.21298127444402,57.25229682013461
ml_400us,24,7214,23.011223061721854,54.422301919336,97.14203953804244,57.70145973489422
ml_400us,26,7128,23.259090183901915,55.280108618023235,97.94683663306981,58.334750266206534
ml_400us,28,7008,23.175952626251934,55.424667386684405,98.37331195338639,58.53681128558443
ml_400us,30,6915,23.303547146454818,55.78406942660911,99.25457111636626,59.156106325601755
ml_400us,32,6807,23.54579084801608,56.240103401424925,99.62147614735034,59.561929610744045
ml_400us,34,6711,24.072872663292323,56.950590203682445,100.35200506576871,60.10032669363781
ml_400us,36,6606,24.235059170674894,57.4908255630144,101.41356972221924,60.657351022741906
ml_400us,38,6493,24.496584025952117,57.75663198787725,101.89383458301882,61.0555106120295
ml_400us,40,6362,24.641148369285848,58.190147707222025,102.49906445380306,61.22386547380811
ml_400us,42,6226,24.949212382916414,58.59356846705918,101.97113998679622,61.39335876818802
ml_400us,44,6109,25.04793694134469,59.198786265105994,102.72285857204693,61.79009362544795
ml_400us,46,5999,25.527156029568808,59.22270915057247,103.63853493725925,62.17018428596006
ml_400us,48,5892,25.58431901471066,59.64621655891108,103.64207530541647,62.43291210679259
ml_400us,50,5773,25.613656910218868,60.337293591670885,103.36989911306804,62.652502023206814
ml_400us,52,5663,25.825272948204965,60.186374354437355,103.57090031932711,62.95261844137625
ml_400us,54,5552,25.949264862292925,60.75782972408928,104.55539143076406,63.2754990366573
ml_400us,56,5441,25.938590405651926,61.0049529485403,103.50369608069639,63.48610491000951
ml_400us,58,5335,26.12148566884675,61.90252522970502,104.68491523480296,63.748293924421745
ml_400us,60,5200,26.042939193330394,61.78054730575556,103.94724530968516,63.727594366930894
