kind,waveform,reference,comparison,max_delta_pp,worst_n,delta_at_worst_pp,paired_se_at_worst_pp,final_delta_pp,final_label_disagreement,rmse_pp,early_bias_pp,late_bias_pp
sensitivity,ml_400us,sensitivity_reference,sensitivity_pointing_off,3.22265625,60,3.22265625,1.7530622172447619,3.22265625,0.3154296875,3.6320548468170255,-2.6784548330743214,-3.8212570812186653
sensitivity,manual_200us,sensitivity_reference,sensitivity_recoil_off,2.44140625,47,-2.44140625,1.1410453613418474,-1.26953125,0.1123046875,2.2277266694252473,-2.0407683677412707,0.7242559171942498
sensitivity,manual_400us,sensitivity_reference,sensitivity_recoil_off,2.05078125,14,-2.05078125,0.8769949587306375,-0.48828125,0.3056640625,6.237961430225282,-0.232317392595525,9.680990535164707
sensitivity,manual_600us,sensitivity_reference,sensitivity_recoil_off,1.85546875,41,1.85546875,1.6714161147537814,-1.7578125,0.314453125,3.194956139248507,-2.4946659173895993,-3.4199702720873084
sensitivity,ml_400us,sensitivity_reference,sensitivity_recoil_off,4.78515625,55,4.78515625,1.6542158306380148,4.39453125,0.3056640625,3.1133373797455794,-2.5482464997409875,-2.7470383312186653
sensitivity,manual_200us,sensitivity_reference,sensitivity_slm_small,2.05078125,56,-2.05078125,1.1583972061679537,-1.07421875,0.1240234375,2.5199724560772903,-2.3337371177412707,1.5055059171942498
sensitivity,manual_400us,sensitivity_reference,sensitivity_slm_small,2.24609375,30,2.24609375,1.2831748976858288,0.68359375,0.2939453125,7.068827527052375,0.5652086490711417,10.901693660164707
sensitivity,manual_600us,sensitivity_reference,sensitivity_slm_small,2.83203125,31,-2.83203125,1.4497725321290773,-1.85546875,0.3349609375,3.754700693784447,-2.8201867507229323,-4.274462459587308
sensitivity,ml_400us,sensitivity_reference,sensitivity_slm_small,2.44140625,38,2.44140625,1.3481365113728796,1.46484375,0.2958984375,3.468420358364805,-2.3041058747409875,-4.382780518718665
sensitivity,manual_200us,sensitivity_reference,sensitivity_ml_original,0.0,0,0.0,0.0,0.0,0.0,2.508354750976953,-2.3988412844079376,-0.15465033280575025
sensitivity,manual_400us,sensitivity_reference,sensitivity_ml_original,0.0,0,0.0,0.0,0.0,0.0,6.603201878163187,0.5489326074044749,10.120443660164707
sensitivity,manual_600us,sensitivity_reference,sensitivity_ml_original,0.0,0,0.0,0.0,0.0,0.0,2.825221911806109,-2.169145084056266,-2.9561030845873084
sensitivity,ml_400us,sensitivity_reference,sensitivity_ml_original,2.44140625,55,2.44140625,1.6592126059290775,1.3671875,0.306640625,3.6208041193324094,-2.2552777497409875,-4.602507081218665
sensitivity,manual_200us,sensitivity_reference,sensitivity_ml_clamped,0.0,0,0.0,0.0,0.0,0.0,2.508354750976953,-2.3988412844079376,-0.15465033280575025
sensitivity,manual_400us,sensitivity_reference,sensitivity_ml_clamped,0.0,0,0.0,0.0,0.0,0.0,6.603201878163187,0.5489326074044749,10.120443660164707
sensitivity,manual_600us,sensitivity_reference,sensitivity_ml_clamped,0.0,0,0.0,0.0,0.0,0.0,2.825221911806109,-2.169145084056266,-2.9561030845873084
sensitivity,ml_400us,sensitivity_reference,sensitivity_ml_clamped,2.1484375,39,2.1484375,1.473767595325952,2.05078125,0.3369140625,3.8398951775978274,-2.8574912914076545,-4.309538331218665
sensitivity,manual_200us,sensitivity_reference,sensitivity_lens_old,9.375,12,-9.375,1.6319780245846671,-6.54296875,0.1591796875,8.158868201395235,-7.65600274274127,-7.18590033280575
sensitivity,manual_400us,sensitivity_reference,sensitivity_lens_old,4.00390625,35,-4.00390625,1.597567144679908,-2.5390625,0.357421875,4.758445265409296,-0.281145517595525,7.263998347664708
sensitivity,manual_600us,sensitivity_reference,sensitivity_lens_old,1.953125,53,-1.953125,1.7899019733023502,-1.3671875,0.326171875,3.477280386295259,-2.755082584056266,-3.6641108970873084
sensitivity,ml_400us,sensitivity_reference,sensitivity_lens_old,2.05078125,38,2.05078125,1.4641562719614312,0.5859375,0.326171875,3.4923441802918114,-2.2878298330743214,-4.529264893718665
sensitivity,manual_200us,sensitivity_reference,sensitivity_lens_filled,15.33203125,16,-15.33203125,1.804030987337448,-8.69140625,0.1630859375,12.510846682584308,-10.97631524274127,-13.728869082805751
sensitivity,manual_400us,sensitivity_reference,sensitivity_lens_filled,4.6875,50,-4.6875,1.7361365670991347,-3.7109375,0.314453125,4.148798784519879,-0.2974215592621917,6.409506160164708
sensitivity,manual_600us,sensitivity_reference,sensitivity_lens_filled,3.61328125,29,-3.61328125,1.5313771278592987,-2.34375,0.35546875,4.544125584705825,-3.096879459056266,-5.373095272087308
sensitivity,ml_400us,sensitivity_reference,sensitivity_lens_filled,3.515625,41,3.515625,1.464694187338651,1.953125,0.302734375,2.890668643631954,-2.4180381664076545,-2.9667648937186653
sensitivity,manual_200us,sensitivity_reference,sensitivity_mean_only,4.4921875,20,4.4921875,1.6693762924316928,1.5625,0.1484375,2.3791067207299306,-1.1618621177412711,2.8726934171942498
sensitivity,manual_400us,sensitivity_reference,sensitivity_mean_only,6.4453125,53,6.4453125,1.6972000392968967,4.78515625,0.3193359375,10.251650676794148,2.013776357404475,15.564779597664707
sensitivity,manual_600us,sensitivity_reference,sensitivity_mean_only,12.79296875,38,12.79296875,1.5639998023595048,7.421875,0.3203125,4.317567806815015,-0.19974404238959909,6.687451602912692
sensitivity,ml_400us,sensitivity_reference,sensitivity_mean_only,12.01171875,55,12.01171875,1.520625301511252,11.5234375,0.259765625,3.358042325006303,-0.8880902497409878,4.699250731281335
sensitivity,manual_200us,sensitivity_reference,sensitivity_rin_off,9.1796875,32,9.1796875,1.5613421105323293,8.0078125,0.166015625,4.13496500759504,-0.08764336774127099,8.829724667194249
sensitivity,manual_400us,sensitivity_reference,sensitivity_rin_off,29.19921875,60,29.19921875,1.6163861098448487,29.19921875,0.3525390625,20.767608560036496,3.006614899071142,31.409506160164707
sensitivity,manual_600us,sensitivity_reference,sensitivity_rin_off,35.9375,60,35.9375,1.5867497515201219,35.9375,0.38671875,15.701284850219514,1.1023392909437344,23.43549847791269
sensitivity,ml_400us,sensitivity_reference,sensitivity_rin_off,29.8828125,60,29.8828125,1.509071224299775,29.8828125,0.322265625,10.838864121968909,-0.09056420807432111,15.221711668781335
