waveform,n,conditional_loss,at_risk
manual_600us,37,0.009597575349385419,5939
manual_600us,38,0.014280856851411085,5882
manual_600us,39,0.010348395998620214,5798
manual_600us,40,0.0146392471244336,5738
manual_600us,41,0.010611956137247965,5654
manual_600us,42,0.013764747944225957,5594
manual_600us,43,0.009425412361790828,5517
manual_600us,44,0.01573650503202196,5465
manual_600us,45,0.013199479457148168,5379
manual_600us,46,0.014129615674453654,5308
manual_600us,47,0.012421173323141601,5233
manual_600us,48,0.014125386996904025,5168
manual_600us,49,0.013150147203140334,5095
manual_600us,50,0.014120922832140016,5028
manual_600us,51,0.011902360298567682,4957
manual_600us,52,0.01551653736218865,4898
manual_600us,53,0.01244296972210701,4822
manual_600us,54,0.013649727005459892,4762
manual_600us,55,0.012348307430274643,4697
manual_600us,56,0.015089458935115327,4639
manual_600us,57,0.009630115999124535,4569
manual_600us,58,0.01613259668508287,4525
manual_600us,59,0.01302785265049416,4452
manual_600us,60,0.017979062357760582,4394
ml_400us,1,0.003662109375,8192
ml_400us,2,0.009311443273707424,8162
ml_400us,3,0.0045758100420479845,8086
ml_400us,4,0.0043483662566778485,8049
ml_400us,5,0.00399301222859995,8014
ml_400us,6,0.003883738411425708,7982
ml_400us,7,0.002515406867060747,7951
ml_400us,8,0.0036565376371201614,7931
ml_400us,9,0.003416856492027335,7902
ml_400us,10,0.005587301587301587,7875
ml_400us,11,0.0035755331375303284,7831
ml_400us,12,0.004998077662437524,7803
ml_400us,13,0.00463678516228748,7764
ml_400us,14,0.006987577639751553,7728
ml_400us,15,0.005863956215793589,7674
ml_400us,16,0.006553938917289291,7629
ml_400us,17,0.0064652328803272196,7579
ml_400us,18,0.006108897742363878,7530
ml_400us,19,0.006547300908605024,7484
ml_400us,20,0.005245460659045057,7435
ml_400us,21,0.006219578150351541,7396
ml_400us,22,0.0051700680272108845,7350
ml_400us,23,0.006838074398249453,7312
ml_400us,24,0.006609749380335995,7262
ml_400us,25,0.006653728860548933,7214
ml_400us,26,0.005302818866871337,7166
ml_400us,27,0.007435465768799102,7128
ml_400us,28,0.009469964664310954,7075
ml_400us,29,0.00670662100456621,7008
ml_400us,30,0.0066082459416750465,6961
ml_400us,31,0.007953723788864787,6915
ml_400us,32,0.007725947521865889,6860
ml_400us,33,0.005582488614661378,6807
ml_400us,34,0.008568473925247452,6769
ml_400us,35,0.00581135449262405,6711
ml_400us,36,0.009892086330935251,6672
ml_400us,37,0.007720254314259764,6606
ml_400us,38,0.009458428680396643,6555
ml_400us,39,0.009548744802094564,6493
ml_400us,40,0.01072928004975898,6431
ml_400us,41,0.011002829298962591,6362
ml_400us,42,0.01048951048951049,6292
ml_400us,43,0.009476389335046579,6226
ml_400us,44,0.009404897032592834,6167
ml_400us,45,0.009003110165329842,6109
ml_400us,46,0.009084902543772711,6054
ml_400us,47,0.00916819469911652,5999
ml_400us,48,0.008748317631224764,5944
ml_400us,49,0.008825526137135099,5892
ml_400us,50,0.011472602739726027,5840
ml_400us,51,0.0084877879785207,5773
ml_400us,52,0.010656883298392733,5724
ml_400us,53,0.009888751545117428,5663
ml_400us,54,0.0098091671125379,5607
ml_400us,55,0.010446685878962535,5552
ml_400us,56,0.009646887513651257,5494
ml_400us,57,0.009557066715677265,5441
ml_400us,58,0.010020411950269066,5389
ml_400us,59,0.011433926897844424,5335
ml_400us,60,0.014031095942358742,5274
