case,waveform,shots,temperature,rin,rmse_pp,early_bias_pp,late_bias_pp,s2,s10,s30,s60
aod_T7_R6e-09,manual_400us,256,7,6e-09,23.831563597258317,7.075625315737809,35.73079522266471,1.0,0.99609375,0.9765625,0.8125
aod_T7_R6e-09,manual_600us,256,7,6e-09,11.767479297369734,3.7065059576104007,17.67377972791269,1.0,1.0,0.95703125,0.76953125
aod_T7_R6e-09,ml_400us,256,7,6e-09,11.630232027980409,2.6600868335923455,17.150422606281335,1.0,1.0,0.99609375,0.90234375
aod_T7_R1e-08,manual_200us,256,7,1e-08,19.176646272488355,15.358320173925396,23.18519341719425,1.0,0.9609375,0.57421875,0.23828125
aod_T7_R1e-08,manual_400us,256,7,1e-08,17.74962642515475,7.010521149071142,25.769857722664707,1.0,0.99609375,0.9375,0.6484375
aod_T7_R1e-08,manual_600us,256,7,1e-08,5.59908993692478,3.576297624277067,6.540967227912692,1.0,1.0,0.9140625,0.59765625
aod_T7_R1e-08,ml_400us,256,7,1e-08,8.173459532093199,2.6600868335923455,11.974641356281335,1.0,1.0,0.96875,0.79296875
aod_T10_R0,manual_200us,256,10,0,18.949282600261146,13.926028507258728,28.26331841719425,1.0,0.93359375,0.625,0.359375
aod_T10_R0,manual_400us,256,10,0,29.216868690536423,7.140729482404475,43.64095147266471,1.0,0.99609375,0.984375,0.9765625
aod_T10_R0,manual_600us,256,10,0,20.396166179808255,3.771610124277067,30.46674847791269,1.0,1.0,0.99609375,0.99609375
aod_T10_R0,ml_400us,256,10,0,15.205903939072,2.7902951669256786,22.033235106281335,1.0,1.0,1.0,1.0
aod_T10_R1e-09,manual_200us,256,10,1e-09,16.596049237545476,11.647382673925396,27.87269341719425,1.0,0.9375,0.62109375,0.37109375
aod_T10_R1e-09,manual_400us,256,10,1e-09,28.743950227824445,7.466250315737809,43.05501397266471,1.0,1.0,1.0,0.953125
aod_T10_R1e-09,manual_600us,256,10,1e-09,19.63797624499192,3.8367142909437346,29.29487347791269,1.0,1.0,0.98828125,0.9765625
aod_T10_R1e-09,ml_400us,256,10,1e-09,14.811632272027978,2.7251910002590125,21.447297606281335,1.0,1.0,0.99609375,0.9921875
aod_T10_R3e-09,manual_200us,256,10,3e-09,13.489318986475629,10.280195173925396,19.66956841719425,1.0,0.9140625,0.5390625,0.2890625
aod_T10_R3e-09,manual_400us,256,10,3e-09,26.249909690342626,7.140729482404475,39.24642022266471,1.0,1.0,0.97265625,0.90234375
aod_T10_R3e-09,manual_600us,256,10,3e-09,17.426602228661455,3.8367142909437346,26.26752972791269,1.0,1.0,0.98828125,0.90625
aod_T10_R3e-09,ml_400us,256,10,3e-09,13.04979646804659,2.6600868335923455,18.908235106281335,1.0,1.0,0.984375,0.9453125
