group,waveform,n,experiment,mc,residual_pp,paper_error_lower,paper_error_upper
Corrected formulas / controls,manual_400us,50,0.49264406643885383,0.713134765625,22.049069918614617,0.48294377870676075,0.5023443541709469
Corrected formulas / controls,manual_400us,60,0.41436091949526555,0.601318359375,18.695743987973444,0.4046957268707416,0.424026112119791
Joint model,manual_400us,2,0.991654381942072,0.9892578125,-0.23965694420720052,0.9898855885205907,0.9934231753635532
Joint model,manual_400us,4,0.9838071158896264,0.9761962890625,-0.7610826827126438,0.9813504583597915,0.9862778114624902
Joint model,manual_400us,8,0.9594511112366847,0.9530029296875,-0.6448181549184695,0.9556187254901417,0.9632413828541457
Joint model,manual_400us,12,0.9185933870047645,0.928466796875,0.987340987023555,0.9131957594606401,0.9239769765058615
Joint model,manual_400us,16,0.8745771030916252,0.8966064453125,2.2029342220874826,0.868161717427997,0.8809784507122247
Joint model,manual_400us,20,0.8239418818909587,0.8673095703125,4.336768842154126,0.8164596049572299,0.8314662729537676
Joint model,manual_400us,30,0.6898224188049664,0.774658203125,8.483578432003359,0.680795957138199,0.6988488804717339
Joint model,manual_400us,40,0.5833157863543259,0.68359375,10.02779636456741,0.5738120312246191,0.592763389311922
Joint model,manual_400us,50,0.49264406643885383,0.601318359375,10.867429293614617,0.48294377870676075,0.5023443541709469
Joint model,manual_400us,60,0.41436091949526555,0.52001953125,10.565861175473445,0.4046957268707416,0.424026112119791
Baseline,manual_600us,2,0.9857794609350082,0.998046875,1.2267414064991766,0.9834982789430178,0.988074680970026
Baseline,manual_600us,4,0.9865304962369863,0.994873046875,0.8342550638013702,0.9842844093525658,0.9887204309492977
Baseline,manual_600us,8,0.9817294855215358,0.989013671875,0.7284186353464173,0.9791043714753693,0.9843405615246765
Baseline,manual_600us,12,0.9576402036861207,0.982421875,2.4781671313879317,0.9537376277244388,0.9615287416047753
Baseline,manual_600us,16,0.9446550138855614,0.976806640625,3.215162673943861,0.9402189922888302,0.9490910354822926
Baseline,manual_600us,20,0.9134624822781635,0.972412109375,5.894962709683648,0.9080718737555544,0.9188530908007743
Baseline,manual_600us,30,0.8154629039022685,0.955322265625,13.98593617227315,0.80786832262432,0.8230855612662735
Baseline,manual_600us,40,0.7268337192473171,0.93701171875,21.01779995026829,0.718123113548671,0.7355443249459617
Baseline,manual_600us,50,0.6501860043164485,0.914794921875,26.460891755855155,0.6409419529827538,0.6594721697792265
Baseline,manual_600us,60,0.5732224334174583,0.893310546875,32.008811345754175,0.5636063739435313,0.5828384928913866
Corrected formulas / controls,manual_600us,2,0.9857794609350082,0.99853515625,1.2755695314991766,0.9834982789430178,0.988074680970026
Corrected formulas / controls,manual_600us,4,0.9865304962369863,0.99462890625,0.8098410013013702,0.9842844093525658,0.9887204309492977
Corrected formulas / controls,manual_600us,8,0.9817294855215358,0.990234375,0.8504889478464173,0.9791043714753693,0.9843405615246765
Corrected formulas / controls,manual_600us,12,0.9576402036861207,0.985595703125,2.7955499438879317,0.9537376277244388,0.9615287416047753
Corrected formulas / controls,manual_600us,16,0.9446550138855614,0.980224609375,3.556959548943861,0.9402189922888302,0.9490910354822926
Corrected formulas / controls,manual_600us,20,0.9134624822781635,0.974609375,6.114689272183648,0.9080718737555544,0.9188530908007743
Corrected formulas / controls,manual_600us,30,0.8154629039022685,0.951416015625,13.59531117227315,0.80786832262432,0.8230855612662735
Corrected formulas / controls,manual_600us,40,0.7268337192473171,0.915283203125,18.84494838776829,0.718123113548671,0.7355443249459617
