class,condition,energy_uK,shot_id,time_us,vx_m_s,vy_m_s,vz_m_s,w_total_uK,x_um,y_um,z_um
success,stress_diagnostic_50uK,1569.631312550175,2,3592.6,-0.3631454871664004,-0.2812083676368562,-0.0015555019210443648,1592.3198614346124,129.50911964082516,129.5220313675466,-10.126969436653138
success,stress_diagnostic_50uK,1581.5538385384,2,3593.0999999999995,-0.3640877598687345,-0.28230559949230016,-0.0007292945357928325,1604.2423254895218,129.3273109506167,129.38116096660423,-10.127539634747833
success,stress_diagnostic_50uK,1594.436830708939,2,3593.6,-0.3650197485420731,-0.28357768195436445,7.333629166799012e-05,1617.1252511576092,129.14503352809092,129.23969778632025,-10.127702505821782
success,stress_diagnostic_50uK,1608.1982967900524,2,3594.1,-0.36593788857888027,-0.2850141767150972,0.0008499796897287264,1630.8866479080018,128.96229341976647,129.09755697445456,-10.12747045893178
success,stress_diagnostic_50uK,1622.754023317851,2,3594.6,-0.3668389282611758,-0.2866039500208468,0.0015986324027737692,1645.4423039437772,128.77909837763448,128.95465908221303,-10.126857007158993
success,stress_diagnostic_50uK,1638.0190696653167,2,3595.1,-0.36771995438774924,-0.2883354024474387,0.002317703919068277,1660.707280169252,128.59545769583207,128.81093035429822,-10.125876562001707
success,stress_diagnostic_50uK,1653.909149887071,2,3595.6,-0.36857840750540377,-0.290196689972198,0.003006010700371233,1676.5972919880621,128.4113820371183,128.66630290592954,-10.124544227984805
success,stress_diagnostic_50uK,1670.3418684354708,2,3596.0999999999995,-0.3694120873290363,-0.2921759299456814,0.003662760930779714,1693.0299449886218,128.22688325422197,128.5207147928469,-10.122875602595256
success,stress_diagnostic_50uK,1687.2377864625894,2,3596.6,-0.37021914928711536,-0.29426138703415017,0.004287531455747403,1709.925801230825,128.0419742107473,128.3741099831476,-10.12088658587457
success,stress_diagnostic_50uK,1704.521305809,2,3597.1,-0.37099809337785655,-0.2964416357294792,0.004880238702032158,1727.2092632334309,127.85666860578579,128.22643824189203,-10.118593203128034
success,stress_diagnostic_50uK,1722.1213672375397,2,3597.6,-0.37174774666738436,-0.2987056974935781,0.005441105369627101,1744.8092722177644,127.67098080575212,128.077654940739,-10.116011443310045
success,stress_diagnostic_50uK,1739.971967536868,2,3598.1,-0.37246724081291527,-0.3010431519321663,0.005970624588958238,1762.6598252298536,127.48492568627636,127.92772080550253,-10.113157114770033
success,stress_diagnostic_50uK,1758.0125065364603,2,3598.6,-0.3731559859657503,-0.30344422251903885,0.006469523065930599,1780.7003221798827,127.2985184862992,127.77660161452872,-10.110045719236703
success,stress_diagnostic_50uK,1776.1879797617958,2,3599.1,-0.3738136423180147,-0.30589983828557765,0.006938724519421583,1798.8757585251196,127.11177467585868,127.62426786030005,-10.106692344210053
success,stress_diagnostic_50uK,1794.4490354831185,2,3599.5999999999995,-0.37444009042196047,-0.30840167354416614,0.007379314474189184,1817.1367823473279,126.92470983845821,127.47069438579086,-10.103111573338014
success,stress_diagnostic_50uK,1812.7519164447601,2,3600.1,-0.375035401248587,-0.3109421681402774,0.00779250722690449,1835.439636110045,126.73733956837917,127.31586000594756,-10.09931741388478
