a1_m_s2,a2_m_s2,c1_um,c2_um,d_aod_uK,d_slm_uK,dd_mode,protocol,pulse_marker,segment,time_us,toggling_y,v1_m_s,v2_m_s,zs1_um,zs2_um
586.9706638884941,586.9706638884941,67.81636676435382,67.81636676435382,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1882.4999999999998,-1.0,0.3057279344994358,0.3057279344994358,4.622845767346358,4.622845767346358
585.8158648983441,585.8158648983441,67.96930405484859,67.96930405484859,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1883.0,-1.0,0.30602113124632685,0.30602113124632685,4.627279131744625,4.627279131744625
584.6583159588116,584.6583159588116,68.1223877992523,68.1223877992523,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1883.5,-1.0,0.3063137499060093,0.3063137499060093,4.631703755011629,4.631703755011629
583.498022503688,583.498022503688,68.27561770817775,68.27561770817775,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1883.9999999999998,-1.0,0.30660578910486624,0.30660578910486624,4.6361196163772105,4.6361196163772105
582.3349899796472,582.3349899796472,68.42899349155185,68.42899349155185,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1884.5,-1.0,0.30689724747200137,0.30689724747200137,4.640526695112341,4.640526695112341
581.1692238462211,581.1692238462211,68.58251485861646,68.58251485861646,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1885.0,-1.0,0.30718812363924436,0.30718812363924436,4.644924970529219,4.644924970529219
580.0007295757752,580.0007295757752,68.73618151793015,68.73618151793015,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1885.4999999999998,-1.0,0.3074784162411579,0.3074784162411579,4.649314421981357,4.649314421981357
578.8295126534791,578.8295126534791,68.88999317736958,68.88999317736958,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1885.9999999999998,-1.0,0.3077681239150447,0.3077681239150447,4.65369502886371,4.65369502886371
577.655578577285,577.655578577285,69.04394954413057,69.04394954413057,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1886.5,-1.0,0.30805724530095246,0.30805724530095246,4.65806677061273,4.65806677061273
576.478932857899,576.478932857899,69.1980503247297,69.1980503247297,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1887.0,-1.0,0.3083457790416815,0.3083457790416815,4.662429626706497,4.662429626706497
575.2995810187576,575.2995810187576,69.3522952250056,69.3522952250056,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1887.4999999999998,-1.0,0.3086337237827903,0.3086337237827903,4.666783576664796,4.666783576664796
574.1175285959982,574.1175285959982,69.50668395012057,69.50668395012057,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1888.0,-1.0,0.3089210781726028,0.3089210781726028,4.671128600049224,4.671128600049224
572.9327811384375,572.9327811384375,69.66121620456151,69.66121620456151,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1888.5,-1.0,0.30920784086221376,0.30920784086221376,4.67546467646328,4.67546467646328
571.7453442075422,571.7453442075422,69.81589169214166,69.81589169214166,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1888.9999999999998,-1.0,0.3094940105054955,0.3094940105054955,4.679791785552458,4.679791785552458
570.5552233774034,570.5552233774034,69.97071011600205,69.97071011600205,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1889.5,-1.0,0.3097795857591047,0.3097795857591047,4.684109907004354,4.684109907004354
569.3624242347129,569.3624242347129,70.12567117861242,70.12567117861242,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1890.0,-1.0,0.31006456528248755,0.31006456528248755,4.688419020548746,4.688419020548746
568.166952378734,568.166952378734,70.28077458177314,70.28077458177314,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1890.4999999999998,-1.0,0.31034894773788707,0.31034894773788707,4.692719105957703,4.692719105957703
566.9688134212752,566.9688134212752,70.43602002661646,70.43602002661646,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1890.9999999999998,-1.0,0.3106327317903492,0.3106327317903492,4.697010143045671,4.697010143045671
565.7680129866663,565.7680129866663,70.5914072136077,70.5914072136077,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1891.5,-1.0,0.31091591610772884,0.31091591610772884,4.7012921116695745,4.7012921116695745
564.5645567117315,564.5645567117315,70.7469358425468,70.7469358425468,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1892.0,-1.0,0.3111984993606959,0.3111984993606959,4.7055649917289,4.7055649917289
563.3584502457604,563.3584502457604,70.90260561256986,70.90260561256986,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1892.4999999999998,-1.0,0.3114804802227419,0.3114804802227419,4.709828763165803,4.709828763165803
562.1496992504836,562.1496992504836,71.05841622215041,71.05841622215041,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1893.0,-1.0,0.3117618573701866,0.3117618573701866,4.714083405965201,4.714083405965201
560.9383094000459,560.9383094000459,71.21436736910081,71.21436736910081,280.0,59.99999999999999,xy4_per_long_move,protocol_a,True,outbound_long_move,1893.5,-1.0,0.3120426294821832,0.3120426294821832,4.718328900154856,4.718328900154856
559.7242863809802,559.7242863809802,71.37045875057363,71.37045875057363,280.0,59.99999999999999,xy4_per_long_move,protocol_a,True,outbound_long_move,1893.9999999999998,1.0,0.31232279524072515,0.31232279524072515,4.722565225805476,4.722565225805476
558.5076358921782,558.5076358921782,71.5266900630634,71.5266900630634,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1894.5,1.0,0.31260235333065245,0.31260235333065245,4.726792363030812,4.726792363030812
557.2883636448673,557.2883636448673,71.68306100240753,71.68306100240753,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1895.0,1.0,0.31288130243965756,0.31288130243965756,4.731010291987748,4.731010291987748
556.0664753625824,556.0664753625824,71.83957126378793,71.83957126378793,280.0,59.99999999999999,xy4_per_long_move,protocol_a,False,outbound_long_move,1895.4999999999998,1.0,0.3131596412582913,0.3131596412582913,4.735218992876386,4.735218992876386
