time_s,time_us,position_m,displacement_from_center_m,position_um,velocity_m_per_s,acceleration_m_per_s2,kinetic_energy_J,potential_energy_J,total_energy_J,energy_error_J,energy_error_over_depth,abs_energy_error_over_depth
0.00061555,615.55,1.1699642548790518e-07,1.1699642548790518e-07,0.11699642548790519,0.00020484836016869125,-5869.821862461685,4.630489273773806e-33,-3.789273521315102e-27,-3.7892688908258284e-27,-1.3939336880118344e-37,-3.605793072708752e-11,3.605793072708752e-11
0.0006156,615.6,1.1699933062858554e-07,1.1699933062858554e-07,0.11699933062858554,-8.864623104599956e-05,-5869.961786125947,8.671264826721282e-34,-3.789269757839021e-27,-3.789268890712538e-27,-2.6102804853281533e-38,-6.752208783509354e-12,6.752208783509354e-12
0.0006156499999999999,615.65,1.1698756086480058e-07,1.1698756086480058e-07,0.11698756086480058,-0.00038213014826605655,-5869.394902676333,1.6113300436900337e-32,-3.789285004471942e-27,-3.789268891171505e-27,-4.850700684528134e-37,-1.2547672157204265e-10,1.2547672157204265e-10
0.0006157,615.6999999999999,1.1696111761375893e-07,1.1696111761375893e-07,0.11696111761375894,-0.0006755680521847169,-5868.121254070085,5.0361668035052e-32,-3.789319253870578e-27,-3.789268892202543e-27,-1.5161079012833945e-36,-3.9218302957609965e-10,3.9218302957609965e-10
0.00061575,615.75,1.169200040595821e-07,1.169200040595821e-07,0.1169200040595821,-0.0009689246069015546,-5866.140934603423,1.0359573354306708e-31,-3.78937248953878e-27,-3.789268893805237e-27,-3.1188023261475e-36,-8.06764046201538e-10,8.06764046201538e-10
0.0006158,615.8,1.1686422515306877e-07,1.1686422515306877e-07,0.11686422515306877,-0.0012621644825408982,-5863.4540909703155,1.7578985539259015e-31,-3.78944468583433e-27,-3.7892688959789376e-27,-5.292502602459073e-36,-1.369051439488415e-09,1.369051439488415e-09
0.0006158499999999999,615.8499999999999,1.16793787611328e-07,1.16793787611328e-07,0.11679378761132801,-0.0015552523578740004,-5860.060922353771,2.6690925675128638e-31,-3.789535807979517e-27,-3.7892688987227656e-27,-8.036330553286103e-36,-2.078818044807215e-09,2.078818044807215e-09
0.0006159,615.9,1.1670869991728136e-07,1.1670869991728136e-07,0.11670869991728136,-0.0018481529229465833,-5855.961680549545,3.76910039864272e-31,-3.7896458120754724e-27,-3.7892689020356084e-27,-1.1349173390702487e-35,-2.935776008938676e-09,2.935776008938676e-09
0.00061595,615.9499999999999,1.1660897231903334e-07,1.1660897231903334e-07,0.11660897231903335,-0.0021408308817133744,-5851.156670122104,5.057392041655037e-31,-3.7897746451202916e-27,-3.789268905916126e-27,-1.522969089043617e-35,-3.939578645993962e-09,3.939578645993962e-09
0.000616,616.0,1.1649461682911003e-07,1.1649461682911003e-07,0.11649461682911003,-0.0024332509546812426,-5845.646248592629,6.533346681576508e-31,-3.789922245030902e-27,-3.789268910362744e-27,-1.967630893468582e-35,-5.08981876708651e-09,5.08981876708651e-09
