time_s,rf_x_hz,amplitude,slm_digital
0.0001355,80500000,0.569207294,1
0.000136,80500000,0.573418784,1
0.0001365,80500000,0.577630274,1
0.000137,80500000,0.581872282,1
0.0001375,80500000,0.586129549,1
0.000138,80500000,0.590402075,1
0.0001385,80500000,0.59468986,1
0.000139,80500000,0.598992905,1
0.0001395,80500000,0.603311208,1
0.00014,80500000,0.60764477,1
0.0001405,80500000,0.611993591,1
0.000141,80500000,0.616357671,1
0.0001415,80500000,0.620737011,1
0.000142,80500000,0.625131609,1
0.0001425,80500000,0.629541466,1
0.000143,80500000,0.633966583,1
0.0001435,80500000,0.638406958,1
0.000144,80500000,0.642862593,1
0.0001445,80500000,0.647333486,1
0.000145,80500000,0.651819638,1
0.0001455,80500000,0.65632105,1
0.000146,80500000,0.66083772,1
0.0001465,80500000,0.66536965,1
0.000147,80500000,0.669916838,1
0.0001475,80500000,0.674494545,1
0.000148,80500000,0.679072251,1
0.0001485,80500000,0.683665217,1
0.000149,80500000,0.688273442,1
0.0001495,80500000,0.692896925,1
0.00015,80500000,0.697550927,1
0.0001505,80500000,0.702204929,1
0.000151,80500000,0.706874189,1
0.0001515,80500000,0.711558709,1
0.000152,80500000,0.716273747,1
0.0001525,80500000,0.720988785,1
0.000153,80500000,0.725719081,1
0.0001535,80500000,0.730479896,1
0.000154,80500000,0.735240711,1
0.0001545,80500000,0.740032044,1
0.000155,80500000,0.744823377,1
0.0001555,80500000,0.749629969,1
0.000156,80500000,0.754467079,1
0.0001565,80500000,0.759304189,1
0.000157,80500000,0.764171817,1
0.0001575,80500000,0.769039445,1
0.000158,80500000,0.773937591,1
0.0001585,80500000,0.778835737,1
0.000159,80500000,0.783764401,1
0.0001595,80500000,0.788693065,1
0.00016,80500000,0.793652247,1
0.0001605,80500000,0.798611429,1
0.000161,80500000,0.803601129,1
0.0001615,80500000,0.808606088,1
0.000162,80500000,0.813611048,1
0.0001625,80500000,0.818646525,1
0.000163,80500000,0.823697261,1
0.0001635,80500000,0.828747997,1
0.000164,80500000,0.833829252,1
0.0001645,80500000,0.838925765,1
0.000165,80500000,0.844022278,1
