time_s,rf_x_hz,amplitude,slm_digital
0.0006156,80500000,0.220843824,1
0.00061565,80500000,0.220569162,1
0.0006157,80500000,0.220309758,1
0.00061575,80500000,0.220050355,1
0.0006158,80500000,0.219790951,1
0.00061585,80500000,0.219531548,1
0.0006159,80500000,0.219272145,1
0.00061595,80500000,0.219012741,1
0.000616,80500000,0.218753338,1
0.00061605,80500000,0.218493935,1
0.0006161,80500000,0.218234531,1
0.00061615,80500000,0.217975128,1
0.0006162,80500000,0.217715724,1
0.00061625,80500000,0.217456321,1
0.0006163,80500000,0.217196918,1
0.00061635,80500000,0.216937514,1
0.0006164,80500000,0.216678111,1
0.00061645,80500000,0.216418708,1
0.0006165,80500000,0.216159304,1
0.00061655,80500000,0.215899901,1
0.0006166,80500000,0.215640497,1
0.00061665,80500000,0.215381094,1
0.0006167,80500000,0.215121691,1
0.00061675,80500000,0.214862287,1
0.0006168,80500000,0.214602884,1
0.00061685,80500000,0.214343481,1
0.0006169,80500000,0.214084077,1
0.00061695,80500000,0.213824674,1
0.000617,80500000,0.21356527,1
0.00061705,80500000,0.213321126,1
0.0006171,80500000,0.213061723,1
0.00061715,80500000,0.212802319,1
0.0006172,80500000,0.212542916,1
0.00061725,80500000,0.212283513,1
0.0006173,80500000,0.212024109,1
0.00061735,80500000,0.211779965,1
0.0006174,80500000,0.211520562,1
0.00061745,80500000,0.211261158,1
0.0006175,80500000,0.211001755,1
0.00061755,80500000,0.21075761,1
0.0006176,80500000,0.210498207,1
0.00061765,80500000,0.210238804,1
0.0006177,80500000,0.2099794,1
0.00061775,80500000,0.209735256,1
0.0006178,80500000,0.209475853,1
0.00061785,80500000,0.209216449,1
0.0006179,80500000,0.208972305,1
0.00061795,80500000,0.208712902,1
0.000618,80500000,0.208453498,1
0.00061805,80500000,0.208209354,1
0.0006181,80500000,0.20794995,1
0.00061815,80500000,0.207690547,1
0.0006182,80500000,0.207446403,1
0.00061825,80500000,0.207186999,1
0.0006183,80500000,0.206927596,1
0.00061835,80500000,0.206683452,1
0.0006184,80500000,0.206424048,1
0.00061845,80500000,0.206179904,1
0.0006185,80500000,0.2059205,1
0.00061855,80500000,0.205676356,1
0.0006186,80500000,0.205416953,1
0.00061865,80500000,0.205172808,1
0.0006187,80500000,0.204913405,1
0.00061875,80500000,0.204654002,1
0.0006188,80500000,0.204409857,1
0.00061885,80500000,0.204150454,1
0.0006189,80500000,0.20390631,1
0.00061895,80500000,0.203662165,1
0.000619,80500000,0.203402762,1
0.00061905,80500000,0.203158618,1
0.0006191,80500000,0.202899214,1
0.00061915,80500000,0.20265507,1
0.0006192,80500000,0.202395666,1
0.00061925,80500000,0.202151522,1
0.0006193,80500000,0.201907378,1
0.00061935,80500000,0.201647974,1
0.0006194,80500000,0.20140383,1
0.00061945,80500000,0.201144427,1
0.0006195,80500000,0.200900282,1
0.00061955,80500000,0.200656138,1
0.0006196,80500000,0.200396735,1
0.00061965,80500000,0.20015259,1
0.0006197,80500000,0.199908446,1
0.00061975,80500000,0.199649042,1
0.0006198,80500000,0.199404898,1
0.00061985,80500000,0.199160754,1
0.0006199,80500000,0.198916609,1
0.00061995,80500000,0.198657206,1
0.00062,80500000,0.198413062,1
0.00062005,80500000,0.198168917,1
0.0006201,80500000,0.197909514,1
0.00062015,80500000,0.19766537,1
0.0006202,80500000,0.197421225,1
0.00062025,80500000,0.197177081,1
0.0006203,80500000,0.196932937,1
0.00062035,80500000,0.196673533,1
0.0006204,80500000,0.196429389,1
0.00062045,80500000,0.196185245,1
0.0006205,80500000,0.1959411,1
0.00062055,80500000,0.195696956,1
0.0006206,80500000,0.195452811,1
0.00062065,80500000,0.195208667,1
0.0006207,80500000,0.194949264,1
0.00062075,80500000,0.194705119,1
0.0006208,80500000,0.194460975,1
0.00062085,80500000,0.194216831,1
0.0006209,80500000,0.193972686,1
0.00062095,80500000,0.193728542,1
0.000621,80500000,0.193484398,1
0.00062105,80500000,0.193240253,1
0.0006211,80500000,0.192996109,1
0.00062115,80500000,0.192751965,1
0.0006212,80500000,0.19250782,1
0.00062125,80500000,0.192263676,1
0.0006213,80500000,0.192019532,1
0.00062135,80500000,0.191775387,1
0.0006214,80500000,0.191531243,1
0.00062145,80500000,0.191287098,1
0.0006215,80500000,0.191042954,1
0.00062155,80500000,0.19079881,1
0.0006216,80500000,0.190554665,1
0.00062165,80500000,0.190310521,1
0.0006217,80500000,0.190066377,1
0.00062175,80500000,0.189822232,1
0.0006218,80500000,0.189578088,1
0.00062185,80500000,0.189349203,1
0.0006219,80500000,0.189105058,1
0.00062195,80500000,0.188860914,1
0.000622,80500000,0.18861677,1
0.00062205,80500000,0.188372625,1
0.0006221,80500000,0.188128481,1
0.00062215,80500000,0.187884337,1
0.0006222,80500000,0.187655451,1
0.00062225,80500000,0.187411307,1
0.0006223,80500000,0.187167163,1
0.00062235,80500000,0.186923018,1
0.0006224,80500000,0.186694133,1
0.00062245,80500000,0.186449989,1
0.0006225,80500000,0.186205844,1
0.00062255,80500000,0.1859617,1
0.0006226,80500000,0.185732815,1
0.00062265,80500000,0.18548867,1
0.0006227,80500000,0.185244526,1
0.00062275,80500000,0.185000381,1
0.0006228,80500000,0.184771496,1
0.00062285,80500000,0.184527352,1
0.0006229,80500000,0.184283207,1
0.00062295,80500000,0.184054322,1
0.000623,80500000,0.183810178,1
0.00062305,80500000,0.183566033,1
0.0006231,80500000,0.183337148,1
0.00062315,80500000,0.183093004,1
0.0006232,80500000,0.182864118,1
0.00062325,80500000,0.182619974,1
0.0006233,80500000,0.18237583,1
0.00062335,80500000,0.182146944,1
0.0006234,80500000,0.1819028,1
0.00062345,80500000,0.181673915,1
0.0006235,80500000,0.18142977,1
0.00062355,80500000,0.181200885,1
0.0006236,80500000,0.180956741,1
0.00062365,80500000,0.180727855,1
0.0006237,80500000,0.180483711,1
0.00062375,80500000,0.180254826,1
0.0006238,80500000,0.180010681,1
0.00062385,80500000,0.179781796,1
0.0006239,80500000,0.179537652,1
0.00062395,80500000,0.179308766,1
0.000624,80500000,0.179064622,1
0.00062405,80500000,0.178835737,1
0.0006241,80500000,0.178591592,1
0.00062415,80500000,0.178362707,1
0.0006242,80500000,0.178133822,1
0.00062425,80500000,0.177889677,1
0.0006243,80500000,0.177660792,1
0.00062435,80500000,0.177416648,1
0.0006244,80500000,0.177187762,1
0.00062445,80500000,0.176958877,1
0.0006245,80500000,0.176714733,1
0.00062455,80500000,0.176485847,1
0.0006246,80500000,0.176256962,1
0.00062465,80500000,0.176012818,1
0.0006247,80500000,0.175783932,1
0.00062475,80500000,0.175555047,1
0.0006248,80500000,0.175310903,1
0.00062485,80500000,0.175082017,1
0.0006249,80500000,0.174853132,1
0.00062495,80500000,0.174624247,1
0.000625,80500000,0.174380102,1
0.00062505,80500000,0.174151217,1
0.0006251,80500000,0.173922332,1
0.00062515,80500000,0.173693446,1
0.0006252,80500000,0.173464561,1
0.00062525,80500000,0.173220417,1
0.0006253,80500000,0.172991531,1
0.00062535,80500000,0.172762646,1
0.0006254,80500000,0.172533761,1
0.00062545,80500000,0.172304875,1
0.0006255,80500000,0.17207599,1
0.00062555,80500000,0.171831846,1
0.0006256,80500000,0.17160296,1
0.00062565,80500000,0.171374075,1
0.0006257,80500000,0.17114519,1
0.00062575,80500000,0.170916304,1
0.0006258,80500000,0.170687419,1
0.00062585,80500000,0.170458534,1
0.0006259,80500000,0.170229648,1
0.00062595,80500000,0.170000763,1
0.000626,80500000,0.169771878,1
0.00062605,80500000,0.169542992,1
0.0006261,80500000,0.169314107,1
0.00062615,80500000,0.169085222,1
0.0006262,80500000,0.168856336,1
0.00062625,80500000,0.168627451,1
