slm_depth_uK,shots,captured,capture_fraction,wilson_lo,wilson_hi,mean_capture_margin,median_capture_margin,mean_excitation_change_uK,median_excitation_change_uK,mean_final_excitation_uK,__label__,aod_depth_uK
110,117,117,1.0,0.9682107543372667,1.0,0.9775148750565567,0.9824139173650018,-2.127311184572752,-1.6371857406224815,2.4733637437787666,"slm=110,aod=380",380
140,117,117,1.0,0.9682107543372667,1.0,0.981124807746429,0.9871346123915105,-1.7303154584763558,-1.1390159377497464,2.642526915499959,"slm=140,aod=380",380
180,117,117,1.0,0.9682107543372667,1.0,0.982697570524294,0.988338949250702,-1.406268420141909,-0.9713477733440938,3.114437305627086,"slm=180,aod=380",380
230,117,117,1.0,0.9682107543372667,1.0,0.9825404585357402,0.9875143100486723,-1.1040249264171573,-0.7853877680074576,4.0156945367797166,"slm=230,aod=380",380
50,117,117,1.0,0.9682107543372667,1.0,0.9683984254613782,0.9775973848161301,-3.4726395950788316,-2.366390136379846,1.5800787269310939,"slm=50,aod=500",500
80,117,117,1.0,0.9682107543372667,1.0,0.9782088883472945,0.9857171923638199,-2.678735206876107,-1.7885028522003226,1.743288932216438,"slm=80,aod=500",500
110,117,117,1.0,0.9682107543372667,1.0,0.9813735610684376,0.9858914877110065,-2.312779407821524,-1.806694814213908,2.0489082824718428,"slm=110,aod=500",500
140,117,117,1.0,0.9682107543372667,1.0,0.9813379000806287,0.9871643030887547,-2.334754849391366,-1.5050694311801185,2.6126939887119986,"slm=140,aod=500",500
180,117,117,1.0,0.9682107543372667,1.0,0.9848452231196534,0.9894496060389888,-1.83791885318476,-1.3103835615571855,2.727859838462377,"slm=180,aod=500",500
230,117,117,1.0,0.9682107543372667,1.0,0.9842890551679293,0.9892739006003877,-1.734355597604869,-1.2107552458006605,3.6135173113762655,"slm=230,aod=500",500
50,117,117,1.0,0.9682107543372667,1.0,0.9720070278823374,0.9825142707115736,-3.6952324765163937,-2.2893521072823777,1.399648605883129,"slm=50,aod=650",650
80,117,117,1.0,0.9682107543372667,1.0,0.9790990412067175,0.9849860014902081,-3.142527671904662,-2.267313443035773,1.6720767034625974,"slm=80,aod=650",650
110,117,117,1.0,0.9682107543372667,1.0,0.9824350395982978,0.9870395701962088,-2.7645124008775603,-2.0145378185550524,1.9321456441872515,"slm=110,aod=650",650
140,117,117,1.0,0.9682107543372667,1.0,0.9851663664414982,0.9900300908247726,-2.421816163725311,-1.6406463815929708,2.076708698190242,"slm=140,aod=650",650
