dataset,caliber,temperature_uK,v_target_mm_per_s,profile,duration_us,dt_ns,v_avg_mm_per_s,v_peak_mm_per_s,v_rms_mm_per_s,shots,captured,capture_rate,mean_excitation_captured,margin_q10,follow_loss_rate,pair_vs_reference_difference,pair_ci_low,pair_ci_high,both_captured,only_profile,only_reference,both_failed,seed,status,error
boundary_reshot,same_average_speed,20.0,41.17165593513411,trapezoid_fast_acc,59.44914305768235,29.141736792981543,41.17165593513411,48.437242276628375,43.80232289267627,400,400,1.0,0.26680681341156887,0.5480792803059817,1.0,0.0050000000000000044,0.0,0.012499999999999956,398,2,0,0,22002,ok,
boundary_reshot,same_average_speed,20.0,61.75748390270117,trapezoid,39.632762038454906,19.427824528654366,61.75748390270116,88.22497700385881,70.31789304908534,400,303,0.7575,0.47793076031954795,-0.6237028959457593,1.0,,,,,,,,22002,ok,
boundary_reshot,same_average_speed,20.0,61.75748390270117,frozen_smootherstep,39.632762038454906,19.41830575132528,61.77603794308033,115.79528184057133,73.81598662518445,400,130,0.325,0.7096870366680412,-1.590262332561455,1.0,-0.43249999999999994,-0.48,-0.3849375000000009,130,0,173,97,22002,ok,
boundary_reshot,same_average_speed,20.0,61.75748390270117,trapezoid_fast_acc,39.632762038454906,19.427824528654366,61.75748390270116,72.65586341494256,65.70348433901441,400,375,0.9375,0.2077391837476508,0.2900594218112172,1.0,0.18000000000000005,0.14250000000000007,0.21999999999999997,303,72,0,25,22002,ok,
boundary_reshot,same_average_speed,20.0,82.34331187026822,trapezoid,29.724571528841174,14.570868396490772,82.34331187026822,117.63330267181175,93.7571907321138,400,1,0.0025,0.9158341981501988,-3.1991609023988845,1.0,,,,,,,,22002,ok,
boundary_reshot,same_average_speed,20.0,82.34331187026822,frozen_smootherstep,29.724571528841174,14.563729313493962,82.36805059077378,154.39370912076177,98.42131550024594,400,0,0.0,,-3.3455934336329443,1.0,-0.0025,-0.0075,0.0,0,0,1,399,22002,ok,
boundary_reshot,same_average_speed,20.0,82.34331187026822,trapezoid_fast_acc,29.724571528841174,14.570868396490772,82.34331187026822,96.87448455325675,87.60464578535255,400,52,0.13,0.801929645638944,-2.227943486752257,1.0,0.1275,0.095,0.16,1,51,0,348,22002,ok,
boundary_reshot,same_peak_speed,20.0,20.585827967567056,trapezoid,169.85469445052104,49.98666699544468,14.410079577296937,20.585827967567056,16.407508378119914,400,400,1.0,0.09178180611344017,0.7830477416352007,1.0,,,,,,,,22002,ok,
boundary_reshot,same_peak_speed,20.0,20.585827967567056,frozen_smootherstep,222.93428646630883,49.99647599603249,10.982406745436505,20.58582788276824,13.122842066699457,400,400,1.0,0.09307339265788084,0.779165075177214,1.0,0.0,0.0,0.0,400,0,0,0,22002,ok,
boundary_reshot,same_peak_speed,20.0,20.585827967567056,trapezoid_fast_acc,139.8803366063114,49.99297233963953,17.497953772432,20.585827967567056,18.615987229387407,400,400,1.0,0.11694523437722676,0.744372013030305,1.0,0.0,0.0,0.0,400,0,0,0,22002,ok,
boundary_reshot,same_peak_speed,20.0,30.878741951350584,trapezoid,113.236462967014,49.994023384995145,21.615119365945407,30.878741951350587,24.611262567179875,400,400,1.0,0.1330096077952924,0.6951064048039597,1.0,,,,,,,,22002,ok,
boundary_reshot,same_peak_speed,20.0,30.878741951350584,frozen_smootherstep,148.62285764420588,49.99087038150214,16.473610118154756,30.87874182415236,19.684263100049186,400,400,1.0,0.10166606878553523,0.7659049116618335,1.0,0.0,0.0,0.0,400,0,0,0,22002,ok,
boundary_reshot,same_peak_speed,20.0,30.878741951350584,trapezoid_fast_acc,93.25355773754094,45.71252830271615,26.246930658647994,30.878741951350587,27.92398084408112,400,398,0.995,0.17697387314098617,0.6521355508683505,1.0,-0.0050000000000000044,-0.012499999999999956,0.0,398,0,2,0,22002,ok,
boundary_reshot,same_peak_speed,20.0,41.17165593513411,trapezoid,84.92734722526052,41.631052561402214,28.820159154593874,41.17165593513411,32.81501675623983,400,400,1.0,0.09983262413873675,0.7787322461012909,1.0,,,,,,,,22002,ok,
boundary_reshot,same_peak_speed,20.0,41.17165593513411,frozen_smootherstep,111.46714323315442,49.98526602383606,21.96481349087301,41.17165576553648,26.245684133398914,400,400,1.0,0.130464218397621,0.7038156841306504,1.0,0.0,0.0,0.0,400,0,0,0,22002,ok,
boundary_reshot,same_peak_speed,20.0,41.17165593513411,trapezoid_fast_acc,69.9401683031557,34.28439622703711,34.995907544864,41.17165593513411,37.231974458774815,400,400,1.0,0.1804916654474983,0.5316450481479977,1.0,0.0,0.0,0.0,400,0,0,0,22002,ok,
boundary_reshot,same_peak_speed,20.0,61.75748390270117,trapezoid,56.618231483507,27.754035040934806,43.230238731890815,61.757483902701175,49.22252513435975,400,398,0.995,0.12250887531591576,0.7368742973708915,1.0,,,,,,,,22002,ok,
boundary_reshot,same_peak_speed,20.0,61.75748390270117,frozen_smootherstep,74.31142882210294,36.4093232837349,32.94722023630951,61.75748364830472,39.36852620009837,400,399,0.9975,0.1073738527933438,0.7472287378312189,1.0,0.0025000000000000577,0.0,0.007500000000000062,398,1,0,1,22002,ok,
boundary_reshot,same_peak_speed,20.0,61.75748390270117,trapezoid_fast_acc,46.62677886877047,22.856264151358076,52.49386131729599,61.757483902701175,55.84796168816224,400,399,0.9975,0.13353058508004623,0.6793069539795658,1.0,0.0025000000000000577,-0.0050000000000000044,0.012499999999999956,397,2,1,0,22002,ok,
boundary_reshot,same_peak_speed,20.0,82.34331187026822,trapezoid,42.46367361263026,20.815526280701107,57.64031830918775,82.34331187026822,65.63003351247966,400,361,0.9025,0.3309130390788649,0.02541838283043547,1.0,,,,,,,,22002,ok,
boundary_reshot,same_peak_speed,20.0,82.34331187026822,frozen_smootherstep,55.73357161657721,27.306992462801183,43.92962698174602,82.34331153107296,52.49136826679783,400,397,0.9925,0.1996531787456299,0.5572301224573754,1.0,0.09000000000000008,0.06499999999999995,0.12,361,36,0,3,22002,ok,
boundary_reshot,same_peak_speed,20.0,82.34331187026822,trapezoid_fast_acc,34.97008415157785,17.142198113518553,69.991815089728,82.34331187026822,74.46394891754963,400,308,0.77,0.4906163673299763,-0.6121245454154391,1.0,-0.13249999999999995,-0.16749999999999998,-0.09999999999999998,308,0,53,39,22002,ok,
