experiment,structure,temperature_uK,target,duration_us,dt_ns,v_avg_mm_per_s,v_peak_mm_per_s,v_rms_mm_per_s,eta_peak,step_displacement_frac,move_duration_us,shots,captured,capture_rate,wilson_low,wilson_high,follow_loss_rate,exc_move_end_median,exc_move_end_q90,margin_q10,failure_follow_loss,failure_ramp_excitation,failure_handoff,work_residual_median_over_depth,status,error
end_to_end,sequential_scaled,10.0,160,160.0,41.59085001299714,28.846153846153847,43.269230769230774,31.60697706204986,0.16346488345287596,0.0015381231513682376,83.19999999999999,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0102572856431167,1.071965857662044,0.7749775869403467,0,0,0,0.00012630092422894802,ok,
end_to_end,sequential_scaled,10.0,120,119.99999999999999,31.19313750974785,38.46153846153847,57.692307692307686,42.142636082733134,0.2179531779371679,0.0015381231513682374,62.4,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0067264998625558,1.052009054083015,0.8227169868876979,0,0,0,0.00012878578134511238,ok,
end_to_end,sequential_scaled,10.0,90,89.99999999999999,23.39485313231089,51.28205128205128,76.92307692307693,56.19018144364419,0.29060423724955725,0.0015381231513682376,46.8,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0223082786497248,1.090004268020145,0.7161775520174188,0,0,0,0.00012514941122852917,ok,
end_to_end,sequential_scaled,10.0,65,65.0,16.896282817780087,71.00591715976331,106.508875739645,77.80178969119964,0.4023750977301563,0.001538123151368238,33.8,300,225,0.75,0.6980484035459826,0.7956301108417443,1.0,1.088773385278418,1.331031179981128,-0.24423278956324587,2,8,65,6.427823974981615e-05,ok,
end_to_end,sequential_scaled,10.0,45,,,,,,,,,,,,,,,,,,,,,,skipped_early_stop,
end_to_end,sequential_scaled,10.0,32,,,,,,,,,,,,,,,,,,,,,,skipped_early_stop,
end_to_end,sequential_scaled,10.0,25,,,,,,,,,,,,,,,,,,,,,,skipped_early_stop,
end_to_end,sequential_scaled,10.0,20,,,,,,,,,,,,,,,,,,,,,,skipped_early_stop,
end_to_end,frozen_shape_scaled,10.0,600,600.0,50.0,4.08059168579444,7.648811417271971,4.875885720916176,0.028896101101166336,0.0003268722827894005,588.15,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0061530523456446,1.0345037741241836,0.8733602250591828,0,0,0,1.4698135983012092e-06,ok,
end_to_end,frozen_shape_scaled,10.0,400,399.99999999999994,50.0,6.120887528691661,11.473217125907956,7.313828581374263,0.043344151651749506,0.0004903084241841008,392.0999999999999,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0054541504332821,1.0361432549038367,0.8737270996699229,0,0,0,1.5558220695668252e-06,ok,
end_to_end,frozen_shape_scaled,10.0,300,300.0,50.0,8.16118337158888,15.297622834543942,9.751771441832352,0.05779220220233267,0.000653744565578801,294.075,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0048903411443975,1.0317796294725103,0.8729325954235378,0,0,0,1.6644167827736257e-06,ok,
end_to_end,frozen_shape_scaled,10.0,220,219.99999999999997,50.0,11.12888641580302,20.8603947743781,13.297870147953205,0.07880754845772636,0.0008914698621529104,215.65499999999997,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0051210746970245,1.0332144397705276,0.8709025481364476,0,0,0,1.8301276214557111e-06,ok,
end_to_end,frozen_shape_scaled,10.0,160,160.0,50.0,15.302218821729152,28.68304281476989,18.284571453435657,0.10836037912937375,0.0012257710604602517,156.83999999999997,300,300,1.0,0.9873570287754538,0.9999999999999998,1.0,1.0054976329486922,1.0346589515254696,0.8674985430921771,0,0,0,2.23692364646704e-06,ok,
