experiment,condition,aod_depth_uK,aod_waist_um,temperature_uK,duration_us,v_avg_mm_per_s,v_peak_mm_per_s,eta_peak,shots,captured,capture_rate,wilson_low,wilson_high,margin_q10,margin_mean,noise_total_injected_mean,status,error
hardware_v95,waist_0.90um,280.0,0.8999999999999999,20.0,160.0,15.302218821729152,28.68304281476989,0.10836037912937375,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7668306450935328,0.8967576149469096,5.1450605616587865e-08,ok,
hardware_v95,waist_0.90um,280.0,0.8999999999999999,20.0,120.0,20.4029584289722,38.24405708635985,0.1444805055058317,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7454219273759534,0.8929624197499852,3.858795421243956e-08,ok,
hardware_v95,waist_0.90um,280.0,0.8999999999999999,20.0,90.0,27.203944571962932,50.992076115146475,0.19264067400777557,300,300,1.0,0.9873570287754538,0.9999999999999998,0.6625548549523606,0.8642591443964591,2.8940965659329043e-08,ok,
hardware_v95,waist_0.90um,280.0,0.8999999999999999,20.0,65.0,37.66700017656406,70.6044130825105,0.2667332409338431,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7509279140513765,0.8953672376720874,2.090180853173775e-08,ok,
hardware_v95,waist_0.90um,280.0,0.8999999999999999,20.0,45.0,54.407889143925864,101.98415223029295,0.38528134801555114,300,292,0.9733333333333334,0.9482710570494102,0.9864269301913529,0.516256432055838,0.7909161377668811,1.4470482829664521e-08,ok,
hardware_v95,waist_0.90um,280.0,0.8999999999999999,20.0,32.0,76.51109410864576,143.41521407384943,0.5418018956468688,300,46,0.15333333333333332,0.11696640299091687,0.19846605705810166,-2.9162543520560034,-1.0747959246862195,1.0290121123316869e-08,ok,
hardware_v95,waist_1.50um,280.0,1.5,20.0,300.0,8.16118337158888,15.297622834543942,0.05779220220233267,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7519287167706115,0.8882725981236109,9.646988553109144e-08,ok,
hardware_v95,waist_1.50um,280.0,1.5,20.0,220.0,11.12888641580302,20.8603947743781,0.07880754845772636,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7148553050474085,0.87097048636705,7.074458272280496e-08,ok,
hardware_v95,waist_1.50um,280.0,1.5,20.0,160.0,15.302218821729152,28.68304281476989,0.10836037912937375,300,300,1.0,0.9873570287754538,0.9999999999999998,0.6684286262405651,0.8381736256021871,5.1450605616587865e-08,ok,
hardware_v95,waist_1.50um,280.0,1.5,20.0,120.0,20.4029584289722,38.24405708635985,0.1444805055058317,300,300,1.0,0.9873570287754538,0.9999999999999998,0.6466597860444611,0.8148658420756524,3.858795421243956e-08,ok,
hardware_v95,waist_1.50um,280.0,1.5,20.0,90.0,27.203944571962932,50.992076115146475,0.19264067400777557,300,300,1.0,0.9873570287754538,0.9999999999999998,0.5762400207253968,0.7973997122688271,2.8940965659329043e-08,ok,
hardware_v95,waist_1.50um,280.0,1.5,20.0,65.0,37.66700017656406,70.6044130825105,0.2667332409338431,300,298,0.9933333333333333,0.9760224167496929,0.998169851642088,0.3441647798923114,0.6498258713592613,2.090180853173775e-08,ok,
hardware_v95,waist_1.50um,280.0,1.5,20.0,45.0,54.407889143925864,101.98415223029295,0.38528134801555114,300,65,0.21666666666666667,0.1737878350698321,0.2667098486240773,-1.3625341872584575,-0.5092252807274797,1.4470482829664521e-08,ok,
hardware_v95,waist_1.50um,280.0,1.5,20.0,32.0,76.51109410864576,143.41521407384943,0.5418018956468688,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-2.8797210736664858,-2.2429848643252153,1.0290121123316869e-08,ok,
