experiment,sub_experiment,noise_mode,structure,temperature_uK,condition,duration_us,dt_ns,v_peak_mm_per_s,eta_peak,step_displacement_frac,shots,captured,capture_rate,wilson_low,wilson_high,margin_q10,margin_mean,exc_move_end_median,follow_loss_rate,noise_recoil_injected_mean,noise_parametric_injected_mean,noise_pointing_injected_mean,noise_total_injected_mean,work_residual_median_over_depth,pair_difference,pair_ci_low,pair_ci_high,both_captured,only_on,only_off,both_failed,status,error
noise,v95_shift,x100,frozen_shape_scaled,20.0,160,160.0,50.0,28.68304281476989,0.10836037912937375,0.0012257710604602517,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7205600162327915,0.9365504807548188,1.0000543559886261,1.0,5.6808255392270656e-09,5.11844082995525e-06,2.0938906163891677e-08,5.1450605616588075e-06,2.88211710172799e-06,,,,,,,,ok,
noise,v95_shift,x100,frozen_shape_scaled,20.0,120,119.99999999999999,50.0,38.24405708635985,0.1444805055058317,0.0016343614139470025,300,300,1.0,0.9873570287754538,0.9999999999999998,0.6730697051710166,0.9056204864937233,1.0000184589000596,1.0,4.260619154420335e-09,3.838830622466614e-06,1.570417962291794e-08,3.858795421243874e-06,3.3734394459692704e-06,,,,,,,,ok,
noise,v95_shift,x100,frozen_shape_scaled,20.0,90,89.99999999999999,44.09603135717785,50.992076115146475,0.19264067400777557,0.0019218360575564948,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7652010362643256,0.8669006812110938,1.0002287895395245,1.0,3.195464365815385e-09,2.8791229668497775e-06,1.177813471718791e-08,2.8940965659329395e-06,4.987063049021077e-06,,,,,,,,ok,
noise,v95_shift,x100,frozen_shape_scaled,20.0,65,65.0,31.84713375796178,70.6044130825105,0.2667332409338431,0.0019218360575564948,300,300,1.0,0.9873570287754538,0.9999999999999998,0.6758499954427392,0.8728958329493888,1.000009194548335,1.0,2.3078353753111245e-09,2.0793665871692448e-06,8.506430629080258e-09,2.09018085317378e-06,3.39681558091004e-06,,,,,,,,ok,
noise,v95_shift,x100,frozen_shape_scaled,20.0,45,44.99999999999999,22.048015678588925,101.98415223029295,0.38528134801555114,0.0019218360575564948,300,255,0.85,0.805182388854671,0.8859675312881468,-0.12990292342624035,0.2831539157131093,1.0053966029353174,1.0,1.5977321829076925e-09,1.4395614834248888e-06,5.889067358593955e-09,1.4470482829664698e-06,5.5445970738559405e-06,,,,,,,,ok,
noise,v95_shift,x100,frozen_shape_scaled,20.0,32,32.0,15.678588926996568,143.41521407384943,0.5418018956468688,0.0019218360575564946,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-3.3871719490050514,-2.629360779734937,2.404950804411449,1.0,1.1361651078454513e-09,1.0236881659910501e-06,4.187781232778089e-09,1.0290121123317035e-06,7.1141403871093895e-06,,,,,,,,ok,
noise,v95_shift,x100,frozen_shape_scaled,20.0,25,24.999999999999996,12.24889759921607,183.5714740145273,0.6935064264279921,0.0019218360575564948,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-3.255672156518936,-1.5702058745386949,1.762276160502505,1.0,8.876289905042143e-10,7.997563796805561e-07,3.2717040881077805e-09,8.039157127591062e-07,1.107699402664015e-06,,,,,,,,ok,
noise,v95_shift,x100,frozen_shape_scaled,20.0,20,20.0,9.799118079372855,229.46434251815913,0.86688303303499,0.0019218360575564946,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-2.6420173656143526,-0.8698881772079168,1.0049922145107426,1.0,7.101031924033832e-10,6.398051037444287e-07,2.617363270486429e-09,6.431325702072884e-07,1.028271784626412e-06,,,,,,,,ok,
noise,v95_shift,x1000,frozen_shape_scaled,20.0,600,600.0,50.0,7.648811417271971,0.028896101101166336,0.0003268722827894005,300,147,0.49,0.43391704888051774,0.5463358105439731,-0.7628137604115194,0.0037015965120377266,1.3610606824111062,1.0,2.130309577209951e-07,0.00019194153112333384,7.85208981146007e-07,0.00019293977106224386,8.651620315456725e-06,,,,,,,,ok,
noise,v95_shift,x1000,frozen_shape_scaled,20.0,400,399.99999999999994,50.0,11.473217125907956,0.043344151651749506,0.0004903084241841008,300,147,0.49,0.43391704888051774,0.5463358105439731,-0.4783284810467673,0.18421355694890532,1.2242457107260498,1.0,1.42020638480665e-07,0.00012796102074888913,5.234726540972439e-07,0.00012862651404146476,8.629012309603618e-06,,,,,,,,ok,
