species,mass,wavelength,slm_wavelength,waist,depth_uK,slm_depth_uK,temperature_uK,tau_us,geometry,trajectory,distance_um,duration_us,protocol,repeats,ramp_us,hold_us,disorder,alignment_nm,rin,pointing,dt_us,noise_us,shots,seed,average_m_s,peak_m_s,peak_x_m_s,peak_y_m_s,peak_accel_m_s2,interior_peak_jerk_m_s3,acceleration_join_jump_m_s2,complete_oneway_us,omega_r_rad_s,maximum_static_force_acceleration,tau_over_T,repeat,alive,survival,lower,upper,conditional_loss,median_energy_uK,energy_p95_uK,group,file,previous_alive,elapsed_total_us,exp,exp_error,residual
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,2.0,x,zero_jerk,50.0,121.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.4132231404958677,0.6456611570247933,0.6456611570247933,0.0,17075.336384126767,423355447.54033303,17075.336384126767,221.0,177476.37295695557,7355.201545779551,0.01652892561983471,1,0,0.0,0.0,0.0035959404068344786,1.0,,,native,runs\native\2df496eb931a47ebcf.json,1024,221.0,0.0,0.0,0.0
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,2.0,x,zero_jerk,50.0,132.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.3787878787878788,0.5918560606060606,0.5918560606060606,0.0,14348.02571166208,326091493.44686544,14348.02571166208,231.99999999999997,177476.37295695557,7355.201545779551,0.015151515151515152,1,0,0.0,0.0,0.0035959404068344786,1.0,,,native,runs\native\83a71b4895e314b20e.json,1024,231.99999999999997,0.0,0.0,0.0
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,2.0,x,zero_jerk,50.0,143.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.3496503496503496,0.5463286713286712,0.5463286713286712,0.0,12225.536701061175,256479790.9313533,12225.536701061175,243.0,177476.37295695557,7355.201545779551,0.013986013986013986,1,0,0.0,0.0,0.0035959404068344786,1.0,,,native,runs\native\13f3a4647ad458d57b.json,1024,243.0,0.0,0.0,0.0
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,2.0,x,zero_jerk,50.0,154.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.3246753246753246,0.5073051948051948,0.5073051948051948,0.0,10541.406645302748,205352077.5058977,10541.406645302748,254.0,177476.37295695557,7355.201545779551,0.012987012987012988,1,0,0.0,0.0,0.0035959404068344786,1.0,,,native,runs\native\d7221958de342e4286.json,1024,254.0,0.0,0.0,0.0
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,2.0,x,zero_jerk,50.0,165.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.303030303030303,0.4734848484848484,0.4734848484848484,0.0,9182.736455463728,166958844.64479503,9182.736455463728,265.0,177476.37295695557,7355.201545779551,0.012121212121212121,1,0,0.0,0.0,0.0035959404068344786,1.0,,,native,runs\native\cd903f0ebbd330c0d1.json,1024,265.0,0.0,0.0,0.0
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,2.0,x,zero_jerk,50.0,176.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.28409090909090906,0.4438920454545454,0.4438920454545454,0.0,8070.764462809918,137569848.7978963,8070.764462809918,276.0,177476.37295695557,7355.201545779551,0.011363636363636364,1,0,0.0,0.0,0.0035959404068344786,1.0,,,native,runs\native\f8390314517297a73b.json,1024,276.0,0.0,0.0,0.0
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,2.0,x,zero_jerk,50.0,187.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.26737967914438504,0.41778074866310155,0.41778074866310155,0.0,7149.18928193543,114692876.18078229,7149.18928193543,287.0,177476.37295695557,7355.201545779551,0.0106951871657754,1,0,0.0,0.0,0.0035959404068344786,1.0,,,native,runs\native\c63140b2fa84796588.json,1024,287.0,0.0078534031413612,0.004516325013132,-0.0078534031413612
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,2.0,x,zero_jerk,50.0,198.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.25252525252525254,0.394570707070707,0.394570707070707,0.0,6376.900316294256,96619701.76203418,6376.900316294256,298.0,177476.37295695557,7355.201545779551,0.010101010101010102,1,9,0.0087890625,0.004026569296552603,0.016618554444723332,0.9912109375,-31.498635707970838,-5.881958622825476,native,runs\native\b7a29d6b603ea8ad73.json,1024,298.0,0.0336538461538461,0.0088417259226139,-0.024864783653846097
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,2.0,x,zero_jerk,50.0,209.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.23923444976076555,0.37380382775119614,0.37380382775119614,0.0,5723.312195233627,82152806.63014776,5723.312195233627,309.0,177476.37295695557,7355.201545779551,0.009569377990430622,1,85,0.0830078125,0.06683957755180127,0.10161862754227767,0.9169921875,-34.96476729284931,-8.168216467968108,native,runs\native\0e93d5a95d80b879d6.json,1024,309.0,0.0719101123595505,0.0122464439323721,0.011097700140449501
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,2.0,x,zero_jerk,50.0,220.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.22727272727272727,0.35511363636363635,0.35511363636363635,0.0,5165.289256198348,70435762.58452292,5165.289256198348,320.0,177476.37295695557,7355.201545779551,0.00909090909090909,1,198,0.193359375,0.169591067625158,0.2189044891486276,0.806640625,-36.07721367720334,-2.7455349215220624,native,runs\native\3862673879e2191d18.json,1024,320.0,0.2743362831858407,0.0209865046667489,-0.08097690818584069
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,2.0,x,zero_jerk,50.0,231.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.21645021645021645,0.3382034632034632,0.3382034632034632,0.0,4685.069620134556,60845060.00174748,4685.069620134556,331.0,177476.37295695557,7355.201545779551,0.008658008658008658,1,404,0.39453125,0.36444751774313805,0.4252231211448673,0.60546875,-37.64673867393662,-7.548515098025223,native,runs\native\a019b1a21effed2685.json,1024,331.0,0.5135135135135135,0.0237202817839729,-0.11898226351351349
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,2.0,x,zero_jerk,50.0,242.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.20661157024793386,0.32283057851239666,0.32283057851239666,0.0,4268.834096031692,52919430.94254163,4268.834096031692,342.0,177476.37295695557,7355.201545779551,0.008264462809917356,1,615,0.6005859375,0.5698453357194939,0.6307465802566277,0.3994140625,-37.400114144073136,-6.87312408303805,native,runs\native\2bd268b1857613f04c.json,1024,342.0,0.727979274611399,0.0226499293910336,-0.127393337111399
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,2.0,x,zero_jerk,50.0,253.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.1976284584980237,0.30879446640316205,0.30879446640316205,0.0,3905.700760830509,46312657.24304951,3905.700760830509,353.0,177476.37295695557,7355.201545779551,0.007905138339920948,1,744,0.7265625,0.6981488247186487,0.7536671868339426,0.2734375,-47.69741384580436,-6.932446932936748,native,runs\native\b8e0a75837fda63f56.json,1024,353.0,0.8236658932714617,0.0183571420022035,-0.09710339327146167
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,2.0,x,zero_jerk,50.0,264.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.1893939393939394,0.2959280303030303,0.2959280303030303,0.0,3587.00642791552,40761436.68085818,3587.00642791552,363.99999999999994,177476.37295695557,7355.201545779551,0.007575757575757576,1,835,0.8154296875,0.7902852192093528,0.8387455847173838,0.1845703125,-49.782453360691584,-9.064393040582674,native,runs\native\2ec4dc72444f12b529.json,1024,363.99999999999994,0.9375,0.0116461873828114,-0.1220703125
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,2.0,x,zero_jerk,50.0,275.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.18181818181818182,0.28409090909090906,0.28409090909090906,0.0,3305.785123966943,36063110.44327574,3305.785123966943,374.99999999999994,177476.37295695557,7355.201545779551,0.007272727272727273,1,920,0.8984375,0.8782871917246311,0.9162611193496089,0.1015625,-56.08497983750837,-16.399794336595527,native,runs\native\ac4aab4983e813408b.json,1024,374.99999999999994,0.9642857142857144,0.0087676830898389,-0.06584821428571441
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,2.0,x,zero_jerk,50.0,286.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.1748251748251748,0.2731643356643356,0.2731643356643356,0.0,3056.384175265294,32059973.866419163,3056.384175265294,386.0,177476.37295695557,7355.201545779551,0.006993006993006993,1,959,0.9365234375,0.9198059093420049,0.9506720555350211,0.0634765625,-58.932368828117944,-27.738704262658132,native,runs\native\852394610a6b6e7f3a.json,1024,386.0,0.9714285714285714,0.0078102640330228,-0.03490513392857142
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,2.0,x,zero_jerk,50.0,297.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.16835016835016833,0.263047138047138,0.263047138047138,0.0,2834.1779183530025,28628059.781343453,2834.1779183530025,397.0,177476.37295695557,7355.201545779551,0.006734006734006734,1,997,0.9736328125,0.9618677460868004,0.982553553747378,0.0263671875,-60.141325430465265,-25.915502907797336,native,runs\native\295d9f663fa84d4f93.json,1024,397.0,0.9871794871794872,0.0052002932345681,-0.013546674679487225
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,2.0,x,zero_jerk,50.0,308.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.1623376623376623,0.2536525974025974,0.2536525974025974,0.0,2635.351661325687,25669009.688237213,2635.351661325687,408.0,177476.37295695557,7355.201545779551,0.006493506493506494,1,1011,0.9873046875,0.9783884687104617,0.9932234361277991,0.0126953125,-66.58792216163442,-33.30051881955509,native,runs\native\38bd0ed6fe62e53a52.json,1024,408.0,0.9957894736842106,0.0029710171159079,-0.008484786184210558
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,2.0,x,zero_jerk,50.0,319.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.1567398119122257,0.24490595611285262,0.24490595611285262,0.0,2456.736863827989,23104108.437253814,2456.736863827989,419.0,177476.37295695557,7355.201545779551,0.006269592476489028,1,1015,0.9912109375,0.9833814455552766,0.9959734307034473,0.0087890625,-66.99029943379388,-36.70153334723213,native,runs\native\1396c9eaf2c8c0c28e.json,1024,419.0,0.9872340425531916,0.0051783074079493,0.003976894946808418
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,2.0,x,zero_jerk,50.0,330.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.1515151515151515,0.2367424242424242,0.2367424242424242,0.0,2295.684113865932,20869855.58059938,2295.684113865932,430.0,177476.37295695557,7355.201545779551,0.006060606060606061,1,1019,0.9951171875,0.9886422066383275,0.9984127205879809,0.0048828125,-69.79696199435273,-39.74841364722603,native,runs\native\e3d0d55415ef0f66fb.json,1024,430.0,0.9932279909706546,0.0038965600743745,0.0018891965293453827
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,2.0,x,zero_jerk,50.0,341.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.14662756598240467,0.2291055718475073,0.2291055718475073,0.0,2149.9643105924442,18914642.028672528,2149.9643105924442,441.0,177476.37295695557,7355.201545779551,0.005865102639296188,1,1022,0.998046875,0.9929626170738214,0.9997633799190466,0.001953125,-74.4920168877378,-45.22585325095362,native,runs\native\b0c88e6b8647c202ce.json,1024,441.0,0.9936575052854124,0.0036502099552644,0.004389369714587588
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,2.0,x,zero_jerk,50.0,363.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.13774104683195593,0.2152203856749311,0.2152203856749311,0.0,1897.2595982363075,15679831.390382705,1897.2595982363075,463.0,177476.37295695557,7355.201545779551,0.005509641873278237,1,1024,1.0,0.9964040595931655,1.0,0.0,-75.79684612149063,-49.30769401874465,native,runs\native\1deaf4be39971b6524.json,1024,463.0,0.9978947368421052,0.0021030459238325,0.002105263157894832
Yb,2.8384645652309205e-25,4.87e-07,1.061e-06,7.7e-07,95.98486146732442,140.0,5.0,2.0,x,zero_jerk,50.0,385.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,1024,26091701,0.12987012987012986,0.2029220779220779,0.2029220779220779,0.0,1686.62506324844,13142532.960377453,1686.62506324844,485.0,177476.37295695557,7355.201545779551,0.005194805194805195,1,1024,1.0,0.9964040595931655,1.0,0.0,-79.02579583406683,-52.106435806363855,native,runs\native\54be17765a5c27af6d.json,1024,485.0,0.9869281045751634,0.0053015846224928,0.013071895424836555
