species,mass,wavelength,slm_wavelength,waist,depth_uK,slm_depth_uK,temperature_uK,tau_us,geometry,trajectory,distance_um,duration_us,protocol,repeats,ramp_us,hold_us,disorder,alignment_nm,rin,pointing,dt_us,noise_us,shots,average_m_s,peak_m_s,peak_x_m_s,peak_y_m_s,peak_accel_m_s2,interior_peak_jerk_m_s3,acceleration_join_jump_m_s2,complete_oneway_us,omega_r_rad_s,maximum_static_force_acceleration,tau_over_T,repeat,alive,survival,lower,upper,conditional_loss,median_energy_uK,energy_p95_uK,group,previous_alive,elapsed_total_us,representative_file,representative_seed,seeds,seed_count,source_files,status99,status999
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,min_jerk,610.0,3000.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,8192,0.2033333333333333,0.38125,0.38125,0.0,391.3151824507466,1355555.5555555555,0.0,3100.0,238468.88814965388,19142.96458254997,0.0,1,8192,1.0,0.9995497987032913,1.0,0.0,-230.7293323944926,-171.23569037645933,final_single,8192,3100.0,runs\final_single\66554c1cf04f82c9ea.json,26091741,"26091741,26091742",2,runs\final_single\66554c1cf04f82c9ea.json;runs\final_single\f9f3727590a5327251.json,supported,supported
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,min_jerk,610.0,6000.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,8192,0.10166666666666666,0.190625,0.190625,0.0,97.82879561268665,169444.44444444444,0.0,6100.0,238468.88814965388,19142.96458254997,0.0,1,8192,1.0,0.9995497987032913,1.0,0.0,-230.7183321993507,-171.22091716596753,final_single,8192,6100.0,runs\final_single\2d47228a6426a68501.json,26091742,"26091742,26091741",2,runs\final_single\2d47228a6426a68501.json;runs\final_single\2769cf2dac29edd21f.json,supported,supported
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,rb_cubic,270.0,550.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,12288,0.49090909090909096,0.7363636363636364,0.7363636363636364,0.0,5355.371900826448,19474079.639368903,5355.371900826448,649.9999999999999,238468.88814965388,19142.96458254997,0.0,1,12245,0.9965006510416666,0.9952892629009339,0.9974663812295241,0.0034993489583333703,-221.7162320361016,-145.78473790318955,final_single,12288,649.9999999999999,runs\final_single\7fe6468bc1cf3775f4.json,26091742,"26091742,26091741,26091771",3,runs\final_single\7fe6468bc1cf3775f4.json;runs\final_single\f57546aa69285d05b9.json;runs\boundary_steps\32cc789c11be989770.json,supported,failed
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,rb_cubic,270.0,650.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,8192,0.4153846153846154,0.6230769230769231,0.6230769230769231,0.0,3834.319526627219,11797906.23577606,3834.319526627219,750.0,238468.88814965388,19142.96458254997,0.0,1,8186,0.999267578125,0.9984065127331019,0.9997311681624618,0.000732421875,-226.61692243904605,-156.52774534169063,confirm,8192,750.0,runs\confirm\18e9be8f16a8484d2d.json,26091722,"26091722,26091721",2,runs\confirm\18e9be8f16a8484d2d.json;runs\confirm\0a64d0860575cd51a6.json,supported,uncertain
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,rb_cubic,270.0,700.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,8192,0.38571428571428573,0.5785714285714285,0.5785714285714285,0.0,3306.122448979592,9446064.13994169,3306.122448979592,800.0,238468.88814965388,19142.96458254997,0.0,1,8188,0.99951171875,0.9987502822701819,0.9998669442795954,0.00048828125,-228.13446085256288,-160.63627598330726,confirm,8192,800.0,runs\confirm\8263711179c0d5f236.json,26091722,"26091722,26091721",2,runs\confirm\8263711179c0d5f236.json;runs\confirm\6825436dbd49c93bcd.json,supported,uncertain
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,rb_cubic,270.0,900.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,8192,0.3,0.45,0.45,0.0,2000.0,4444444.444444444,2000.0,1000.0,238468.88814965388,19142.96458254997,0.0,1,8191,0.9998779296875,0.999320057497738,0.9999969094520433,0.0001220703125,-229.7612278725259,-169.033159575613,final_single,8192,1000.0,runs\final_single\40146427d5935a7fdd.json,26091741,"26091741,26091742",2,runs\final_single\40146427d5935a7fdd.json;runs\final_single\d06c3a1496ad1aeaa3.json,supported,supported
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,rb_cubic,270.0,3000.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,8192,0.09,0.13499999999999998,0.13499999999999998,0.0,179.99999999999997,119999.99999999999,179.99999999999997,3100.0,238468.88814965388,19142.96458254997,0.0,1,8192,1.0,0.9995497987032913,1.0,0.0,-230.67709069177607,-171.3666480204995,final_single,8192,3100.0,runs\final_single\f742195a4661f3c2dd.json,26091742,"26091742,26091741",2,runs\final_single\f742195a4661f3c2dd.json;runs\final_single\f3fb8d1747c828e6ef.json,supported,supported
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,rb_cubic,270.0,6000.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,8192,0.045,0.06749999999999999,0.06749999999999999,0.0,44.99999999999999,14999.999999999998,44.99999999999999,6100.0,238468.88814965388,19142.96458254997,0.0,1,8192,1.0,0.9995497987032913,1.0,0.0,-230.72646860447412,-171.39027404963394,final_single,8192,6100.0,runs\final_single\0f80d1c26f58da08e6.json,26091741,"26091741,26091742",2,runs\final_single\0f80d1c26f58da08e6.json;runs\final_single\da19c211db39d79865.json,supported,supported
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,rb_cubic,510.0,700.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,8192,0.7285714285714284,1.0928571428571425,1.0928571428571425,0.0,6244.897959183672,17842565.597667634,6244.897959183672,800.0,238468.88814965388,19142.96458254997,0.0,1,8113,0.9903564453125,0.9879955489817851,0.9923578824542744,0.0096435546875,-218.16733160033732,-137.93382345853627,final_single,8192,800.0,runs\final_single\99fc575b89d8567234.json,26091741,"26091741,26091742",2,runs\final_single\99fc575b89d8567234.json;runs\final_single\f6347950b2a6a5394e.json,uncertain,failed
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,rb_cubic,510.0,850.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,14336,0.6,0.8999999999999999,0.8999999999999999,0.0,4235.294117647059,9965397.923875432,4235.294117647059,950.0,238468.88814965388,19142.96458254997,0.0,1,14311,0.9982561383928571,0.9974267852752682,0.9988711566703223,0.0017438616071429047,-226.09477521685037,-154.85597827872385,convergence,14336,950.0,runs\convergence\0191f50a7d4cf4d806.json,26091731,"26091731,26091721,26091771,26091722",4,runs\convergence\0191f50a7d4cf4d806.json;runs\confirm\d767afdc662cda5011.json;runs\boundary_steps\d414ca5efd3111fc57.json;runs\confirm\79feba29cc20548118.json,supported,failed
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,rb_cubic,510.0,900.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,10240,0.5666666666666667,0.8499999999999999,0.8499999999999999,0.0,3777.777777777777,8395061.72839506,3777.777777777777,1000.0,238468.88814965388,19142.96458254997,0.0,1,10228,0.998828125,0.9979538659257634,0.9993943331185292,0.0011718750000000444,-226.83242551482957,-157.68655400343047,convergence,10240,1000.0,runs\convergence\0c50cdff7aef511785.json,26091731,"26091731,26091721,26091722",3,runs\convergence\0c50cdff7aef511785.json;runs\confirm\9779a3ddfc0d2fd481.json;runs\confirm\c274d2bc21d834b9ef.json,supported,uncertain
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,rb_cubic,510.0,1000.0,B,1,200.0,100.0,0.02,50.0,0.0,0.0,0.05,0.2,8192,0.5099999999999999,0.7649999999999998,0.7649999999999998,0.0,3059.9999999999995,6119999.999999998,3059.9999999999995,1500.0,238468.88814965388,19142.96458254997,0.0,1,8094,0.988037109375,0.9854401765005323,0.9902775704380011,0.011962890625,-91.82675421321376,-37.48248618859178,operations_confirm,8192,1500.0,runs\operations_confirm\002f39c48d0c6c596d.json,26091722,"26091722,26091721",2,runs\operations_confirm\002f39c48d0c6c596d.json;runs\operations_confirm\71816764218c7bdec5.json,uncertain,failed
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,rb_cubic,510.0,1200.0,B,1,200.0,100.0,0.02,50.0,0.0,0.0,0.05,0.2,8192,0.425,0.6375,0.6375,0.0,2125.0,3541666.6666666665,2125.0,1700.0,238468.88814965388,19142.96458254997,0.0,1,8150,0.994873046875,0.9930761009035667,0.9963025189233047,0.005126953125,-92.61966155988995,-37.58909501278337,operations_confirm,8192,1700.0,runs\operations_confirm\807185c1bc51fe3232.json,26091721,"26091721,26091722",2,runs\operations_confirm\807185c1bc51fe3232.json;runs\operations_confirm\dac12258692e9b607d.json,supported,failed
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,rb_cubic,510.0,1200.0,B,1,200.0,100.0,0.02,50.0,5.75e-09,1e-24,0.05,0.2,8192,0.425,0.6375,0.6375,0.0,2125.0,3541666.6666666665,2125.0,1700.0,238468.88814965388,19142.96458254997,0.0,1,8117,0.9908447265625,0.9885371224830839,0.9927921806874556,0.0091552734375,-90.91576967875946,-32.44931323374649,operations_confirm,8192,1700.0,runs\operations_confirm\4df1bea5fe2c3f8590.json,26091721,"26091721,26091722",2,runs\operations_confirm\4df1bea5fe2c3f8590.json;runs\operations_confirm\bb12fe5769d2127ba9.json,uncertain,failed
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,rb_cubic,510.0,1260.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,8192,0.40476190476190477,0.6071428571428571,0.6071428571428571,0.0,1927.4376417233561,3059424.828132312,1927.4376417233561,1359.9999999999998,238468.88814965388,19142.96458254997,0.0,1,8191,0.9998779296875,0.999320057497738,0.9999969094520433,0.0001220703125,-229.46320756082136,-168.42731998662444,final_single,8192,1359.9999999999998,runs\final_single\31769f6a03ad64b626.json,26091741,"26091741,26091742",2,runs\final_single\31769f6a03ad64b626.json;runs\final_single\b0cad9725ace3103b7.json,supported,supported
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,rb_cubic,510.0,1600.0,B,1,200.0,100.0,0.02,50.0,5.75e-09,1e-24,0.05,0.2,8192,0.31875,0.47812499999999997,0.47812499999999997,0.0,1195.3125,1494140.625,1195.3125,2100.0,238468.88814965388,19142.96458254997,0.0,1,8134,0.992919921875,0.9908568515461431,0.9946195377309583,0.007080078125,-90.92091110957928,-33.83550292099968,operations_confirm,8192,2100.0,runs\operations_confirm\8c4c6998ad024e3da3.json,26091721,"26091721,26091722",2,runs\operations_confirm\8c4c6998ad024e3da3.json;runs\operations_confirm\c31f005e1d0cdb1840.json,supported,failed
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,rb_cubic,510.0,3000.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,8192,0.16999999999999998,0.25499999999999995,0.25499999999999995,0.0,339.99999999999994,226666.66666666663,339.99999999999994,3100.0,238468.88814965388,19142.96458254997,0.0,1,8192,1.0,0.9995497987032913,1.0,0.0,-230.56328255827603,-171.29734016704035,final_single,8192,3100.0,runs\final_single\087d25b573c3df6b5f.json,26091741,"26091741,26091742",2,runs\final_single\087d25b573c3df6b5f.json;runs\final_single\de1dd28d39cc050e71.json,supported,supported
