distance_um,duration_us,trajectory,protocol,tau_us,rin,repeat,seed,noise_us,dt_coarse,dt_fine,survival_difference,paired_SE,label_disagreement,energy_KS,median_energy_difference_uK
510.0,1050.0,rb_cubic,A,5.0,0.0,1,26091771,0.2,0.1,0.05,0.0,0.0,0.0,0.0009830425165888723,0.028765177901374926
510.0,1050.0,rb_cubic,A,5.0,0.0,1,26091771,0.2,0.05,0.025,0.0,0.0,0.0,0.0007372818874415987,0.0017427614806302173
510.0,1100.0,min_jerk,A,2.0,0.0,1,26091731,0.2,0.1,0.05,0.0,0.0,0.0,0.0009775171065493637,-0.0005487701130200985
510.0,1100.0,min_jerk,A,2.0,0.0,1,26091731,0.2,0.05,0.025,0.0,0.0,0.0,0.0009775171065493637,-0.00013758422158521497
510.0,1100.0,rb_cubic,A,5.0,0.0,1,26091731,0.2,0.1,0.05,0.0,0.0,0.0,0.0014698677119059367,0.004978502179192731
510.0,1100.0,rb_cubic,A,5.0,0.0,1,26091731,0.2,0.05,0.025,0.0,0.0,0.0,0.0014698677119059367,0.0012439545607174128
510.0,1100.0,zero_jerk,A,5.0,0.0,1,26091771,0.2,0.1,0.05,0.0,0.0,0.0,0.0009808729769494873,0.004496749726648213
510.0,1100.0,zero_jerk,A,5.0,0.0,1,26091771,0.2,0.05,0.025,0.0,0.0,0.0,0.0007356547327120877,0.0011246832410330312
510.0,1150.0,rb_cubic,A,5.0,0.0,1,26091731,0.2,0.1,0.05,0.0,0.0,0.0,0.0019559902200488866,0.0033962782815549525
510.0,1150.0,rb_cubic,A,5.0,0.0,1,26091731,0.2,0.05,0.025,0.0,0.0,0.0,0.0014669926650366927,0.0008503374899465445
510.0,1150.0,zero_jerk,A,5.0,0.0,1,26091731,0.2,0.1,0.05,0.0,0.0,0.0,0.001468428781204123,0.006871320771054704
510.0,1150.0,zero_jerk,A,5.0,0.0,1,26091731,0.2,0.05,0.025,0.0,0.0,0.0,0.001468428781204123,0.001718895472659118
510.0,1200.0,zero_jerk,A,5.0,0.0,1,26091731,0.2,0.1,0.05,0.00048828125,0.00048828125,0.00048828125,0.0023591861512831658,-0.007936597492895542
510.0,1200.0,zero_jerk,A,5.0,0.0,1,26091731,0.2,0.05,0.025,0.0,0.0,0.0,0.0009779951100244988,-0.0033513613431039512
510.0,1300.0,min_jerk,A,5.0,0.0,1,26091771,0.2,0.1,0.05,0.0,0.0,0.0,0.000984736582964052,0.0015987998173435632
510.0,1300.0,min_jerk,A,5.0,0.0,1,26091771,0.2,0.05,0.025,0.0,0.0,0.0,0.0007385524372230945,0.00040095240302941224
510.0,1400.0,min_jerk,A,5.0,0.0,1,26091731,0.2,0.1,0.05,0.0,0.0,0.0,0.0014662756598240456,0.004502787624041654
510.0,1400.0,min_jerk,A,5.0,0.0,1,26091731,0.2,0.05,0.025,0.0,0.0,0.0,0.0009775171065493637,0.0011236889482237526
510.0,1500.0,min_jerk,A,5.0,0.0,1,26091731,0.2,0.1,0.05,0.0,0.0,0.0,0.0014655593551539114,0.004175740990111575
510.0,1500.0,min_jerk,A,5.0,0.0,1,26091731,0.2,0.05,0.025,0.0,0.0,0.0,0.0009770395701026446,0.0010448086035499031
510.0,1600.0,min_jerk,A,5.0,0.0,1,26091773,0.2,0.1,0.05,0.0,0.0,0.0,0.00146484375,0.028339868948181916
510.0,1600.0,min_jerk,A,5.0,0.0,1,26091773,0.2,0.05,0.025,0.0,0.0,0.0,0.0009765625,0.009937507678308428
510.0,1600.0,min_jerk,A,5.0,0.0,10,26091773,0.2,0.1,0.05,0.0,0.0011963320223781792,0.0029296875,0.019117647058823517,0.8855073441073728
510.0,1600.0,min_jerk,A,5.0,0.0,10,26091773,0.2,0.05,0.025,-0.001953125,0.0013807305512910115,0.00390625,0.016116994743102797,0.9927635499754862
510.0,1600.0,min_jerk,A,5.0,0.0,50,26091773,0.2,0.1,0.05,-0.0029296875,0.004834484670357332,0.0478515625,0.025388457804835618,-0.3288432632904245
510.0,1600.0,min_jerk,A,5.0,0.0,50,26091773,0.2,0.05,0.025,0.00537109375,0.004906928473637812,0.04931640625,0.02032380314006546,-0.020304161667572186
510.0,1600.0,zero_jerk,A,5.0,0.0,1,26091731,0.2,0.1,0.05,0.0,0.0,0.0,0.00244140625,0.0006580588497443452
510.0,1600.0,zero_jerk,A,5.0,0.0,1,26091731,0.2,0.05,0.025,0.0,0.0,0.0,0.001953125,0.0001643691195497704
510.0,1600.0,zero_jerk,A,5.0,0.0,10,26091731,0.2,0.1,0.05,0.00146484375,0.0016195176178428,0.00537109375,0.02670620291867548,-2.2891849372207917
510.0,1600.0,zero_jerk,A,5.0,0.0,10,26091731,0.2,0.05,0.025,0.0009765625,0.0015443071663933034,0.0048828125,0.01719972776577061,1.2186105023677565
510.0,1600.0,zero_jerk,A,5.0,0.0,50,26091731,0.2,0.1,0.05,-0.01025390625,0.008470400592802458,0.14697265625,0.026563807676747708,0.21591934761584
510.0,1600.0,zero_jerk,A,5.0,0.0,50,26091731,0.2,0.05,0.025,0.01171875,0.008313126781918513,0.1416015625,0.024687409130561222,-0.14151939531933047
510.0,1600.0,zero_jerk,A,5.0,5.75e-09,1,26091731,0.2,0.1,0.05,0.0,0.0,0.0,0.0029296875,-0.05125698888234629
510.0,1600.0,zero_jerk,A,5.0,5.75e-09,1,26091731,0.2,0.05,0.025,0.0,0.0,0.0,0.001953125,4.1276073327210124e-05
510.0,1600.0,zero_jerk,A,5.0,5.75e-09,10,26091731,0.2,0.1,0.05,0.00244140625,0.005237233916300763,0.05615234375,0.027363996967390114,0.4829606588560103
510.0,1600.0,zero_jerk,A,5.0,5.75e-09,10,26091731,0.2,0.05,0.025,-0.00390625,0.005121660026012128,0.0537109375,0.023872118143267063,0.703704249634517
510.0,1600.0,zero_jerk,A,5.0,5.75e-09,50,26091731,0.2,0.1,0.05,-0.01708984375,0.013181402579289642,0.35595703125,0.0713257120874208,-6.5869345349939215
510.0,1600.0,zero_jerk,A,5.0,5.75e-09,50,26091731,0.2,0.05,0.025,-0.02978515625,0.013545373066767508,0.37646484375,0.03987111009458205,2.2866872116016577
510.0,1600.0,zero_jerk,B,5.0,0.0,1,26091731,0.2,0.1,0.05,0.0,0.0006907026151602111,0.0009765625,0.002449779519843265,-0.00033243425095563035
510.0,1600.0,zero_jerk,B,5.0,0.0,1,26091731,0.2,0.05,0.025,0.0,0.0,0.0,0.0019598236158746563,0.0006453710904550593
510.0,1600.0,zero_jerk,B,5.0,0.0,10,26091731,0.2,0.1,0.05,0.00244140625,0.0041725468169546975,0.03564453125,0.01849713268736397,0.8413820818336814
510.0,1600.0,zero_jerk,B,5.0,0.0,10,26091731,0.2,0.05,0.025,-0.0029296875,0.004312950382514098,0.0380859375,0.020868607358430658,-0.9439566273818215
510.0,1600.0,zero_jerk,B,5.0,0.0,50,26091731,0.2,0.1,0.05,-0.00390625,0.011700925827588792,0.2802734375,0.018196435901428165,-0.6641235612956587
510.0,1600.0,zero_jerk,B,5.0,0.0,50,26091731,0.2,0.05,0.025,-0.0078125,0.011720340125792629,0.28125,0.03323180683977511,0.7829640276473879
510.0,1600.0,zero_jerk,B,5.0,5.75e-09,1,26091731,0.2,0.1,0.05,0.0009765625,0.0009765625,0.001953125,0.004307775441796058,0.019622571750387712
