distance_um,trajectory,protocol,tau_us,depth_uK,rin,disorder,repeat,time_short_us,time_long_us,survival_short,survival_long,short_lower,long_upper,interpretation
510.0,rb_cubic,B,5.0,280.0,5.75e-09,0.02,10,3000.0,4500.0,0.697265625,0.494140625,0.6554352334024897,0.5383499963338069,screening evidence only; no familywise correction
510.0,rb_cubic,B,5.0,280.0,5.75e-09,0.02,10,4500.0,6000.0,0.494140625,0.353515625,0.4499992633834534,0.3966542277377453,screening evidence only; no familywise correction
510.0,rb_cubic,B,5.0,280.0,5.75e-09,0.02,50,2200.0,3000.0,0.12109375,0.048828125,0.0941148389417305,0.0712386558413629,screening evidence only; no familywise correction
510.0,rb_cubic,B,5.0,280.0,5.75e-09,0.02,50,3000.0,4500.0,0.048828125,0.005859375,0.0318447521964366,0.0170273751168389,screening evidence only; no familywise correction
510.0,zero_jerk,A,5.0,280.0,5.75e-09,0.02,10,2200.0,3000.0,0.953125,0.87890625,0.9310541575783784,0.9058851610582694,screening evidence only; no familywise correction
510.0,zero_jerk,A,5.0,280.0,5.75e-09,0.02,10,3000.0,4500.0,0.87890625,0.68359375,0.84746388323818,0.7236940965184069,screening evidence only; no familywise correction
510.0,zero_jerk,A,5.0,280.0,5.75e-09,0.02,10,4500.0,6000.0,0.68359375,0.533203125,0.6413579258197515,0.5770936137629895,screening evidence only; no familywise correction
510.0,zero_jerk,A,5.0,280.0,5.75e-09,0.02,50,2200.0,3000.0,0.291015625,0.123046875,0.2519982070295263,0.1546711303600911,screening evidence only; no familywise correction
510.0,zero_jerk,A,5.0,280.0,5.75e-09,0.02,50,3000.0,4500.0,0.123046875,0.01953125,0.0958617928253271,0.0356246361816769,screening evidence only; no familywise correction
510.0,zero_jerk,B,5.0,280.0,5.75e-09,0.02,10,2200.0,3000.0,0.818359375,0.708984375,0.7821796565198944,0.7480017929704736,screening evidence only; no familywise correction
510.0,zero_jerk,B,5.0,280.0,5.75e-09,0.02,10,3000.0,4500.0,0.708984375,0.486328125,0.6675343957308182,0.530569681463785,screening evidence only; no familywise correction
510.0,zero_jerk,B,5.0,280.0,5.75e-09,0.02,10,4500.0,6000.0,0.486328125,0.36328125,0.4422452592440868,0.4066115157254134,screening evidence only; no familywise correction
510.0,zero_jerk,B,5.0,280.0,5.75e-09,0.02,50,2200.0,3000.0,0.125,0.0546875,0.0976110768689058,0.0780714816375182,screening evidence only; no familywise correction
510.0,zero_jerk,B,5.0,280.0,5.75e-09,0.02,50,3000.0,4500.0,0.0546875,0.01171875,0.0366433774204702,0.0253312811799262,screening evidence only; no familywise correction
610.0,min_jerk,A,5.0,280.0,5.75e-09,0.02,10,2200.0,3000.0,0.9609375,0.900390625,0.940314018082688,0.924932318368509,screening evidence only; no familywise correction
610.0,min_jerk,A,5.0,280.0,5.75e-09,0.02,10,3000.0,4500.0,0.900390625,0.740234375,0.8711148145301486,0.7777133962165629,screening evidence only; no familywise correction
610.0,min_jerk,A,5.0,280.0,5.75e-09,0.02,10,4500.0,6000.0,0.740234375,0.53515625,0.6999559513469891,0.579023866234575,screening evidence only; no familywise correction
610.0,min_jerk,A,5.0,280.0,5.75e-09,0.02,50,2200.0,3000.0,0.3359375,0.12890625,0.2950988547021246,0.1610626384996719,screening evidence only; no familywise correction
610.0,min_jerk,A,5.0,280.0,5.75e-09,0.02,50,3000.0,4500.0,0.12890625,0.01953125,0.1011164495800839,0.0356246361816769,screening evidence only; no familywise correction
610.0,min_jerk,B,5.0,280.0,5.75e-09,0.02,10,3000.0,4500.0,0.767578125,0.513671875,0.72852816174846,0.5577547407559131,screening evidence only; no familywise correction
610.0,min_jerk,B,5.0,280.0,5.75e-09,0.02,10,4500.0,6000.0,0.513671875,0.390625,0.469430318536215,0.4343947663292445,screening evidence only; no familywise correction
610.0,min_jerk,B,5.0,280.0,5.75e-09,0.02,50,2200.0,3000.0,0.18359375,0.05078125,0.1509901338457814,0.0735235969705008,screening evidence only; no familywise correction
610.0,min_jerk,B,5.0,280.0,5.75e-09,0.02,50,3000.0,4500.0,0.05078125,0.005859375,0.0334365900510209,0.0170273751168389,screening evidence only; no familywise correction
