distance_um,trajectory,tau_us,duration_us,dt_us,shots,alive,survival,lower,upper,status99
610.0,min_jerk,5.0,1500.0,0.025,4096,4074,0.99462890625,0.9918793286918032,0.9966309945813342,supported
610.0,min_jerk,5.0,1500.0,0.05,4096,4074,0.99462890625,0.9918793286918032,0.9966309945813342,supported
610.0,min_jerk,5.0,1500.0,0.1,4096,4074,0.99462890625,0.9918793286918032,0.9966309945813342,supported
610.0,rb_cubic,0.0,800.0,0.025,4096,4061,0.991455078125,0.9881359407008664,0.9940411375087684,uncertain
610.0,rb_cubic,0.0,800.0,0.05,4096,4061,0.991455078125,0.9881359407008664,0.9940411375087684,uncertain
610.0,rb_cubic,0.0,800.0,0.1,4096,4061,0.991455078125,0.9881359407008664,0.9940411375087684,uncertain
610.0,rb_cubic,2.0,1050.0,0.025,4096,4089,0.998291015625,0.9964820288197509,0.9993126322639808,supported
610.0,rb_cubic,2.0,1050.0,0.05,4096,4089,0.998291015625,0.9964820288197509,0.9993126322639808,supported
610.0,rb_cubic,2.0,1050.0,0.1,4096,4089,0.998291015625,0.9964820288197509,0.9993126322639808,supported
610.0,rb_cubic,5.0,1200.0,0.025,4096,4069,0.993408203125,0.9904236706136841,0.9956516020144104,supported
610.0,rb_cubic,5.0,1200.0,0.05,4096,4069,0.993408203125,0.9904236706136841,0.9956516020144104,supported
610.0,rb_cubic,5.0,1200.0,0.1,4096,4069,0.993408203125,0.9904236706136841,0.9956516020144104,supported
610.0,zero_jerk,0.0,750.0,0.025,4096,4059,0.990966796875,0.9875702191815123,0.9936320428800363,uncertain
610.0,zero_jerk,0.0,750.0,0.05,4096,4059,0.990966796875,0.9875702191815123,0.9936320428800363,uncertain
610.0,zero_jerk,0.0,750.0,0.1,4096,4059,0.990966796875,0.9875702191815123,0.9936320428800363,uncertain
610.0,zero_jerk,2.0,900.0,0.025,4096,4079,0.995849609375,0.993363112859827,0.997580442257999,supported
610.0,zero_jerk,2.0,900.0,0.05,4096,4079,0.995849609375,0.993363112859827,0.997580442257999,supported
610.0,zero_jerk,2.0,900.0,0.1,4096,4079,0.995849609375,0.993363112859827,0.997580442257999,supported
610.0,zero_jerk,5.0,1400.0,0.025,4096,4094,0.99951171875,0.998237284819362,0.9999408614043546,supported
610.0,zero_jerk,5.0,1400.0,0.05,4096,4094,0.99951171875,0.998237284819362,0.9999408614043546,supported
610.0,zero_jerk,5.0,1400.0,0.1,4096,4093,0.999267578125,0.9978610589126181,0.9998489315250327,supported
