protocol,duration_us,rin,seed,repeat,retained,mean_above_actual_bottom_uK,p95_above_actual_bottom_uK,paired_survivor_mean_energy_change_uK,mean_x_um,mean_y_um,mean_z_um,mean_vx_m_s,mean_vy_m_s,mean_vz_m_s,rms_x_um,rms_y_um,rms_z_um
A,1600.0,0.0,26091721,1,4095,55.4586374674833,112.115313396214,1.8323615175258092,-0.011919872184185692,6.030617475173133e-06,0.10208208571460543,-0.0004574112850908301,0.0002711332265566486,0.00013346855381004256,0.15550514609337027,0.15439326958299698,0.7811565637067468
A,1600.0,0.0,26091721,10,4075,63.977846261571436,139.89425710636752,10.75614451137296,0.002910667340206372,0.0006222785082980084,-0.010916555178506405,0.0014625755090998894,-0.0003570931869546995,-0.00024411669454879915,0.16811294640807828,0.1653495339923252,0.9739381930033948
A,1600.0,0.0,26091721,50,3633,86.08636135445852,188.11978259688613,37.08975665177865,0.0027114415303339237,0.00048452331526381093,0.019690263081358055,0.0007614173724905542,0.0004708133839460921,-0.0003671824058105345,0.20290772581572206,0.20582547707271287,1.3045190662482193
A,6000.0,5.75e-09,26091721,1,4089,67.69824867987357,153.6854904949502,14.116821561774977,0.006635927236544906,0.0028423038426486033,0.0011258653967985105,0.0002464198610367731,-0.0006622435208020758,0.0006061492796371733,0.20561675775519025,0.1912266925354833,0.8198374947625907
A,6000.0,5.75e-09,26091721,10,2014,120.48984365259808,246.80359290874677,74.4212378197034,-0.00453823320493498,-0.0023514824824448248,-0.018465202559448217,0.0014351559394667685,0.0017190173447736471,-1.3122827460041686e-05,0.32656722700081153,0.3302671218997143,1.285443384556212
A,6000.0,5.75e-09,26091721,50,12,153.47562545638093,233.60306181819257,89.5732523572003,-0.03228205195549413,-0.08413845987817097,0.4791881430459778,-0.02369476381185942,-0.01709837267831996,-0.016344763891633394,0.26009475879068755,0.2866253823137975,2.7416077933555605
A,3000.0,0.0,26091721,1,4095,53.78803610728182,109.49390204651453,0.16176015732432372,-0.008511500812154533,-0.0007776665388767998,0.05739427314376185,-0.00028477240597043617,0.0005993082175821821,0.0010845502765379983,0.15077596040404137,0.15477347483650433,0.7532012078264043
A,3000.0,0.0,26091721,10,4095,54.57176921490261,110.2823973120719,0.9454932649451149,0.0034775944200309094,0.0015849778908678268,-0.03461434676856197,-0.00019222261086003828,0.0001899701322394453,-0.00021105893159969073,0.15668417381783675,0.15279786846009583,0.75568958816734
A,3000.0,0.0,26091721,50,4095,57.187699092238624,114.43956648440138,3.5614231422811344,0.0013454311846788228,-0.0019570620998025662,-0.012255649498048632,-8.89287523458074e-06,-0.000216722125385816,0.0009044877882398991,0.15810380862803786,0.1581502477779816,0.8007436238478394
B,6000.0,0.0,26091721,1,4087,49.97602460227518,98.65024450940723,-0.02301405703714239,0.0029590116813800684,-0.006295711519872003,-0.02139882085450285,-6.66880181697345e-05,0.0008002779349310186,0.00023210915014783843,0.2437662388174476,0.23595163974609287,1.3149549503518232
B,6000.0,0.0,26091721,10,4021,49.28144072612174,95.74019622363483,0.4173632557670548,0.001271977557590854,0.0004734707649765575,-0.0299307085402315,-0.0005226660430157784,0.00015731491132217463,-0.000205245641683884,0.23918089710164514,0.2360348008233907,1.2471086636156414
B,6000.0,0.0,26091721,50,3885,48.65757917228584,90.3194736607609,1.6732059268470947,0.0026756983807472816,-6.137149050820685e-05,-0.02442435534791057,-4.4399634440725636e-05,0.0007772841669763487,0.00025324809476649595,0.2249425441626484,0.22784819025249017,1.1829377985066554
B,6000.0,5.75e-09,26091722,1,3999,59.90654685431898,120.34203301126647,9.8028324312681,-0.0020965286821117775,-0.008699243323950459,-0.014825290201925152,8.363811906484208e-05,-0.000985722023812957,0.00063112261657117,0.31167357188235223,0.30212900988485375,1.497128501292247
B,6000.0,5.75e-09,26091722,10,1383,73.9656934395495,132.29173412670562,34.33566053835888,0.0218640500433798,-0.002386149889472915,-0.09133542166905007,-0.0003405460403310978,0.0010376628686567255,-0.00017974317402528556,0.4053922746210567,0.3786656137294776,1.9300105590755117
B,6000.0,5.75e-09,26091722,50,7,90.39075885396825,128.988958711233,69.49898113840575,0.09316043323196166,-0.16890981943952388,-1.556948480524701,-0.0024458067188536806,-0.0007639843093297734,0.0075992062730294175,0.6810159795039814,0.4425547283677445,2.7825918902093725
B,3000.0,5.75e-09,26091721,1,4068,53.941198099621964,108.03446943704888,4.252706198435519,-0.002925618734313424,0.0023974154828964502,0.008647631334743727,-5.2430875929564495e-05,0.00014117848734016808,0.0007709327793082476,0.263887857033346,0.2656675611874242,1.3940005897538148
B,3000.0,5.75e-09,26091721,10,2863,69.34507769334157,128.92890110049785,26.7097978599846,0.007675040547867735,0.0042091694075421975,-0.07211321779278831,-0.0007228796845259521,-0.00016661022424254324,-0.0013298095375854752,0.3663303834812788,0.3579726877235047,1.648478959537329
B,3000.0,5.75e-09,26091721,50,183,75.6595405511417,133.44437038029676,41.31388224790408,0.008427607904435626,0.03365638801013706,0.1373280015834637,0.0027717450954245024,6.778579006190593e-05,0.004148633547906913,0.3675895657713565,0.3934225904025174,2.039779212289285
