geometry,path_speed_m_s,focus1_um,focus2_um,axial_minimum_um,actual_depth_uK,axial_frequency_Hz
x,0.8300000000000001,13.7172953163615,0.0,1.0618508723809985,74.89155837834166,2509.9364544548816
x,0.84,13.882563934630914,0.0,12.832942940001859,73.99999898541377,2505.011843748769
x,0.85,14.047832552900328,0.0,13.01093724187802,73.12939963314919,2500.4000152346403
x,0.86,14.213101171169747,0.0,1.0185835481180636,72.27906358227293,2499.2229557938463
x,0.87,14.378369789439164,0.0,1.0048497259398754,71.44826912215724,2495.14825370212
x,0.88,14.543638407708578,0.0,0.995743425073231,70.63635325088805,2488.2927109170373
x,0.89,14.708907025977991,0.0,0.9810345180472505,69.84269616458168,2484.781251009958
x,0.9,14.874175644247408,0.0,0.9658298051664662,69.06665744754406,2481.504872165738
x,0.91,15.039444262516824,0.0,0.9553021941827026,68.30769180713885,2475.5313354759323
x,0.92,15.204712880786243,0.0,0.9443118310677862,67.56521712278122,2469.847341984218
x,0.93,15.369981499055656,0.0,0.9328587158217171,66.83870923287299,2464.4405026651925
x,0.9400000000000001,15.535250117325075,0.0,0.9209428484444953,66.12765951825853,2459.2980442743637
x,0.9500000000000001,15.700518735594489,0.0,0.908564228936114,65.43157423986159,2454.4067999173326
x,0.96,15.865787353863904,0.0,0.9009783993575492,64.74999551019478,2447.0135080178575
x,0.97,16.031055972133316,0.0,0.8876908024486847,64.08247099982354,2442.6277011478396
x,0.98,16.19632459040273,0.0,0.879229049193291,63.42857111131196,2435.7843593861585
x,0.99,16.361593208672147,0.0,0.8703375975303957,62.787874824167105,2429.2136169659357
x,1.0,16.526861826941566,0.0,0.8610164474600024,62.159993719096526,2422.905600293866
x,1.01,16.692130445210985,0.0,0.8512655989821073,61.54454992784872,2416.850119559805
x,1.02,16.857399063480397,0.0,0.8410850520967107,60.94117570707669,2411.0366600887373
x,1.03,17.022667681749816,0.0,0.8304748068038159,60.34951302873253,2405.4543822160445
x,1.04,17.187936300019228,0.0,0.8248226200589996,59.76922136568054,2397.599267608613
x,1.05,17.353204918288643,0.0,0.8133695048129306,59.1999994976704,2392.483955497434
x,1.06,17.51847353655806,0.0,0.8069075018385946,58.64150554903057,2385.132690250605
x,1.07,17.683742154827474,0.0,0.7946115166393513,58.09344634797669,2380.443941241486
x,1.08,17.849010773096893,0.0,0.7873396974354956,57.55555030934461,2373.561421303627
x,1.09,18.01427939136631,0.0,0.7796712335477962,57.02751918742194,2366.911738064866
x,1.1,18.179548009635724,0.0,0.7716061249762463,56.50908548763901,2360.486841980608
x,1.11,18.34481662790514,0.0,17.58167225618428,55.99998806786429,2354.278417000339
x,1.12,18.510085246174555,0.0,0.7598059456318101,55.49999609503423,2345.995914128713
x,1.1300000000000001,18.67535386444397,0.0,0.7505674298705513,55.00884922525807,2340.225347840709
x,1.1400000000000001,18.84062248271339,0.0,0.7464852949992979,54.526303865395526,2332.4066975106653
x,1.1500000000000001,19.0058911009828,0.0,0.7364700167321704,54.05217368460147,2327.0438849041143
x,1.16,19.17115971925222,0.0,0.7316441730787062,53.58620206402317,2319.664004090358
x,1.17,19.336428337521628,0.0,0.72085213230571,53.12819572295193,2314.676859291978
x,1.18,19.501696955791047,0.0,0.7152825798700317,52.67796321266477,2307.708776743117
x,1.19,19.666965574060463,0.0,0.7093494364741609,52.235293173746285,2300.945242664404
x,1.2,19.832234192329878,0.0,0.703052702118094,51.79999923942275,2294.380285399816
diagonal,0.0,0.0,0.0,0.0,280.0,8119.256312393606
diagonal,0.01,0.1168625606956347,0.1168625606956347,0.11732167365422778,279.9999956155978,8119.255905623989
diagonal,0.02,0.2337251213912694,0.2337251213912694,0.23501730750268068,279.99996526867324,8119.253238927171
diagonal,0.03,0.3505876820869042,0.3505876820869042,0.3493828794515692,279.9999698072229,8119.2536077280465
diagonal,0.04,0.4674502427825388,0.4674502427825388,0.46781474743240375,279.9999972363857,8119.255968053838
diagonal,0.05,0.5843128034781737,0.5843128034781737,0.5828931810015371,279.9999580804165,8119.252535359843
diagonal,0.06,0.7011753641738084,0.7011753641738084,0.7020612831147534,279.99998367477264,8119.254735255849
diagonal,0.07,0.818037924869443,0.818037924869443,0.8178525783041314,279.99999928543724,8119.256066717232
diagonal,0.08,0.9349004855650777,0.9349004855650777,0.9339944611755908,279.9999829253802,8119.254617781396
diagonal,0.09,1.0517630462607126,1.0517630462607126,1.050486931729145,279.99996612724306,8119.25313000179
diagonal,0.1,1.1686256069563474,1.1686256069563474,1.1673299899647773,279.9999650839983,8119.253012373647
diagonal,0.11,1.2854881676519823,1.2854881676519823,1.2845236358825045,279.99998064895897,8119.254339581864
diagonal,0.12,1.4023507283476169,1.4023507283476169,1.4020678694823165,279.9999983357795,8119.25585104043
diagonal,0.13,1.5192132890432517,1.5192132890432517,1.5199626907642132,279.99998831844545,8119.254953752174
diagonal,0.14,1.636075849738886,1.636075849738886,1.6343755288176385,279.9999398642138,8119.250711486326
diagonal,0.15,1.752938410434521,1.752938410434521,1.7529598392076395,279.99999999044866,8119.255915229211
diagonal,0.16,1.8698009711301553,1.8698009711301553,1.8680387938570358,279.9999354092419,8119.250269294142
diagonal,0.17,1.9866635318257906,1.9866635318257906,1.9873125933551412,279.9999912371977,8119.2550986178785
diagonal,0.18,2.103526092521425,2.103526092521425,2.1030576646005015,279.99999543588234,8119.255436603523
diagonal,0.19,2.2203886532170602,2.2203886532170602,2.219129951015813,279.99996704531065,8119.252940072338
diagonal,0.2,2.337251213912695,2.337251213912695,2.3355294526010653,279.9999383380742,8119.250415317471
diagonal,0.21,2.4541137746083295,2.4541137746083295,2.4522561693562688,279.99992822420035,8119.249506880254
diagonal,0.22,2.5709763353039645,2.5709763353039645,2.569310101281417,279.9999422511691,8119.250699296616
diagonal,0.23,2.687838895999599,2.687838895999599,2.686691248376516,279.9999726039235,8119.253313271418
diagonal,0.24,2.8047014566952337,2.8047014566952337,2.8043996106415627,279.9999981048556,8119.255502905237
diagonal,0.25,2.9215640173908684,2.9215640173908684,2.9224351880765544,279.99998421379377,8119.2542669386885
diagonal,0.26,3.0384265780865034,3.0384265780865034,3.0368251746981056,279.9999466575826,8119.250971376498
diagonal,0.27,3.155289138782138,3.155289138782138,3.1555034962169275,279.999999044241,8119.255501345858
diagonal,0.28,3.272151699477772,3.272151699477772,3.2705128544101685,279.9999441340742,8119.250696026619
diagonal,0.29,3.389014260173407,3.389014260173407,3.3898339200128143,279.9999860254258,8119.2543119983
diagonal,0.3,3.505876820869042,3.505876820869042,3.5054626497777424,279.99999643195065,8119.255189474748
diagonal,0.31,3.6227393815646773,3.6227393815646773,3.6213952222004777,279.99996241861726,8119.252202537787
diagonal,0.32,3.7396019422603106,3.7396019422603106,3.737631637281014,279.99991925082855,8119.248418487651
diagonal,0.33,3.8564645029559466,3.8564645029559466,3.8582265047952453,279.999935422102,8119.249796882298
diagonal,0.34,3.973327063651581,3.973327063651581,3.9750822914474755,279.9999359176889,8119.249811527295
diagonal,0.35000000000000003,4.090189624347216,4.090189624347216,4.088163938469495,279.9999146476745,8119.247931689444
diagonal,0.36,4.20705218504285,4.20705218504285,4.205615724181274,279.9999570800885,8119.25159480999
diagonal,0.37,4.3239147457384846,4.3239147457384846,4.323371352550865,279.99999385814357,8119.254765537277
diagonal,0.38,4.4407773064341205,4.4407773064341205,4.441430823578256,279.9999911164767,8119.254497615183
