d_cmd_uK,eff_depth_compensated_uK,eff_depth_uncompensated_uK,multiplier,time_us
313.0727126355938,280.0,250.421058226352,1.1181168308414065,290.0
315.14265284195324,280.0,248.77622655324365,1.1255094744355474,294.99999999999994
317.2929581758283,280.0,247.09026147549895,1.1331891363422442,300.0
319.5257693557746,280.0,245.36362171373364,1.1411634619849096,305.0
321.8420686851536,280.0,243.59773823320728,1.1494359595898345,309.99999999999994
324.2414771038897,280.0,241.79509882654511,1.1580052753710348,314.99999999999994
326.7244196710704,280.0,239.9575767214741,1.16687292739668,320.0
329.29210825936576,280.0,238.0864831970054,1.1760432437834494,325.0
331.9447287466406,280.0,236.18389813275027,1.1855168883808593,330.0
334.6822536789534,280.0,234.2520379798978,1.1952937631391194,334.99999999999994
337.50384441694416,280.0,232.29365027068104,1.205370872917658,339.99999999999994
340.41049830346515,280.0,230.3101707812456,1.2157517796552328,345.0
343.40201237998303,280.0,228.30384556176793,1.2264357584999397,349.99999999999994
346.478081489212,280.0,226.27693983707607,1.237421719604329,354.99999999999994
349.6382956981985,280.0,224.23173023264434,1.2487081989221376,359.99999999999994
352.88213800795904,280.0,222.1704970463302,1.2602933500284255,365.0
356.20859914500863,280.0,220.09575341016455,1.272173568375031,370.0
359.61714466446836,280.0,218.0096281926411,1.2843469452302443,374.99999999999994
363.1071643143418,280.0,215.9142195611682,1.2968113011226494,379.99999999999994
366.6776882920615,280.0,213.8117548552717,1.3095631724716483,385.0
370.32763308011494,280.0,211.70442871876992,1.3225986895718393,389.99999999999994
374.05580085898174,280.0,209.59439693212138,1.3359135744963637,394.99999999999994
377.8608791799652,280.0,207.48377066751095,1.3495031399284474,399.99999999999994
381.7414408896947,280.0,205.3746111956807,1.363362288891767,405.0
385.6959442973021,280.0,203.26892506696333,1.3774855153475078,410.0
389.7227250873242,280.0,201.16866416356163,1.3918668753118724,414.99999999999994
393.81963452592237,280.0,199.07590461907114,1.4064986947354372,419.99999999999994
397.98519014521935,280.0,196.99225484092233,1.4213756790900693,425.0
402.21739592658406,280.0,194.91946592561143,1.4364906997378006,429.99999999999994
406.5141459686315,280.0,192.85921726829565,1.4518362356022558,434.99999999999994
410.8732258851464,280.0,190.81311475358956,1.4674043781612374,439.99999999999994
415.2923143714597,280.0,188.78268941397937,1.483186837040928,445.0
419.7689849294073,280.0,186.76939653648907,1.4991749461764547,450.0
424.3006250388152,280.0,184.77465121063136,1.515359375138626,454.99999999999994
428.88430223068235,280.0,182.79988237441077,1.5317296508238658,459.99999999999994
433.5176784023171,280.0,180.8461428584291,1.5482774228654186,465.0
438.197927870595,280.0,178.9145840578973,1.5649925995378395,469.99999999999994
442.92213082140756,280.0,177.00628292066975,1.5818647529335987,474.99999999999994
447.68720534472794,280.0,175.12227078196358,1.5988828762311713,479.99999999999994
452.4896653144757,280.0,173.263625690794,1.6160345189802707,484.99999999999994
457.3268005417521,280.0,171.4310202400709,1.6333100019348292,490.0
462.1953435548687,280.0,169.6252484869373,1.650697655553103,495.0
467.0916902726707,280.0,167.8471307297995,1.6681846081166813,500.0
472.0123919888303,280.0,166.09733416036084,1.6857585428172512,504.99999999999994
476.95426414045374,280.0,164.37634778523062,1.7034080862159064,509.99999999999994
481.91344382271893,280.0,162.68481613233624,1.7211194422239964,514.9999999999999
486.886365951516,280.0,161.02319859950038,1.7388798783982717,520.0
491.86956427538695,280.0,159.39185038923355,1.7566770152692393,525.0
496.85884559861853,280.0,157.7912936329898,1.774495877137924,530.0
501.85092888951334,280.0,156.2216895233851,1.7923247460339766,535.0
506.8414956098924,280.0,154.68346747272477,1.810148198606759,539.9999999999999
511.82710043626497,280.0,153.1767269321502,1.827953930129518,544.9999999999999
516.8034207055487,280.0,151.70178226174855,1.8457265025198168,549.9999999999999
521.7668145728094,280.0,150.2586937503664,1.8634529091886052,554.9999999999999
526.713150839358,280.0,148.84762204069435,1.8811183958548503,560.0
531.6384194300848,280.0,147.46864999720037,1.8987086408217317,565.0
536.5386746413975,280.0,146.12180576246365,1.9162095522907057,570.0
541.4098247110186,280.0,144.80712469864494,1.933606516825067,575.0
546.2477885761201,280.0,143.52460850113786,1.9508849592004294,580.0
551.048570746815,280.0,142.27420986456323,1.9680306098100537,584.9999999999999
555.808105685418,280.0,141.05587737573157,1.9850289488764932,589.9999999999999
560.0,279.7391944900398,139.8695972450199,2.0,594.9999999999999
560.0,277.44186530636114,138.72093265318057,2.0,600.0
560.0,275.2255592884401,137.61277964422004,2.0,605.0
560.0,273.088131827526,136.544065913763,2.0,610.0
560.0,271.0275444029747,135.51377220148734,2.0,615.0
560.0,269.0418579358527,134.52092896792635,2.0,619.9999999999999
560.0,267.1291836051253,133.56459180256266,2.0,624.9999999999999
560.0,265.2878368887521,132.64391844437606,2.0,629.9999999999999
560.0,263.51607484844305,131.75803742422153,2.0,634.9999999999999
560.0,261.8122907168155,130.90614535840774,2.0,640.0
560.0,260.17492971484114,130.08746485742057,2.0,645.0
560.0,258.6026471134312,129.3013235567156,2.0,650.0
560.0,257.0939388368015,128.54696941840075,2.0,655.0
560.0,255.64753163591905,127.82376581795953,2.0,660.0
560.0,254.26217421226528,127.13108710613264,2.0,664.9999999999999
560.0,252.93666402739268,126.46833201369634,2.0,669.9999999999999
560.0,251.66987677708138,125.83493838854069,2.0,674.9999999999999
560.0,250.46066630955147,125.23033315477574,2.0,679.9999999999999
560.0,249.3082362883678,124.6541181441839,2.0,685.0
560.0,248.21130984411582,124.10565492205791,2.0,690.0
560.0,247.16932187734312,123.58466093867156,2.0,695.0
560.0,246.181153223979,123.0905766119895,2.0,699.9999999999999
560.0,245.24607035428681,122.62303517714341,2.0,704.9999999999999
560.0,244.36328821146455,122.18164410573227,2.0,709.9999999999999
560.0,243.53216283476567,121.76608141738284,2.0,714.9999999999999
560.0,242.7520099366318,121.3760049683159,2.0,719.9999999999999
560.0,242.02212126861897,121.01106063430949,2.0,725.0
560.0,241.3420118046933,120.67100590234665,2.0,730.0
560.0,240.7110438454552,120.3555219227276,2.0,735.0
560.0,240.12874879232763,120.06437439616381,2.0,740.0
560.0,239.59483455069216,119.79741727534608,2.0,744.9999999999999
560.0,239.10864656352484,119.55432328176242,2.0,749.9999999999999
560.0,238.66989960383904,119.33494980191952,2.0,754.9999999999999
560.0,238.27824609315357,119.13912304657678,2.0,759.9999999999999
560.0,237.93337573030547,118.96668786515274,2.0,765.0
560.0,237.63500995411323,118.81750497705661,2.0,770.0
560.0,237.38294213851495,118.69147106925747,2.0,775.0
560.0,237.1770162921384,118.5885081460692,2.0,779.9999999999999
560.0,237.01698225372706,118.50849112686353,2.0,784.9999999999999
560.0,236.90276913067012,118.45138456533506,2.0,789.9999999999999
560.0,236.83426797052246,118.41713398526123,2.0,794.9999999999999
560.0,236.811438876369,118.4057194381845,2.0,799.9999999999999
560.0,236.83426797052246,118.41713398526123,2.0,804.9999999999999
560.0,236.90276913067012,118.45138456533506,2.0,810.0
560.0,237.016982253727,118.5084911268635,2.0,815.0
560.0,237.1770162921384,118.5885081460692,2.0,820.0
560.0,237.3829421385149,118.69147106925745,2.0,824.9999999999999
560.0,237.63500995411323,118.81750497705661,2.0,829.9999999999999
560.0,237.93337573030547,118.96668786515274,2.0,834.9999999999999
560.0,238.27824609315357,119.13912304657678,2.0,839.9999999999999
560.0,238.66989960383904,119.33494980191952,2.0,844.9999999999999
560.0,239.10864656352484,119.55432328176242,2.0,850.0
560.0,239.59483455069216,119.79741727534608,2.0,855.0
560.0,240.12874879232763,120.06437439616381,2.0,859.9999999999999
560.0,240.7110438454552,120.3555219227276,2.0,864.9999999999999
560.0,241.3420118046933,120.67100590234665,2.0,869.9999999999999
560.0,242.02212126861897,121.01106063430949,2.0,874.9999999999999
560.0,242.7520099366318,121.3760049683159,2.0,879.9999999999999
560.0,243.53216283476567,121.76608141738284,2.0,884.9999999999999
560.0,244.36328821146455,122.18164410573227,2.0,890.0
560.0,245.24607035428681,122.62303517714341,2.0,895.0
560.0,246.18115322397895,123.09057661198948,2.0,900.0
560.0,247.16932187734307,123.58466093867153,2.0,904.9999999999999
560.0,248.21130984411582,124.10565492205791,2.0,909.9999999999999
560.0,249.3082362883678,124.6541181441839,2.0,914.9999999999999
560.0,250.4606663095514,125.2303331547757,2.0,919.9999999999999
560.0,251.66987677708138,125.83493838854069,2.0,924.9999999999999
560.0,252.93666402739268,126.46833201369634,2.0,930.0
560.0,254.26217421226528,127.13108710613264,2.0,935.0
560.0,255.64753163591894,127.82376581795947,2.0,939.9999999999999
560.0,257.09393883680144,128.54696941840072,2.0,944.9999999999999
560.0,258.6026471134312,129.3013235567156,2.0,949.9999999999999
560.0,260.17492971484114,130.08746485742057,2.0,954.9999999999999
560.0,261.8122907168155,130.90614535840774,2.0,959.9999999999999
560.0,263.51607484844305,131.75803742422153,2.0,964.9999999999999
560.0,265.2878368887521,132.64391844437606,2.0,969.9999999999999
560.0,267.12918360512526,133.56459180256263,2.0,975.0
560.0,269.0418579358527,134.52092896792635,2.0,980.0
560.0,271.0275444029747,135.51377220148734,2.0,985.0
560.0,273.08813182752607,136.54406591376303,2.0,990.0
560.0,275.22555928844014,137.61277964422007,2.0,995.0
560.0,277.4418653063612,138.7209326531806,2.0,1000.0
560.0,279.73919449003967,139.86959724501983,2.0,1004.9999999999998
555.8081056854182,280.0,141.0558773757315,1.985028948876494,1009.9999999999999
551.0485707468155,280.0,142.27420986456312,1.9680306098100553,1014.9999999999999
546.2477885761201,280.0,143.52460850113786,1.9508849592004294,1019.9999999999999
541.4098247110186,280.0,144.80712469864494,1.933606516825067,1024.9999999999998
536.5386746413975,280.0,146.12180576246365,1.9162095522907057,1029.9999999999998
531.6384194300849,280.0,147.46864999720032,1.8987086408217324,1035.0
526.713150839358,280.0,148.84762204069432,1.8811183958548505,1040.0
521.7668145728096,280.0,150.25869375036635,1.8634529091886058,1045.0
516.8034207055489,280.0,151.7017822617485,1.8457265025198175,1050.0
511.82710043626497,280.0,153.1767269321502,1.827953930129518,1055.0
506.84149560989226,280.0,154.6834674727248,1.8101481986067585,1060.0
501.8509288895132,280.0,156.22168952338512,1.7923247460339764,1065.0
496.8588455986185,280.0,157.79129363298983,1.7744958771379236,1070.0
491.8695642753868,280.0,159.3918503892336,1.7566770152692388,1075.0
486.88636595151604,280.0,161.02319859950032,1.7388798783982722,1079.9999999999998
481.91344382271905,280.0,162.6848161323362,1.7211194422239968,1084.9999999999998
476.9542641404541,280.0,164.3763477852305,1.7034080862159076,1089.9999999999998
472.01239198883053,280.0,166.09733416036073,1.6857585428172521,1094.9999999999998
467.09169027267075,280.0,167.84713072979946,1.6681846081166816,1099.9999999999998
462.1953435548687,280.0,169.6252484869373,1.650697655553103,1104.9999999999998
457.3268005417521,280.0,171.4310202400709,1.6333100019348292,1109.9999999999998
452.4896653144757,280.0,173.263625690794,1.6160345189802707,1115.0
447.68720534472794,280.0,175.12227078196358,1.5988828762311713,1120.0
442.9221308214077,280.0,177.0062829206697,1.5818647529335992,1125.0
438.197927870595,280.0,178.9145840578973,1.5649925995378395,1130.0
433.5176784023172,280.0,180.84614285842906,1.5482774228654188,1135.0
428.88430223068235,280.0,182.79988237441077,1.5317296508238658,1140.0
424.3006250388152,280.0,184.77465121063136,1.515359375138626,1145.0
419.76898492940734,280.0,186.769396536489,1.4991749461764552,1150.0
415.2923143714599,280.0,188.7826894139793,1.4831868370409285,1155.0
410.8732258851462,280.0,190.81311475358964,1.467404378161237,1160.0
406.51414596863174,280.0,192.8592172682956,1.4518362356022565,1164.9999999999998
402.2173959265843,280.0,194.91946592561132,1.4364906997378013,1169.9999999999998
397.9851901452193,280.0,196.99225484092236,1.4213756790900691,1174.9999999999998
393.8196345259224,280.0,199.0759046190711,1.4064986947354374,1179.9999999999998
389.72272508732425,280.0,201.1686641635616,1.3918668753118726,1184.9999999999998
385.6959442973023,280.0,203.26892506696328,1.3774855153475083,1189.9999999999998
381.74144088969473,280.0,205.37461119568067,1.3633622888917671,1194.9999999999998
377.86087917996525,280.0,207.48377066751092,1.3495031399284476,1200.0
374.0558008589818,280.0,209.59439693212136,1.335913574496364,1205.0
370.32763308011494,280.0,211.70442871876992,1.3225986895718393,1210.0
366.6776882920614,280.0,213.81175485527172,1.309563172471648,1215.0
363.1071643143418,280.0,215.9142195611682,1.2968113011226494,1220.0
359.6171446644685,280.0,218.00962819264103,1.2843469452302447,1225.0
356.2085991450085,280.0,220.0957534101646,1.2721735683750306,1230.0
352.88213800795893,280.0,222.17049704633033,1.260293350028425,1235.0
349.63829569819865,280.0,224.23173023264422,1.2487081989221382,1239.9999999999998
346.47808148921206,280.0,226.27693983707604,1.2374217196043291,1244.9999999999998
343.4020123799831,280.0,228.3038455617679,1.22643575849994,1249.9999999999998
340.4104983034652,280.0,230.31017078124555,1.215751779655233,1254.9999999999998
337.5038444169444,280.0,232.2936502706809,1.2053708729176587,1259.9999999999998
334.68225367895326,280.0,234.25203797989786,1.195293763139119,1264.9999999999998
331.9447287466406,280.0,236.18389813275027,1.1855168883808593,1269.9999999999998
329.29210825936576,280.0,238.0864831970054,1.1760432437834494,1274.9999999999998
326.7244196710704,280.0,239.9575767214741,1.16687292739668,1280.0
324.2414771038897,280.0,241.79509882654511,1.1580052753710348,1285.0
321.8420686851536,280.0,243.59773823320728,1.1494359595898345,1290.0
319.5257693557746,280.0,245.36362171373364,1.1411634619849096,1295.0
317.2929581758283,280.0,247.09026147549895,1.1331891363422442,1300.0
315.1426528419531,280.0,248.7762265532437,1.1255094744355472,1305.0
313.0727126355937,280.0,250.42105822635205,1.1181168308414062,1310.0
311.0842835861458,280.0,252.02173216921568,1.1110152985219495,1315.0
309.17521289722123,280.0,253.57789605877107,1.1041971889186475,1320.0
307.3444583427196,280.0,255.08838006305027,1.0976587797954274,1324.9999999999998
305.59205974823965,280.0,256.55116845833425,1.0914002133865703,1329.9999999999998
303.91470927635123,280.0,257.9671125056025,1.085409675986969,1334.9999999999998
302.3137013994703,280.0,259.3332675200322,1.0796917907123942,1339.9999999999998
300.7850444115698,280.0,260.6512572903186,1.0742323014698922,1344.9999999999998
299.3296359759825,280.0,261.91860269489183,1.069034414199938,1349.9999999999998
297.94462547495016,280.0,263.13614442624504,1.0640879481248222,1354.9999999999998
296.6286260784769,280.0,264.30355369430276,1.0593879502802748,1359.9999999999998
295.3812381587193,280.0,265.4197012942059,1.0549329934239977,1365.0
294.19892162464475,280.0,266.48636088485404,1.0507104343737315,1370.0
293.0808877341845,280.0,267.50294297970873,1.0467174561935162,1375.0
292.02593433609366,280.0,268.4693062560983,1.042949765486049,1380.0
291.03208724002894,280.0,269.38610358568303,1.039400311571532,1385.0
290.0971256577266,280.0,270.25431507549933,1.0360611630633096,1390.0
289.218578874367,280.0,271.0752549339369,1.0329234959798823,1395.0
288.395480255871,280.0,271.84892055326844,1.0299838580566825,1399.9999999999998
287.6258585624168,280.0,272.57632673171713,1.0272352091514887,1404.9999999999998
286.9077602084817,280.0,273.2585550946079,1.0246705721731493,1409.9999999999998
286.2392573904343,280.0,273.8967418891158,1.0222830621086942,1414.9999999999998
285.6184560527501,280.0,274.49206568612107,1.0200659144741078,1419.9999999999998
285.0430857544107,280.0,275.046138349584,1.018011020551467,1424.9999999999998
284.5106057801955,280.0,275.56090496172754,1.016109306357841,1429.9999999999998
284.0200239789544,280.0,276.03687550497966,1.0143572284962659,1434.9999999999998
283.5696486543644,280.0,276.4752870133844,1.0127487451941588,1439.9999999999998
283.1574728998614,280.0,276.87773590113284,1.0112766889280764,1445.0
282.7795272219706,280.0,277.2477936086905,1.0099268829356094,1450.0
282.4367339337393,280.0,277.58428908327807,1.008702621191926,1455.0
282.1252542137903,280.0,277.8907553614099,1.0075901936206797,1460.0
281.8442434957946,280.0,278.16782428330765,1.0065865839135524,1465.0
281.5910559458331,280.0,278.417933895887,1.0056823426636896,1470.0
281.36533775015255,280.0,278.6412876116879,1.004876206250545,1475.0
281.1625975554875,280.0,278.84220974494207,1.0041521341267412,1480.0
280.9836898793931,280.0,279.01975389977855,1.0035131781406899,1484.9999999999998
280.82651776542446,280.0,279.17591480975386,1.0029518491622305,1489.9999999999998
280.68808729599675,280.0,279.3135995020838,1.00245745462856,1494.9999999999998
280.56731697238234,280.0,279.43383016246787,1.0020261320442228,1499.9999999999998
280.46314046369514,280.0,279.53762433943984,1.0016540730846257,1504.9999999999998
280.373940235098,280.0,279.6265584963436,1.0013355008396359,1509.9999999999998
280.2982313100691,280.0,279.7020860016522,1.0010651118216758,1514.9999999999998
280.23466631792996,280.0,279.7655301898093,1.0008380939926071,1519.9999999999998
280.18204017653153,280.0,279.81807809880763,1.000650143487613,1524.9999999999998
280.1388558159127,280.0,279.86121301044676,1.0004959136282598,1530.0
280.1029358715632,280.0,279.8971019566502,1.0003676281127258,1535.0
280.07474033555457,280.0,279.92527960954186,1.000266929769838,1540.0
280.05367087771674,280.0,279.9463394080369,1.0001916817061316,1545.0
280.03624557292505,280.0,279.96375911840164,1.0001294484747325,1550.0
280.02414207897044,280.0,279.9758600024213,1.000086221710609,1555.0
280.0149791824569,280.0,279.98502161884267,1.0000534970802033,1559.9999999999998
280.0093982653535,280.0,279.9906020500908,1.0000335652334056,1564.9999999999998
280.00470452819815,280.0,279.99529555084536,1.0000168018864222,1569.9999999999998
280.002641486968,280.0,279.99735853795113,1.0000094338820287,1574.9999999999998
280.0018599029839,280.0,279.99814010937035,1.0000066425106569,1579.9999999999998
280.0005887510383,280.0,279.99941125019944,1.00000210268228,1584.9999999999998
280.0001163339704,280.0,279.9998836660779,1.0000004154784659,1589.9999999999998
280.0000072722762,280.0,279.99999272772385,1.0000000259724153,1594.9999999999998
280.0,280.0,280.0,1.0,1599.9999999999998
