axis1_vmax_m_s,axis2_vmax_m_s,barrier_uK,distance_um,duration_us,geometry,min_depth_uK,n_minima_at_peak,path_vmax_m_s,profile,severity,split_fraction,v1_over_vs,v2_over_vs,zs1_peak_over_zr,zs2_peak_over_zr
0.6375,0.0,0.0,510.0,1600.0,straight,-207.48377066751092,1,0.6375,adiabatic_sine,0.5,0.0,0.5,0.0,1.182375273459473,0.0
0.6375,0.0,0.0,510.0,1600.0,straight,-156.74143279083245,1,0.6375,adiabatic_sine,0.75,0.0,0.75,0.0,1.7735629101892094,0.0
0.6375,0.0,1.6422777305248666,510.0,1600.0,straight,-118.40569718861794,2,0.6375,adiabatic_sine,1.0,0.2537313432835821,1.0,0.0,2.364750546918946,0.0
0.6375,0.0,6.795611855503385,510.0,1600.0,straight,-94.72450176587559,2,0.6375,adiabatic_sine,1.25,0.38308457711442784,1.25,0.0,2.9559381836486827,0.0
0.5099999999999999,0.0,0.0,510.0,2000.0,straight,-280.0,1,0.5099999999999999,adiabatic_sine,0.0,0.0,0.0,0.0,0.0,0.0
0.5099999999999999,0.0,0.0,510.0,2000.0,straight,-228.8175468439715,1,0.5099999999999999,adiabatic_sine,0.5,0.0,0.5,0.0,0.9459002187675781,0.0
0.5099999999999999,0.0,0.0,510.0,2000.0,straight,-186.25879287314282,1,0.5099999999999999,adiabatic_sine,0.75,0.0,0.75,0.0,1.4188503281513671,0.0
0.5099999999999999,0.0,0.0,510.0,2000.0,straight,-147.77851229735805,1,0.5099999999999999,adiabatic_sine,1.0,0.0,1.0,0.0,1.8918004375351563,0.0
0.5099999999999999,0.0,1.6422777305248923,510.0,2000.0,straight,-118.40569718861798,2,0.5099999999999999,adiabatic_sine,1.25,0.2537313432835821,1.25,0.0,2.364750546918945,0.0
3.0500000000000003,0.0,0.0,610.0,400.0,straight,-280.0,1,3.0500000000000003,adiabatic_sine,0.0,0.0,0.0,0.0,0.0,0.0
3.0500000000000003,0.0,18.386346704617516,610.0,400.0,straight,-49.49744040030648,2,3.0500000000000003,adiabatic_sine,0.5,0.5920398009950248,0.5,0.0,5.6568542494923815,0.0
3.0500000000000003,0.0,18.261464745837067,610.0,400.0,straight,-32.99830312279632,2,3.0500000000000003,adiabatic_sine,0.75,0.6716417910447762,0.75,0.0,8.485281374238571,0.0
3.0500000000000003,0.0,16.263886964799706,610.0,400.0,straight,-24.748643917491098,2,3.0500000000000003,adiabatic_sine,1.0,0.7213930348258707,1.0,0.0,11.313708498984763,0.0
3.0500000000000003,0.0,14.308769979120193,610.0,400.0,straight,-19.798956978124362,2,3.0500000000000003,adiabatic_sine,1.25,0.7512437810945274,1.25,0.0,14.142135623730953,0.0
2.033333333333333,0.0,0.0,610.0,600.0,straight,-280.0,1,2.033333333333333,adiabatic_sine,0.0,0.0,0.0,0.0,0.0,0.0
2.033333333333333,0.0,12.782776180164463,610.0,600.0,straight,-74.24618576140647,2,2.033333333333333,adiabatic_sine,0.5,0.48258706467661694,0.5,0.0,3.771236166328254,0.0
2.033333333333333,0.0,18.386346704617516,610.0,600.0,straight,-49.49744040030649,2,2.033333333333333,adiabatic_sine,0.75,0.5920398009950248,0.75,0.0,5.656854249492381,0.0
2.033333333333333,0.0,18.728850007350673,610.0,600.0,straight,-37.12297122716491,2,2.033333333333333,adiabatic_sine,1.0,0.6517412935323383,1.0,0.0,7.542472332656508,0.0
2.033333333333333,0.0,17.641067979728017,610.0,600.0,straight,-29.698443417702503,2,2.033333333333333,adiabatic_sine,1.25,0.6915422885572139,1.25,0.0,9.428090415820634,0.0
1.5250000000000001,0.0,0.0,610.0,800.0,straight,-280.0,1,1.5250000000000001,adiabatic_sine,0.0,0.0,0.0,0.0,0.0,0.0
1.5250000000000001,0.0,5.661504096251977,610.0,800.0,straight,-98.9948702429364,2,1.5250000000000001,adiabatic_sine,0.5,0.36318407960199006,0.5,0.0,2.8284271247461907,0.0
1.5250000000000001,0.0,15.087512889271862,610.0,800.0,straight,-65.99658181979798,2,1.5250000000000001,adiabatic_sine,0.75,0.5124378109452736,0.75,0.0,4.242640687119286,0.0
1.5250000000000001,0.0,18.386346704617516,610.0,800.0,straight,-49.49744040030648,2,1.5250000000000001,adiabatic_sine,1.0,0.5920398009950248,1.0,0.0,5.6568542494923815,0.0
1.5250000000000001,0.0,18.857231737820648,610.0,800.0,straight,-39.59792424741182,2,1.5250000000000001,adiabatic_sine,1.25,0.6417910447761194,1.25,0.0,7.071067811865476,0.0
1.22,0.0,0.0,610.0,1000.0,straight,-280.0,1,1.22,adiabatic_sine,0.0,0.0,0.0,0.0,0.0,0.0
1.22,0.0,0.9366628737126159,610.0,1000.0,straight,-123.74364399736636,2,1.22,adiabatic_sine,0.5,0.22388059701492538,0.5,0.0,2.262741699796952,0.0
1.22,0.0,10.330831686596401,610.0,1000.0,straight,-82.49569118504145,2,1.22,adiabatic_sine,0.75,0.4427860696517413,0.75,0.0,3.394112549695428,0.0
1.22,0.0,16.120206258547864,610.0,1000.0,straight,-61.8717883198454,2,1.22,adiabatic_sine,1.0,0.5323383084577115,1.0,0.0,4.525483399593904,0.0
1.22,0.0,18.386346704617516,610.0,1000.0,straight,-49.49744040030649,2,1.22,adiabatic_sine,1.25,0.5920398009950248,1.25,0.0,5.656854249492381,0.0
1.0166666666666666,0.0,0.0,610.0,1200.0,straight,-280.0,1,1.0166666666666666,adiabatic_sine,0.0,0.0,0.0,0.0,0.0,0.0
1.0166666666666666,0.0,0.0,610.0,1200.0,straight,-148.23528756989495,1,1.0166666666666666,adiabatic_sine,0.5,0.0,0.5,0.0,1.885618083164127,0.0
1.0166666666666666,0.0,5.661504096251977,610.0,1200.0,straight,-98.99487024293643,2,1.0166666666666666,adiabatic_sine,0.75,0.36318407960199006,0.75,0.0,2.8284271247461903,0.0
1.0166666666666666,0.0,12.782776180164463,610.0,1200.0,straight,-74.24618576140647,2,1.0166666666666666,adiabatic_sine,1.0,0.48258706467661694,1.0,0.0,3.771236166328254,0.0
1.0166666666666666,0.0,16.685100430944253,610.0,1200.0,straight,-59.39695792201092,2,1.0166666666666666,adiabatic_sine,1.25,0.5422885572139303,1.25,0.0,4.714045207910317,0.0
