distance_um,duration_us,geometry,max_abs_w_residual_over_depth,median_delta_eps_uK_retained,median_max_axial_um,near_threshold,profile,retained,retention_fraction,severity,shots,split_fraction,status,wilson_high,wilson_low
610.0,1600.0,diagonal,8.718438253685187e-06,-0.013339927812355157,0.503462384191525,0,adiabatic_sine,128,1.0,0.75,128,0.0,ok,1.0,0.9708630437264916
610.0,1600.0,diagonal,8.553389128430436e-06,-0.01630699608246111,0.512007698809922,0,adiabatic_sine,128,1.0,1.0,128,0.0,ok,1.0,0.9708630437264916
610.0,1600.0,diagonal,8.342826756216082e-06,-0.012757995721661253,0.5222087400015956,0,adiabatic_sine,128,1.0,1.25,128,0.0,ok,1.0,0.9708630437264916
610.0,2000.0,diagonal,8.701865118771614e-06,-0.0019627782102720204,0.47429448930104867,0,adiabatic_sine,128,1.0,0.0,128,0.0,ok,1.0,0.9708630437264916
610.0,2000.0,diagonal,8.428125303716416e-06,0.011196020115280092,0.4845514561559058,0,adiabatic_sine,128,1.0,0.75,128,0.0,ok,1.0,0.9708630437264916
610.0,2000.0,diagonal,8.309057100378421e-06,0.009489408575236169,0.49113635075812345,0,adiabatic_sine,128,1.0,1.0,128,0.0,ok,1.0,0.9708630437264916
610.0,2000.0,diagonal,8.17442706921599e-06,0.012056640179743283,0.49774386177170304,0,adiabatic_sine,128,1.0,1.25,128,0.0,ok,1.0,0.9708630437264916
610.0,600.0,diagonal,7.768102222020823e-06,0.11890232161320613,0.5144880363753572,0,constant_jerk,128,1.0,0.0,128,0.0,ok,1.0,0.9708630437264916
610.0,600.0,diagonal,9.757113687178009e-06,0.9473813144829335,1.3167794553708636,0,constant_jerk,120,0.9375,0.75,128,0.0,ok,0.9679930743049387,0.8815120889557413
610.0,600.0,diagonal,6.146989324180012e-06,5.011524499284171,2.4116085296179604,0,constant_jerk,95,0.7421875,1.0,128,0.0,ok,0.8101309791005885,0.6601308077044309
610.0,600.0,diagonal,5.949802521025762e-06,43.9886731636482,6.998232588470934,0,constant_jerk,21,0.1640625,1.25,128,0.0,ok,0.23781807603707017,0.1098833164591933
610.0,800.0,diagonal,7.012829410245434e-06,-0.0024050629339043006,0.48501956078947905,0,constant_jerk,128,1.0,0.0,128,0.0,ok,1.0,0.9708630437264916
610.0,800.0,diagonal,6.287658692358045e-06,9.438628811593631,0.973429420479083,0,constant_jerk,128,1.0,0.75,128,0.0,ok,1.0,0.9708630437264916
610.0,800.0,diagonal,7.140821279259823e-06,17.59610086647588,1.230082811782971,0,constant_jerk,128,1.0,1.0,128,0.0,ok,1.0,0.9708630437264916
610.0,800.0,diagonal,8.504039812474984e-06,28.202875178272606,1.6298941708780665,0,constant_jerk,128,1.0,1.25,128,0.0,ok,1.0,0.9708630437264916
610.0,1000.0,diagonal,6.456230202063785e-06,0.0017015840492373702,0.4778460023542963,0,constant_jerk,128,1.0,0.0,128,0.0,ok,1.0,0.9708630437264916
610.0,1000.0,diagonal,5.675492744436183e-06,2.0067198534207864,0.7010843001126845,0,constant_jerk,128,1.0,0.75,128,0.0,ok,1.0,0.9708630437264916
610.0,1000.0,diagonal,8.814653082488455e-06,3.659578310964922,0.8123218241963455,0,constant_jerk,128,1.0,1.0,128,0.0,ok,1.0,0.9708630437264916
610.0,1000.0,diagonal,8.182070919870154e-06,6.141626897046242,0.9146641443622285,0,constant_jerk,128,1.0,1.25,128,0.0,ok,1.0,0.9708630437264916
610.0,1200.0,diagonal,7.332056027952629e-06,0.026782200135392564,0.47592310374107777,0,constant_jerk,128,1.0,0.0,128,0.0,ok,1.0,0.9708630437264916
610.0,1200.0,diagonal,7.63205910659345e-06,-0.003658001521501475,0.5521636826475667,0,constant_jerk,128,1.0,0.75,128,0.0,ok,1.0,0.9708630437264916
610.0,1200.0,diagonal,7.843385347475515e-06,0.025890013557061997,0.5795788378931139,0,constant_jerk,128,1.0,1.0,128,0.0,ok,1.0,0.9708630437264916
610.0,1200.0,diagonal,7.989391063465348e-06,0.05762215308250784,0.6207955454319791,0,constant_jerk,128,1.0,1.25,128,0.0,ok,1.0,0.9708630437264916
610.0,1600.0,diagonal,9.015784708269032e-06,-0.0002039122576986685,0.47466724623135226,0,constant_jerk,128,1.0,0.0,128,0.0,ok,1.0,0.9708630437264916
610.0,1600.0,diagonal,8.632144163683478e-06,0.058416872693532795,0.5177760660877704,0,constant_jerk,128,1.0,0.75,128,0.0,ok,1.0,0.9708630437264916
610.0,1600.0,diagonal,8.334283131601797e-06,0.0834546788942232,0.5300117532998567,0,constant_jerk,128,1.0,1.0,128,0.0,ok,1.0,0.9708630437264916
610.0,1600.0,diagonal,8.166263356824734e-06,0.11074304312104921,0.5409965628174814,0,constant_jerk,128,1.0,1.25,128,0.0,ok,1.0,0.9708630437264916
610.0,2000.0,diagonal,8.59773449103796e-06,-0.0033302541063671143,0.47440492720455946,0,constant_jerk,128,1.0,0.0,128,0.0,ok,1.0,0.9708630437264916
610.0,2000.0,diagonal,8.022435002686194e-06,0.014677842992580459,0.4973546346247508,0,constant_jerk,128,1.0,0.75,128,0.0,ok,1.0,0.9708630437264916
610.0,2000.0,diagonal,7.750666278060675e-06,0.015609503322424167,0.5061710727526344,0,constant_jerk,128,1.0,1.0,128,0.0,ok,1.0,0.9708630437264916
610.0,2000.0,diagonal,7.432853081814991e-06,0.026781016324349594,0.5128321051007914,0,constant_jerk,128,1.0,1.25,128,0.0,ok,1.0,0.9708630437264916
