time_s,time_us,position_m,displacement_from_center_m,position_um,velocity_m_per_s,acceleration_m_per_s2,kinetic_energy_J,potential_energy_J,total_energy_J,energy_error_J,energy_error_over_depth,abs_energy_error_over_depth
0.00210165,2101.65,2.0893198178385087e-08,2.0893198178385087e-08,0.020893198178385086,-0.020774607372645037,-687.0369614818827,4.7624184092814637e-29,-2.4835837248825483e-27,-2.4359595407897335e-27,-9.682055963503255e-34,-3.89593588212792e-07,3.89593588212792e-07
0.0021016999999999997,2101.7,1.985360901355098e-08,1.985360901355098e-08,0.01985360901355098,-0.020808105603225463,-652.892261735159,4.7777892133711135e-29,-2.4837374362000973e-27,-2.435959544066386e-27,-9.714822488276075e-34,-3.9091207139525103e-07,3.9091207139525103e-07
0.00210175,2101.75,1.881238761806254e-08,1.881238761806254e-08,0.01881238761806254,-0.02083989510363913,-618.6877548115107,4.7923988616306666e-29,-2.4838835357979973e-27,-2.4359595471816907e-27,-9.74597553512788e-34,-3.92165630283209e-07,3.92165630283209e-07
0.0021018,2101.8,1.7769619503187066e-08,1.7769619503187066e-08,0.017769619503187065,-0.020869972961179782,-584.4265468145678,4.8062424160794297e-29,-2.4840219742952495e-27,-2.435959550134455e-27,-9.775503179793467e-34,-3.933537850594365e-07,3.933537850594365e-07
0.0021018499999999997,2101.85,1.672539032194456e-08,1.672539032194456e-08,0.016725390321944558,-0.02089833641868494,-550.1117533917719,4.819315196494336e-29,-2.4841527048884923e-27,-2.435959552923549e-27,-9.803394118614695e-34,-3.944760808791411e-07,3.944760808791411e-07
0.0021019,2101.8999999999996,1.567978586131857e-08,1.567978586131857e-08,0.01567978586131857,-0.02092498287500042,-515.7464992273965,4.831612782183025e-29,-2.484275683369733e-27,-2.4359595555479026e-27,-9.82963765419119e-34,-3.9553208729257e-07,3.9553208729257e-07
0.00210195,2101.95,1.4632892034444517e-08,1.4632892034444517e-08,0.014632892034444516,-0.020949909885419383,-481.33391753109566,4.843131013659989e-29,-2.484390868143109e-27,-2.4359595580065092e-27,-9.854223720491617e-34,-3.965213992554555e-07,3.965213992554555e-07
0.0021019999999999997,2101.9999999999995,1.3584794872776634e-08,1.3584794872776634e-08,0.013584794872776633,-0.020973115162095716,-446.8771495222207,4.853865994224926e-29,-2.4844982202406743e-27,-2.435959560298425e-27,-9.87714287926635e-34,-3.974436369846657e-07,3.974436369846657e-07
0.00210205,2102.0499999999997,1.2535580518234946e-08,1.2535580518234946e-08,0.012535580518234946,-0.020994596574431524,-412.3793439101567,4.8638140914424566e-29,-2.4845977033371937e-27,-2.4359595624227692e-27,-9.898386320047478e-34,-3.9829844595820426e-07,3.9829844595820426e-07
0.0021021,2102.1,1.1485335215333483e-08,1.1485335215333483e-08,0.011485335215333483,-0.021014352149438552,-377.8436563709291,4.8729719385224387e-29,-2.4846892837639492e-27,-2.435959564378725e-27,-9.91794587808542e-34,-3.990854976369575e-07,3.990854976369575e-07
0.00210215,2102.15,1.0434145303291091e-08,1.0434145303291091e-08,0.01043414530329109,-0.021032380072073333,-343.2732490203362,4.881336435600157e-29,-2.4847729305215413e-27,-2.43595956616554e-27,-9.935814027174278e-34,-3.9980448917599534e-07,3.9980448917599534e-07
0.0021022,2102.2,9.38209720812615e-09,9.38209720812615e-09,0.00938209720812615,-0.021048678685545937,-308.67128988386514,4.888904750915706e-29,-2.4848486152916832e-27,-2.4359595677825262e-27,-9.951983890413815e-34,-4.0045514385761957e-07,4.0045514385761957e-07
0.00210225,2102.25,8.329277434736499e-09,8.329277434736499e-09,0.0083292774347365,-0.021063246491602124,-274.0409523636528,4.895674321891957e-29,-2.4849163124479804e-27,-2.435959569229061e-27,-9.966449236622123e-34,-4.010372109470145e-07,4.010372109470145e-07
0.0021023,2102.3,7.2757725589659384e-09,7.2757725589659384e-09,0.0072757725589659384,-0.021076082150778785,-239.38541470275447,4.901642856110524e-29,-2.4849759990656918e-27,-2.4359595705045867e-27,-9.979204494684923e-34,-4.0155046626964414e-07,4.0155046626964414e-07
0.00210235,2102.35,6.22166921965862e-09,6.22166921965862e-09,0.00622166921965862,-0.02108718448263253,-204.70785944698588,4.9068083321852335e-29,-2.485027654930464e-27,-2.435959571608612e-27,-9.990244746380916e-34,-4.0199471192255383e-07,4.0199471192255383e-07
0.0021024,2102.4,5.1670541107026856e-09,5.1670541107026856e-09,0.005167054110702686,-0.021096552465941318,-170.0114729046063,4.9111690005326165e-29,-2.4850712625460363e-27,-2.4359595725407102e-27,-9.99956572996911e-34,-4.0236977641871925e-07,4.0236977641871925e-07
0.00210245,2102.4500000000003,4.112013973064489e-09,4.112013973064489e-09,0.004112013973064489,-0.021104185238879036,-135.29944460411207,4.9147233840390384e-29,-2.4851068071409136e-27,-2.4359595733005234e-27,-1.000716386171276e-33,-4.0267551555314284e-07,4.0267551555314284e-07
0.0021024999999999998,2102.4999999999995,3.0566355868147817e-09,3.0566355868147817e-09,0.003056635586814782,-0.0211100820991629,-100.57496675041175,4.917470278624084e-29,-2.4851342766739974e-27,-2.4359595738877565e-27,-1.0013036192831481e-33,-4.0291181067066126e-07,4.0291181067066126e-07
