x_m,x_um,slm_potential_J,slm_potential_uK,slm_force_N,aod_potential_J,aod_potential_uK,aod_force_N
-4.532580000000e-06,-4.532580000000e+00,-2.289182008663e-40,-1.658047779459e-11,3.031894393696e-33,-3.560949791253e-40,-2.579185434715e-11,4.716280167971e-33
-4.530240000000e-06,-4.530240000000e+00,-2.361220277867e-40,-1.710224885447e-11,3.125690569539e-33,-3.673009321126e-40,-2.660349821806e-11,4.862185330394e-33
-4.527900000000e-06,-4.527900000000e+00,-2.435486551286e-40,-1.764015728318e-11,3.222336052471e-33,-3.788534635334e-40,-2.744024466272e-11,5.012522748288e-33
-4.525560000000e-06,-4.525560000000e+00,-2.512048491341e-40,-1.819469315764e-11,3.321915748549e-33,-3.907630986530e-40,-2.830285602300e-11,5.167424497743e-33
-4.523220000000e-06,-4.523220000000e+00,-2.590975776122e-40,-1.876636115422e-11,3.424517042902e-33,-4.030406762856e-40,-2.919211735101e-11,5.327026511180e-33
-4.520880000000e-06,-4.520880000000e+00,-2.672340158226e-40,-1.935568097486e-11,3.530229870560e-33,-4.156973579463e-40,-3.010883707201e-11,5.491468687537e-33
-4.518540000000e-06,-4.518540000000e+00,-2.756215525273e-40,-1.996318778540e-11,3.639146789266e-33,-4.287446372647e-40,-3.105384766618e-11,5.660895005525e-33
-4.516200000000e-06,-4.516200000000e+00,-2.842677962144e-40,-2.058943266641e-11,3.751363054317e-33,-4.421943496669e-40,-3.202800636997e-11,5.835453640048e-33
-4.513860000000e-06,-4.513860000000e+00,-2.931805815007e-40,-2.123498307685e-11,3.866976695486e-33,-4.560586823344e-40,-3.303219589732e-11,6.015297081867e-33
-4.511520000000e-06,-4.511520000000e+00,-3.023679757154e-40,-2.190042333101e-11,3.986088596097e-33,-4.703501844461e-40,-3.406732518157e-11,6.200582260596e-33
-4.509180000000e-06,-4.509180000000e+00,-3.118382856725e-40,-2.258635508898e-11,4.108802574296e-33,-4.850817777127e-40,-3.513433013841e-11,6.391470671128e-33
-4.506840000000e-06,-4.506840000000e+00,-3.216000646354e-40,-2.329339786110e-11,4.235225466583e-33,-5.002667672106e-40,-3.623417445061e-11,6.588128503573e-33
-4.504500000000e-06,-4.504500000000e+00,-3.316621194798e-40,-2.402218952680e-11,4.365467213666e-33,-5.159188525242e-40,-3.736785037502e-11,6.790726776814e-33
-4.502160000000e-06,-4.502160000000e+00,-3.420335180606e-40,-2.477338686810e-11,4.499640948708e-33,-5.320521392053e-40,-3.853637957260e-11,6.999441475768e-33
-4.499820000000e-06,-4.499820000000e+00,-3.527235967873e-40,-2.554766611842e-11,4.637863088014e-33,-5.486811505580e-40,-3.974081396199e-11,7.214453692466e-33
-4.497480000000e-06,-4.497480000000e+00,-3.637419684158e-40,-2.634572352682e-11,4.780253424240e-33,-5.658208397579e-40,-4.098223659728e-11,7.435949771041e-33
