time_s,rf_x_hz,rf_y_hz,amplitude,slm_digital
8.55e-06,79590943.8,79590943.8,0.0017395285,1
8.6e-06,79590943.8,79590943.8,0.00175478752,1
8.65e-06,79590943.8,79590943.8,0.00177004654,1
8.7e-06,79590943.8,79590943.8,0.00180056458,1
8.75e-06,79590943.8,79590943.8,0.00181582361,1
8.8e-06,79590943.8,79590943.8,0.00183108263,1
8.85e-06,79590943.8,79590943.8,0.00186160067,1
8.9e-06,79590943.8,79590943.8,0.00187685969,1
8.95e-06,79590943.8,79590943.8,0.00190737774,1
9e-06,79590943.8,79590943.8,0.00192263676,1
9.05e-06,79590943.8,79590943.8,0.00193789578,1
9.1e-06,79590943.8,79590943.8,0.00196841382,1
9.15e-06,79590943.8,79590943.8,0.00198367285,1
9.2e-06,79590943.8,79590943.8,0.00201419089,1
9.25e-06,79590943.8,79590943.8,0.00202944991,1
9.3e-06,79590943.8,79590943.8,0.00205996796,1
9.35e-06,79590943.8,79590943.8,0.00207522698,1
9.4e-06,79590943.8,79590943.8,0.002090486,1
9.45e-06,79590943.8,79590943.8,0.00212100404,1
9.5e-06,79590943.8,79590943.8,0.00213626307,1
9.55e-06,79590943.8,79590943.8,0.00216678111,1
9.6e-06,79590943.8,79590943.8,0.00218204013,1
9.65e-06,79590943.8,79590943.8,0.00221255818,1
9.7e-06,79590943.8,79590943.8,0.0022278172,1
9.75e-06,79590943.8,79590943.8,0.00225833524,1
9.8e-06,79590943.8,79590943.8,0.00227359426,1
9.85e-06,79590943.8,79590943.8,0.00230411231,1
9.9e-06,79590943.8,79590943.8,0.00231937133,1
9.95e-06,79590943.8,79590943.8,0.00234988937,1
1e-05,79590943.8,79590943.8,0.00238040742,1
1.005e-05,79590943.8,79590943.8,0.00239566644,1
1.01e-05,79590943.8,79590943.8,0.00242618448,1
1.015e-05,79590943.8,79590943.8,0.0024414435,1
1.02e-05,79590943.8,79590943.8,0.00247196155,1
1.025e-05,79590943.8,79590943.8,0.00248722057,1
1.03e-05,79590943.8,79590943.8,0.00251773861,1
1.035e-05,79590943.8,79590943.8,0.00254825666,1
1.04e-05,79590943.8,79590943.8,0.00256351568,1
1.045e-05,79590943.8,79590943.8,0.00259403372,1
1.05e-05,79590943.8,79590943.8,0.00260929274,1
1.055e-05,79590943.8,79590943.8,0.00263981079,1
1.06e-05,79590943.8,79590943.8,0.00267032883,1
1.065e-05,79590943.8,79590943.8,0.00268558785,1
1.07e-05,79590943.8,79590943.8,0.0027161059,1
1.075e-05,79590943.8,79590943.8,0.00274662394,1
1.08e-05,79590943.8,79590943.8,0.00276188296,1
1.085e-05,79590943.8,79590943.8,0.00279240101,1
1.09e-05,79590943.8,79590943.8,0.00282291905,1
1.095e-05,79590943.8,79590943.8,0.00285343709,1
1.1e-05,79590943.8,79590943.8,0.00286869612,1
1.105e-05,79590943.8,79590943.8,0.00289921416,1
1.11e-05,79590943.8,79590943.8,0.0029297322,1
1.115e-05,79590943.8,79590943.8,0.00294499123,1
1.12e-05,79590943.8,79590943.8,0.00297550927,1
1.125e-05,79590943.8,79590943.8,0.00300602731,1
1.13e-05,79590943.8,79590943.8,0.00303654536,1
1.135e-05,79590943.8,79590943.8,0.00305180438,1
1.14e-05,79590943.8,79590943.8,0.00308232242,1
1.145e-05,79590943.8,79590943.8,0.00311284047,1
1.15e-05,79590943.8,79590943.8,0.00314335851,1
1.155e-05,79590943.8,79590943.8,0.00317387655,1
1.16e-05,79590943.8,79590943.8,0.00318913558,1
1.165e-05,79590943.8,79590943.8,0.00321965362,1
1.17e-05,79590943.8,79590943.8,0.00325017166,1
1.175e-05,79590943.8,79590943.8,0.00328068971,1
1.18e-05,79590943.8,79590943.8,0.00331120775,1
1.185e-05,79590943.8,79590943.8,0.00332646677,1
1.19e-05,79590943.8,79590943.8,0.00335698482,1
1.195e-05,79590943.8,79590943.8,0.00338750286,1
1.2e-05,79590943.8,79590943.8,0.0034180209,1
1.205e-05,79590943.8,79590943.8,0.00344853895,1
1.21e-05,79590943.8,79590943.8,0.00347905699,1
1.215e-05,79590943.8,79590943.8,0.00350957504,1
1.22e-05,79590943.8,79590943.8,0.00354009308,1
1.225e-05,79590943.8,79590943.8,0.0035553521,1
1.23e-05,79590943.8,79590943.8,0.00358587015,1
1.235e-05,79590943.8,79590943.8,0.00361638819,1
1.24e-05,79590943.8,79590943.8,0.00364690623,1
1.245e-05,79590943.8,79590943.8,0.00367742428,1
1.25e-05,79590943.8,79590943.8,0.00370794232,1
1.255e-05,79590943.8,79590943.8,0.00373846036,1
1.26e-05,79590943.8,79590943.8,0.00376897841,1
1.265e-05,79590943.8,79590943.8,0.00379949645,1
1.27e-05,79590943.8,79590943.8,0.0038300145,1
1.275e-05,79590943.8,79590943.8,0.00386053254,1
1.28e-05,79590943.8,79590943.8,0.00389105058,1
1.285e-05,79590943.8,79590943.8,0.00392156863,1
1.29e-05,79590943.8,79590943.8,0.00395208667,1
1.295e-05,79590943.8,79590943.8,0.00398260472,1
1.3e-05,79590943.8,79590943.8,0.00401312276,1
1.305e-05,79590943.8,79590943.8,0.0040436408,1
1.31e-05,79590943.8,79590943.8,0.00407415885,1
1.315e-05,79590943.8,79590943.8,0.00410467689,1
1.32e-05,79590943.8,79590943.8,0.00413519493,1
1.325e-05,79590943.8,79590943.8,0.00416571298,1
1.33e-05,79590943.8,79590943.8,0.00419623102,1
1.335e-05,79590943.8,79590943.8,0.00422674907,1
1.34e-05,79590943.8,79590943.8,0.00425726711,1
1.345e-05,79590943.8,79590943.8,0.00428778515,1
